カーム	Kalm			裏の塔	Rear Tower (Pagoda)
『マスターコマンド』のマテリアを手にいれた！	Received "Master Command" Materia!	『マスターまほう』のマテリアを手にいれた！	Received "Master Magic" Materia!	『マスターしょうかん』のマテリアを手にいれた！	Received "Master Summon" Materia!
宿屋でみんなが待ってるわ。行きましょう、CLOUD	Everyone's waiting at the inn. Let's go CLOUD.	みんな、もう着いてるかな。はやく宿屋に行きましょ！	I wonder if everyone's there already? Let's hurry over to the inn!	宿屋でおちあう手はずだったな。……行くか	We're supposed to meet at the inn. …Shall we go?
空中に浮かぶ都市と言われるミッドガル。一度、この目で見てみたいものだわ	The famous floating city, Midgar… Just once I'd love to see it in person.	この町みたいに魔晄エネルギーは供給してもらうだけってのが一番いい方法なのさ	We're better off with the Mako energy.	何をしているのかって？ミッドガルから送られてくる魔晄エネルギーの圧力をチェックしてるのさ	What does it do? It checks the pressure of the Mako energy sent from Midgar.
ちゅうぼうに入ってこないでおくれ	Stay out of the kitchen.	我々は、好むと好まざるに関わらず神羅カンパニーの支配を受け入れなければならないのさ	It don't matter if we like it or not. Shinra's taken over, and we gotta live with it!	プレジデント神羅が殺されたそうだな。それに息子のルーファウス新社長も大ケガしたっていうじゃないか	I heard President Shinra was killed. And his son Rufus, the new president, was badly hurt.
うりゃー、うりゃ、うりゃ～	Hyah, hayah, eagghh!	うりゃー、コンジョウのトックン～	Hyah, hayah, eagghh!	魔晄エネルギーのおかげで生活が色々と便利になったわ。神羅さまさまよね	Thanks to Mako energy, life's pretty darn convenient. Thanks to Shinra.
ね、そうよね？	Don't you think so?	わたしは、むかしの方がよかったんじゃないかと思うの	I think the old life was better.	そうでしょ？　そう思うわよね	Yeah, sure I'm right! You think so, don't you?
おまえたち、ミッドガルから来たんじゃと？	Did you say you came from Midgar?	ルーファウス社長がいなくなってはもう、神羅カンパニーもおしまいじゃな。……そして、この世界も	If something ever happened to President Rufus, That'd be the end of Shinra, Inc. and the rest of the world, too.	わしも以前ミッドガルに住んでいたんじゃが近頃はあそこも色々あるようじゃな	I used to live there, too. But I heard they got lots of troubles lately.
この世界は、神羅カンパニーの動きにふりまわされているのさ。あんたたちも、それを受け入れる事だな	Shinra's leading the world around by the nose, and you guys are just gonna sit back and take it?	CLOUDさまですね。お連れさまが２階でお待ちです	Mr…CLOUD? Your party is waiting for you on the 2nd floor.	オレはよぉ、この町の南にある鉱山【ミスリルマイン】で働いていたんだ	Me? I used to work in a mine down south called Mythril Mine
何か、おもしろいことでもないかなぁ……？	Got anything interesting to say?	あっ、聞いてくれよ！	Aw, c'mon! Listen to me!	カギがかかっていて、開かない……	Locked. Can't open it…
ミッドガルじゃ、アバランチの残堂が神羅カンパニーを叩きつぶしたらしいぜ	I heard the remaining members of AVALANCHE smashed the Shinra troops at Midgar.	ミッドガルじゃ、メテオを破壊しようとおおわらわらしいぜ	And all of Midgar's gonna be destroyed by a falling meteor? Oh, don't make me laugh!	ミッドガルでは、アバランチの残堂が神羅カンパニーの抵抗をはねのけて魔晄キャノンを破壊したという話だ	They say the remaining members of AVALANCHE broke Shinra's resistance and destroyed the Mako cannon at Midgar.
