一度つかんだ虫やカエルは【決定ボタン】を押すことによって手放すことができます。	Release insects and frogs by pushing [OK].	一度虫決定押手放	scene_42
はなした場所によってリアクションが違いますのでいろんな場所でためしてください。	Insects and frogs react differently depending on where you release them, so try many different places.	場所違	scene_42
ギブアップする時は□ボタンを押してください。入口までもどされます。	Push [SWITCH] to give up. You will return to the Entrance.	時押入口	scene_42
【古えの森】の生き物はその特性を知れば怖くはないのよ。知りたい？	If you learn the special qualities of the animals in the (Old Forest), there'll be nothing to fear. Do you want to hear more?	古森生物特性知怖	scene_42
ああ、教えてくれ	Yeah, tell me	教	scene_42
今は聞く気分じゃない	Not now	今聞気分	scene_42
何の事を知りたい？	What do you want to know about?	何事知	scene_42
ウツボカズラの事	About Pitcher Plants	事	scene_42
くす玉草の事	About Scent Balls	玉草事	scene_42
大喰らいの事	About Big Eaters	大喰事	scene_42
しゃくとり虫の事	About Inchworms	虫事	scene_42
上からぶら下がっている不思議な植物ね。普段はフタが開いているけどあれは虫を食べるためなのよ	It's a strange plant that hangs down from above. It's mouth is usually open to catch insects.	上下不思議植物普段開虫食	scene_42
いったん虫を取りこむとフタがしまるの。あのフタ、見た目よりも頑丈なのよ。人が乗れるくらいにね。でも好き嫌いが激しいからはきだす事もあるわ	When an insect gets in, it closes its mouth, trapping it. It's lid's stronger than it looks. It's big enough to hold a human. But it's really picky and spits out lots of stuff.	虫取見目頑丈人乗好嫌激事	scene_42
この花だけは気をつけてね。なんでもガブって食べちゃうわよ。もしここを通り抜けるとしたら……口を閉じている一瞬だけね	Be really cautious with this flower. It'll snap at anything. If you're going to go through here… do it the instant it closes its mouth.	花気食通抜口閉一瞬	scene_42
みかけによらず……いや、みかけ通りかな？おくびょうなのよ、この虫。近づくと逃げちゃうし……さわるとかたまっちゃうし……	It may not look it…or maybe it does, but this insect is really timid. If you go near it, it'll run away… If you touch it, it'll just turn in to a ball…	通虫近逃	scene_42
