Kalm	カーム
Weapon Store	武器屋
Item Store	アイテム屋
Bar	酒場
House: 1f	民家１階
House: 2f	民家２階
Rear Tower (Pagoda)	裏の塔
Inn: 1f	宿屋１階
Inn: 2f	宿屋２階
CLOUD's Past	CLOUDの過去
	
Received "Ether"!	『エーテル』を手にいれた！
Received "Peacemaker"!	『ピースメーカー』を手にいれた！
Received "Guard Source"!	『ガードアップ』を手にいれた！
…Dropped "Megalixir"!	……『ラストエリクサー』が落ちてきた！
Received "Underwater" Materia!	『せんすい』のマテリアを手にいれた！
Received "Master Magic" Materia!	『マスターまほう』のマテリアを手にいれた！
Received "Master Command" Materia!	『マスターコマンド』のマテリアを手にいれた！
Received "Master Summon" Materia!	『マスターしょうかん』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Empty…	からっぽだ……
Can't reach it…	手がとどかない……
BARRET	BARRET
“This is Kalm.”	「ここが、カームだ」
AERIS	AERIS
“We've reached Kalm.”	「カームに着いたね」
TIFA	TIFA
“So this is Kalm?”	「ここが、カームね」
RED XIII	RED XIII
“…this must be Kalm.”	「……カームに着いたな」
BARRET	BARRET
“Yo, I'll be waitin' at the inn…	「おい、先に宿屋で待ってるぜ。
Hurry and get your butt over there!”	チンタラせずに、早くこいよ！」
AERIS	AERIS
“I wonder if everyone's there already?	「みんな、もう着いてるかな。
Let's hurry over to the inn!”	はやく宿屋に行きましょ！」
TIFA	TIFA
“Everyone's waiting at the inn.	「宿屋でみんなが待ってるわ。
Let's go CLOUD.”	行きましょう、CLOUD」
RED XIII	RED XIII
“We're supposed to meet at the inn.	「宿屋でおちあう手はずだったな。
…Shall we go?”	……行くか」
BARRET	BARRET
“Get over here!”	「とっとと来いよ」
AERIS	AERIS
“Well then, I'll go on ahead.”	「じゃあ、先、行ってるね」
TIFA	TIFA
“Let's go CLOUD.”	「行きましょう、CLOUD」
RED XIII	RED XIII
“Let's go CLOUD.”	「行こう、CLOUD」
“Thanks to the Mako energy	「神羅カンパニーが魔晄エネルギーを
Shinra, Inc. develops for us,	実用化してくれたおかげで
everything's more convenient now.”	わしらの生活も便利になったもんじゃ」
“Maybe a little too convenient.”	「ちと、便利になりすぎたかも
	しれんがの」
“I hear that the natural resources	「魔晄炉のある場所の土地は
near the reactors are being sucked dry.”	どんどんやせていってしまうという話だ」
“We're better off with	「この町みたいに
the Mako energy.”	魔晄エネルギーは供給してもらうだけ
	ってのが一番いい方法なのさ」
“The famous floating city, Midgar…	「空中に浮かぶ都市と言われるミッドガル。
Just once I'd love to see it in person.”	一度、この目で見てみたいものだわ」
“What does it do?	「何をしているのかって？
It checks the pressure of the	ミッドガルから送られてくる
Mako energy sent from Midgar.”	魔晄エネルギーの圧力を
	チェックしてるのさ」
“This is the Item Store.”	「ここは、アイテム屋だよ」
“This is the Weapons Store.”	「ここは、武器屋だよ」
“This is the Materia Store.”	「ここは、マテリア屋だよ」
“I heard terrorists bombed a Midgar reactor…”	「ミッドガルじゃ、テロリストが
	魔晄炉を爆破したらしいぜ」
“There have been a lot of dangerous accidents	「最近、ぶっそうな事が多いよな。
recently. I hate it, just hate it.”	やだ、やだ」
“It seems there was this group	「ミッドガルでは、アバランチという
called AVALANCHE runnin' around,	反神羅組織が活動していたらしいが
but I guess SOLDIER	ついに神羅のソルジャーによって
finally wiped them out.”	全滅させられたそうだな」
“Shinra is trying to eliminate anyone,	「神羅カンパニーは、自分たちに逆らう者
who stands up to them.”	たちを、どんどん排除しようとしている」
“It don't matter if we like it or not.	「我々は、好むと好まざるに関わらず
Shinra's taken over,	神羅カンパニーの支配を
and we gotta live with it!”	受け入れなければならないのさ」
“Stay out of the kitchen.”	「ちゅうぼうに入ってこないでおくれ」
“I heard President Shinra was killed.	「プレジデント神羅が殺されたそうだな。
And his son Rufus, the new president,	それに息子のルーファウス新社長も
was badly hurt.”	大ケガしたっていうじゃないか」
“Hey, I bet that's news to you?”	「どうだ、初耳だろ？」
You're pretty smart!	おっ、事情通！
Don't care…	興味ないね
“Heh, heh…Just between us…	「ふふふ……ここだけの話だが
I heard it was them	神羅親子を襲ったのは
Ava-whaddya call-ums that got	アバラなんとかいう組織だって話だぜ」
President Shinra and his son.”	
“Don't care?	「関心なしか？
If you're going to travel,	旅をするなら神羅カンパニーの
you'd best keep an eye on	動きには注目したほうがいいぜ」
what Shinra's doing.”	
