“Haa--ah!	「ヘヘーん！
Gotcha!	やーい、だまされただろ！
And you deserve it, too!”	ザマーミロ！」
BARRET	BARRET
“Hey, we been had!	「あっ、やられた！
And…my money!”	アイツ、オレの金を！」
TIFA	TIFA
“Hey!	「アッ！
My money!”	私のお金、少なくなってる！」
AERIS	AERIS
“Hmm…Hey, don't we have	「あれ……
less money than before?”	ね、お金、へってない？」
RED XIII	RED XIII
“…	「…………
Some money is missing.”	金が減っているな」
RED XIII	RED XIII
“Hey!	「アッ！
My emergency money!”	オイラのヘソクリが！」
CAIT SITH	CAIT SITH
“Gil, gil, gil, where's my gil!?”	「ギ、ギルが～
	ボクのギルがあらへん～！」
CID	CID
“What the--!?	「あああッ！？
Gone! My money's gone!”	ねえ！　ねえぞ！　金がねえー！」
VINCENT	VINCENT
“Hmm?	「おや……？
Pretty fast.”	なるほど……すばやいな」
200 Gil Stolen!	２００ギル盗まれた！
500 Gil Stolen!	５００ギル盗まれた！
700 Gil Stolen!	７００ギル盗まれた！
1000 Gil Stolen!	１０００ギル盗まれた！
BARRET	BARRET
“&^%$!!	「チクショ～！！
Gimme back my money!!”	オレの金、かえせ～！！」
TIFA	TIFA
“Wait a second!	「ちょっと待ちなさい！
Where's my money!?”	私のお金は！？」
AERIS	AERIS
“Geez! You shouldn't	「も～う！！
have done that!!”	だめじゃない、こんなコトしちゃ！！」
RED XIII	RED XIII
“Greed…A perfect example	「金に目がくらむ……
of human nature.”	じつに人間らしい行動だな」
RED XIII	RED XIII
“Give…give back what is rightfully mine!”	「か、返せよ～！
	オイラのなんだぞ～！」
CAIT SITH	CAIT SITH
“Hey, you can't!	「ちょっと、アカンて！
My gil, give it back!”	ボクのギル、返して～な～！」
CID	CID
“Steal MY money, will ya? You got	「オレ様から金をくすねるたあ
a lot of #&^%$ nerve!!”	いい度胸じゃねえか！！」
“Just remember who you're	「覚えてやがれ、このガキ！！」
dealin' with, punk!!”	
VINCENT	VINCENT
“The gil doesn't seem be	「ギルが目的、というわけでも
her real objective…”	なさそうだがな……」
BARRET	BARRET
“Wassup with that broad?”	「なんなんだ、アイツ？」
TIFA	TIFA
“CLOUD, do you know her?”	「CLOUD、あのコ知ってるの？」
AERIS	AERIS
“Who is that girl?”	「だ～れ？あのコ……」
RED XIII	RED XIII
“You don't see one	「……みなれない格好を
like that everyday…”	しているな……」
RED XIII	RED XIII
“Who is that girl?	「何なんだい、あいつ。
She's still a child.”	まだコドモじゃないか」
CAIT SITH	CAIT SITH
“Who do you think she is?	「なんやろ、アレ。
I don't recognize her face.”	知らん顔ですなぁ」
CID	CID
“Who is that kid?”	「なんだ、あいつはよう？
	まだガキじゃねえか！」
VINCENT	VINCENT
“She has a mysterious weapon.	「不思議な武器を持っているな……
I've seen her somewhere before…”	どこかで見た記憶がある」
“Man…	「チクショ～……
I can't believe I lost.”	このアタシが負けるなんて……」
“You spikey-headed jerk!	「やい、このツンツン頭！
One more time, let's go one more time!”	もう１回、もう１回勝負だ！」
All right	いいだろう
Not interested	興味ないね
“Hey, boobs!	「やい、このオッパイ女！
Try that again! Just one more time!”	もう１回、もう１回勝負しろ！」
What did you say!?	言ったわね！
Don't fight	やめておくわ
“Hey, you bow-legged ol' man!	「やい、このガニマタオヤジ！
