Under Junon	アンダージュノン
CLOUD	CLOUD
“What kinda place is this?”	「ここはどんなところだ？」
CLOUD	CLOUD
“Did you see a man with a black cape?”	「黒いマントの男を見なかったか？」
CLOUD	CLOUD
“Are you all right now?”	「もう、だいじょうぶなのか？」
CLOUD	CLOUD
“That's all right.”	「かまわないよ」
CLOUD	CLOUD
“Hey!!”	「オッ、オイ！」
CLOUD	CLOUD
“Wait a second!”	「ちょっと、まてよ！」
CLOUD	CLOUD
“What happened to this town?	「なんだ、この村は？
It's so run-down…”	やけにさびれているな……」
BARRET	BARRET
“What's that music?	「この音楽は何だ？
It sure sounds lively.”	ずいぶんにぎやかじゃねえか」
BARRET	BARRET
“Rufus!?	「ルーファウス！？
I gotta pay my respects.”	これはあいさつに行かなくちゃな」
BARRET	BARRET
“We gotta get to the town up there…	「なんとかして上の街に行きてぇな。
Mebbe we could climb the tower?”	柱でもよじのぼるか？」
BARRET	BARRET
“Yeah, I'd like to take a good look	「神羅の新しい社長さんの顔を
at the new President of Shinra, Inc.!”	おがんでみたいぜ」
BARRET	BARRET
“Seems like something's goin' on up there!”	「なんだか上のほうが
	さわがしいな」
TIFA	TIFA
“High voltage tower…”	「高圧電流の柱ねぇ……」
“I guess this means	「こういうことは、CLOUDが
CLOUD'll have to do it.”	うまくやってくれるのよね」
TIFA	TIFA
“Don't you just hate this?”	「いやよね」
TIFA	TIFA
“Doesn't it seem a little strange?	「ねっ、何だか様子が変でしょ？
Everything getting so noisy	きゅうに、さわがしくなって」
all of a sudden?”	
TIFA	TIFA
“Maybe…he dropped some from	「たぶん……北の大空洞から
the North Caves into the Lifestream…	ライフストリームに落ちて……」
“Sir, do you know	「おじぃさん、ライフストリームが
where the Lifestream runs through?”	通っている場所を知ってる？」
“CLOUD might have	「もしかして、CLOUDは
drifted from there.”	そこから流されたかもしれないの」
AERIS	AERIS
“You think Rufus is thinking about	「ルーファウスもここから
crossing the ocean from here, too?”	海をこえるつもりなのかな？」
“What?	「あれっ？
Does that mean Sephiroth	それじゃ、セフィロスは
already crossed the ocean?”	もう、海を渡っちゃったってこと？」
AERIS	AERIS
“Yeah, better leave it	「そうね、あの子のことは
to CLOUD!”	CLOUDにまかせましょ！」
AERIS	AERIS
“You're probably right.”	「そうよねぇ」
AERIS	AERIS
“I heard that girl regained consciousness.”	「女の子が目をさましたらしいの」
RED XIII	RED XIII
“CLOUD,	「CLOUDよ、ルーファウスに
didn't you finish Rufus off?”	とどめをささなかったのか？」
RED XIII	RED XIII
“We're counting on you, CLOUD.”	「まかせたぞ、CLOUD」
RED XIII	RED XIII
“That looks like a Shinra soldier.”	「向こうにいるのは
	神羅の兵だな」
RED XIII	RED XIII
“Does this have something to do	「このさわがしさは
with the Shinra?”	神羅と何か関係があるのかもな？」
YUFFIE	YUFFIE
“Aren't you going to follow her?”	「あの子について行かないのか？」
YUFFIE	YUFFIE
“What's this loud music?	「なんだい、この音楽は？
It's giving me a headache!”	うるさくて頭にくるよ！」
Priscilla	プリシラ
“Umm…thanks for helping…”	「あのぅ……助けてくれて
	ありがとう……」
Priscilla	プリシラ
“I'm sorry, I mistook you for	「神羅のやつらとまちがえちゃって
one of those Shinra, Inc….”	ごめんね……」
Priscilla	プリシラ
“I heard they're rehearsing the reception	「これは神羅の新しい社長の
for the new Shinra president.”	歓迎式のリハーサルだと思う」
Priscilla	プリシラ
“Grandpa and Grandma told me	「ここはね、じいちゃんばあちゃんが
this beach was beautiful	子供のころにはとてもきれいな
when they were small.”	海岸だったって」
“But after the Shinra built that city above,	「でも神羅が上の街をつくってから
the sun stopped shining here,	日も当たらなくなったし
and the water got polluted…”	海も汚れちゃって……」
“I was raised on that story and	「そんな話を聞いて育ったから
hate Shinra so much, I could die!”	わたし、神羅がにくらしくて
	しょうがないの」
Priscilla	プリシラ
“No! No! There's a high voltage current	「ダメダメ！
running underneath the tower.	柱の下は高圧電流が流れてるの
Don't wander near it, it's dangerous!”	むやみに近づいたらキケンよ」
Priscilla	プリシラ
“But…you might be able to	「でも……イルカさんの力をかりれば
if Mr. Dolphin helps you.	なんとかなるかな。
Follow me!”	ちょっと来て」
Priscilla	プリシラ
“I'll give you something SPECIAL!”	「おにいちゃんにイイものあげる！」
“It's an amulet.	「海のお守りなのよ
Take good care of it, OK?”	だいじにしてね」
“It's at my house, so come by	「家の中においてあるから
later to pick it up, OK?”	取りにきてね！」
“If you want to	「そんなにエレベータに乗りたいんなら
get on the elevator that badly,	１０ギル払え！」
give me 10 gil!”	
Okay, I guess	しかたない
No way!	イヤだ！
“Hurry up and get in!”	「さっさと、乗れ！」
“You're such a cheapskate.”	「しけたヤツだなぁ」
“HEY!	「コラッ！
This is Shinra, Inc.'s elevator.	神羅カンパニーのエレベーターだ。
Don't be snooping around here!!”	ウロウロするな！！」
“What?	「えっ？
It's not time for our shift, yet.	まだ、交代の時間じゃないはずだぜ。
Just relax.”	ゆっくり休んでおけよ」
“That's not enough!	「足りないじゃないか！
Can't let you get on…”	乗せてやれないな」
CLOUD	CLOUD
“Uh…yeah…”	「おっ、おう……」
“Who are you people?	「なんだね、あんたたち？
Where did you come from?”	どこから来たんだい」
“Hmm…	「さあ……そんな人
I've never seen that feller before.”	とんと見かけんねぇ」
“There's nothing here now…	「ここはな～んにもないよ。
But it used to be a busy port.”	むかしは、にぎやかな港だったけどねえ」
“Sorry, CLOUD.	「すまんな、CLOUDくん。
Priscilla needs to rest for a while.”	プリシラは、すこし
	休ませなくちゃいかんのじゃ」
“I just saw some Shinra soldiers	「さっき、向こうに神羅の兵隊が
all huddled together discussing something.”	集まって何か話しておったんじゃ」
“They said a plane carrying Huge Materia	「なんでも、大きなマテリアをつんだ飛行機が
would be taking off from the airport above.”	上のエアポートから飛びたつんだとか」
“I remember years ago,	「ワシャ、むかし神羅が
seein' the Shinra build	海底に長～いパイプを
a long pipe underwater.”	つくっていたのを見たことがある！」
“The underwater reactor is	「海底魔晄炉なら
connected to Junon by a pipe.	たぶん上のジュノンからつながっている
You should be able to get	海底パイプを通っていけるはずじゃ」
to the reactor through it.”	
“What?	「なに？
CLOUD is missing?”	CLOUDくんが行方不明じゃと！？」
“What? The Northern…what?	「なに？　北の……なんだって？
Sorry, but I don't think I follow.”	残念じゃがワシには、よくわからん……」
“But…I think I remember hearing Priscilla	「じゃが……ライフなんたらといえば
saying 'Life…something' before.”	プリシラから聞いたような気がするな？」
“I think I've heard Priscilla	「ライフなんたらといえば
mentioning 'Life…something' before.”	プリシラから
	聞いたような気がするな……」
“Listen CLOUD,	「なぁ、CLOUDくん……
I'm over the hill, but	ワシはもう老いぼれじゃが
Priscilla is still a child.”	プリシラは、まだ子供なんじゃ」
“Isn't there a way to protect	「なんとか、あの子だけでも
at least her from Meteor?”	メテオから、守る方法は
	ないんじゃろうか……」
“Ever since…Shinra built that	「戦争中にぃ……神羅が上の街を
city up above during the war…ugh, ugh.”	つくってからぁ……ゲホゲホ」
“There's been no fish in the water!	「サカナもぉ……さっぱりとれんわ！
It got so polluted…phew…”	海が汚れてしもうてな……フゥ」
“It seems like	「また急に上の街が
there's something going on again up there.”	騒がしくなってきたみたいなんじゃ！」
“Is that huge plane going to	「あの、でっかい飛行機が
take off again with that deafening roar?”	うるさい音をたてて
	飛びたつんじゃなかろうか？」
“I don't think I'll ever…cough…	「ワシが生きている間には……ゴホッ
…live to see things…	もどることはないんじゃろうな……
…beautiful again.”	むかしのような…きれいな海には」
“Once Meteor hits, not just the fish,	「メテオが落ちてきたら
but the whole ocean will be destroyed…”	サカナどころか、海まで
	失ってしまうんじゃなぁ……」
“There's a dolphin in the bay.	「入りえにイルカがおったぞ。
If you get close enough and	近づいてホイッスルを吹いたら
blow the whistle,	よってくるかもしれんな」
it might come to you.”	
“If you want to get on the ship,	「船に乗りたいんなら
why not have the dolphin take you?”	イルカに船まで連れていって
	もらったらどうじゃ？」
“Wow, now this is rare.	「おんや？　めずらしいねぇ。
We almost never have anyone other	神羅以外の人間が
than the Shinra people visit this town.”	この村にやって来るなんてねぇ」
“I know you guys want to go to	「あんたたち西の大陸に
the Western Continent,	行きたいんだろうけど
but the only way is on a Shinra ship.”	神羅の船に乗るしか方法がないよ」
“Hey, come in for a while.”	「ちょっと、おはいり」
“For the past few decades,	「ここ数十年、耳に入ってくるのは
