Ropeway Station	ロープウェイ乗り場
	
“Welcome to the Gold Saucer.”	「ようこそゴールドソーサーへ」
“Are you together?	「団体様ですね？　入園チケットは
A single pass is 3000 gil,	１回３０００ギルです
or you can purchase	何回でも入園できるゴールドチケットは
a lifetime pass for 30000 gil.”	３００００ギルになります」
Pay 3000 gil	３０００ギル払う
Pay 30000 gil	３００００ギル払う
Don't pay	払わない
“Thank you very much.”	「ありがとうございます」
“If you leave Gold Saucer,	「チケットは一度ゴールドソーサーから
your tickets become invalid.”	でますと、無効になりますので
	お気をつけ下さい」
“If you have a Gold Ticket,	「ゴールドチケットは
you can come and go freely into	お客様がお無くしならない限り
the park…as long as you don't lose it.”	何度でも入園できます」
“I'm sorry, you don't	「もうしわけありませんが
have enough money.”	お金がたりないようです」
“Please	「どうぞ、心行くまで
enjoy yourselves.”	お楽しみください」
“Please	「お客様
buy your ticket here.”	こちらでチケットをお買い下さい」
“Here at the Gold Saucer,	「ここゴールドソーサーでは
there are many places where	料金を『ＧＰ』で
you must pay with GP.”	お支払いただくものが
	多数あります」
“Just think of 'GP' as money that	「『ＧＰ』はゴールドソーサーでのみ
you can only use at	使うことの出来るお金だと
the Gold Saucer.”	思っていただければ、けっこうです」
“GP can only be redeemed at	「ＧＰはワンダースクェアの
the games in Wonder Square	各種ゲームとチョコボレース場でのみ
and at the Chocobo Races.”	お求めいただけます」
“Your GP limit is 10000,	「それとＧＰの個人の所有は
so please be careful.”	１００００までとなっておりますので
	お気をつけ下さい」
“Would you like	「ギルをＧＰに換金しますか？
to change gil	１ＧＰは１００ギルです」
into GP?	
1 GP is 100 gil.”	
Yeah	ああ
No	いや
GP	ＧＰ
gil	ギル
“Is this okay?”	「ギルだがいいな？」
Yeah	ああ
No	いや
“Hey, how 'bout it,	「おっ、兄ちゃんたち
change your gil into GP?”	どうだい、俺がギルをＧＰに
	変えてやろうか？」
Yeah	ああ
Not interested	興味無いな
“Hey, thanks	「へへっ、毎度
1 GP is 100 gil.”	１ＧＰ１００ギルでいいぜ」
“Hey, you	「なんだよ、兄ちゃん
don't have enough.”	金がたりねぇぞ」
“No, no.	「ダメダメ
It's suspicious if you	１００００以上もってても
have more than 10000 GP.”	あやしまれるだけだ」
“If you want some more later,	「また欲しくなったら来な
I'll be around now and then.”	おりゃあ、たまにここにいるからよ」
[Save Point]	【セーブポイント】
“Access the Menu and select	「メニューを開いて【セーブ】を選ぶと
[SAVE] to save your game…but,	ゲームの状態を保存できます……、が
each transaction will cost 5 GP here.”	ここでは　５ＧＰかかります。」
No way!	払わない！
I guess I'm stuck. I'll pay	しょーがないから払う
Not enough GP…	ＧＰがたりません…
Current GP	現在の持ちＧＰ
GP	ＧＰ
Dio	ディオ
“This way.”	「こっちだ、君たち」
Dio	ディオ
“I'm sorry,	「すまないが、しばらくは
I'm gonna close this for awhile.”	営業をひかえさせてもらう」
“I'm just debating if I should	「こんな時でも、経営を続けるか
be in business at a time like this.”	どうかを考えている所だ」
Dio	ディオ
“I thought about it, but there was only	「考えぬいたが、結論は１つだった」
one solution.”	
“I believed that because of	「こんなときだからこそ
the way things are, there's	このような場所が必要なのかも知れん
a need for a place like this.”	そう考えたよ」
Dio	ディオ
“Enjoy yourselves…	「楽しんでいってくれたまえ
Ha ha ha ha…”	はははははっはははっ」
Info Board	案内板
Event Square	『イベントスクェア』
An entertaining show awaits you.	「楽しい演劇が
	あなたを待っています」
Chocobo Square	『チョコボスクェア』
“Chocobo Racing takes you into	「チョコボレーシングが
the world of Virtual Reality!”	君をバーチャル空間へご案内」
Wark! Wark!	クエっ！　クエっ！
Battle Square	『バトルスクェア』
Go to the limits in heated battles!	熱き戦いへ君をいざなう！
“Try your hand at the	いま必殺のゴールドアタック！！
special Gold Attack!!”	
Round Square	『ラウンドスクェア』
“Take a tour of the Park	「園内を一望できます
and see the beautiful night	美しいゴールドソーサーの
scenery of Gold Saucer…	夜景をあなたに……
“Speed Square	「『スピードスクェア』
“A Shooting Roller Coaster is	「あなたを興奮の中へ
waiting to take you into the world	シューティングコースターが
of excitement.	君を待つ！
“Wonder Square	「『ワンダースクェア』
“A number of Games await you here.	「数多くのゲームがあなたを待っています
Collect GP at Wonder Square	ワンダースクェアでＧＰをためて
and play some more!	たくさん遊ぼう！
“Ghost Square	「『ゴーストスクェア』
“Please come and stay at the hotel…	「こちらにはホテルがございます
Ha ha ha…”	お泊りのさいはこちらへ……
	ひょひょひょひょひょっ」
“Now in: Gold Gate	「『現在地・ゴールドゲート』
“Let's try all of the Attractions!	「様々なアトラクションへ
	レッツ　アクセス！」
“Welcome to Gold Saucer!	ゴールドソーサーへようこそ！
“Many attractions await you here at	「ゴールドソーサーでは
Gold Saucer.	様々なアトラクションが
	あなたを待っています。
“You will be moved and excited,	「感動と興奮、スリル＆サスペンス
thrilled and terrified!	あなたを未体験ゾーンへご案内！
Led from one zone to another…	一生の思い出をあなたに……」
unlike anything you've ever experienced!	
Make your memories…today.”	
AERIS	AERIS
“Wow!	「うわ～！
Let's have fun!”	楽しまなくっちゃ！」
AERIS	AERIS
“I know this isn't the right time	「そんな場合じゃないのは
to do this.”	わかってるけど、ね」
AERIS	AERIS
“Hey, BARRET, cheer up!”	「ね、BARRETも元気だして！」
BARRET	BARRET
“…I ain't in a cheery mood.	「……そんな気分にはなれねえ。
So jus' leave me alone.”	オレのことは放っておいてくれ」
AERIS	AERIS
“Really?	「そ～ぉ？
That's too bad.”	仕方ないね」
AERIS	AERIS
“Let's go!”	「行こっ！」
TIFA	TIFA
“…whisper…whisper…	「ヒソヒソ……。
(Wasn't that a little harsh,	（AERIS！
AERIS!?)”	ちょっとひどいんじゃない？）」
AERIS	AERIS
“…whisper…whisper…	「ヒソヒソ……。
(Just act normal when this happens)”	（こういうとき、ヘンに気を
	つかわないほうがいいよ）」
TIFA	TIFA
“…whisper…	「ヒソヒソ……。
(You think so…?)”	（そうかな……）」
AERIS	AERIS
“Of course!”	「だいじょぶよ！」
AERIS	AERIS
“We're gonna go play…”	「わたしたち、遊んでくるね」
BARRET	BARRET
“So PLAY!	「勝手にしろ！
…mess around all you want!”	チャラチャラしやがってよ！」
“Don't forget we're after Sephiroth!”	「オレたちはセフィロスを
	追ってるんだぞ！
	それを忘れるんじゃねえ！」
AERIS	AERIS
“…I think he's mad.”	「……怒っちゃった」
TIFA	TIFA
“He'll be fine.	「あ、でも、だいじょうぶみたい。
He seems to be doing	なんだかいつものBARRET。
a little better now.”	少し元気でたみたい」
AERIS	AERIS
“Then, shall we!?”	「それじゃ、わたしたちも！」
TIFA	TIFA
“We'd better be careful,	「セフィロスが来てるかもしれないから
Sephiroth might be around.”	気をつけなくちゃね」
Go together	いっしょに行く
Don't go together	いっしょに行かない
AERIS	AERIS
“I wish we could just forget	「いろ～んなこと忘れて
everything and have fun!”	楽しめると、いいね」
Go together	いっしょに行く
Don't go together	いっしょに行かない
RED XIII	RED XIII
“…You want to go with me?”	「……私と行くのか？」
Go together	いっしょに行く
Don't go together	いっしょに行かない
YUFFIE	YUFFIE
“With me!?”	「アタシと！？」
Go together	いっしょに行く
Don't go together	いっしょに行かない
TIFA	TIFA
“CLOUD!”	「CLOUD！」
AERIS	AERIS
“CLOUD!”	「CLOUD！」
YUFFIE	YUFFIE
“CLOUD!”	「CLOUD！」
RED XIII	RED XIII
“CLOUD!”	「CLOUD！」
TIFA	TIFA
“I'll go with you.”	「いっしょに行くわ」
AERIS	AERIS
“Don't go alone, go with me!”	「１人で行かないで
	私と行きましょ！」
YUFFIE	YUFFIE
“Let's go together, CLOUD!”	「アタシといっしょに行こうよ！」
RED XIII	RED XIII
“Don't go by yourself…”	「１人ではなんだろう……」
Speed Square	スピードスクェア
Chocobo Square	チョコボスクェア
Event Square	イベントスクェア
Speed Square	スピードスクェア
Event Square	イベントスクェア
Chocobo Square	チョコボスクェア
Event Square	イベントスクェア
Event Square	イベントスクェア
Speed Square	スピードスクェア
Chocobo Square	チョコボスクェア
Round Square	ラウンドスクェア
Speed Square	スピードスクェア
Round Square	ラウンドスクェア
Chocobo Square	チョコボスクェア
Round Square	ラウンドスクェア
Round Square	ラウンドスクェア
“Uh…	「は
It's not time for the Event yet…”	イベントがまだでーーーーす。」
Chocobo Square	チョコボスクェア
Speed Square	スピードスクェア
Battle Square	バトルスクェア
Wonder Square	ワンダースクェア
Round Square	ラウンドスクェア
