Gongaga Village	ゴンガガ
Jungle	ジャングル
Meltdown Reactor	メルトダウン魔晄炉
Weapons Store	武器屋
Item Store	アイテム屋
Inn	宿屋
Residence	民家
Zack's Home	ザックスの実家
Mayor's Home	村長の家
Received "Titan" Materia!	『タイタン』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Deathblow" Materia!	『ひっさつ』のマテリアを手にいれた！
Received "X-Potion"!	『エクスポーション』を手にいれた！
Received "White M-phone"!	『ホワイトメガホン』を手にいれた！
“You a traveller? Hey wait,	「旅の人かい……おんや？
that glow in your eye…	あんたのその目の輝きは……
Are you in SOLDIER?”	ソルジャーさんだね？」
Grandma	おばあさん
“Oh, you're right!	「あらあらホントだよ！
Don't you know anything	あんたウチの息子を知らないかい？」
about our son?”	
Grandpa	おじいさん
“His name is Zack.”	「ザックスっちゅう名前なんだが」
Grandma	おばあさん
“It's been close to 10 years since	「こんなイナカじゃくらせないとか
he left for the city, saying that	言い残して都会へいったまま
he didn't want to live in the country…”	もう、かれこれ１０年近く……」
Grandpa	おじいさん
“He left saying	「ソルジャーになるっちゅうて
he's going to join SOLDIER.	村を飛び出したんだ
You ever hear of a Zack in SOLDIER?”	あんた、知らないかい？
	ソルジャーのザックス」
CLOUD	CLOUD
“Hmmm…I don't know.”	「さあ……知らないな」
TIFA	TIFA
“Zack…”	「……ソルジャーのザックス……」
Grandpa	おじいさん
“Young lady, you know him?”	「娘さん、知ってるのかい？」
Grandma	おばあさん
“I remember he wrote us 6 or 7 years ago	「そういえば６、７年前に手紙がきて
saying that he had a girlfriend.	ガールフレンドができましたって
Could that have been you?”	書いてあったけど、あんたかい？」
TIFA	TIFA
“…No, it wasn't.”	「……ちがいます」
AERIS	AERIS
“Zack…”	「ザックス……」
Grandpa	おじいさん
“Do you know him, young lady?”	「娘さん、知ってるのかい？」
AERIS	AERIS
“What a shock…	「……この村にザックスの家が
I didn't know Zack was	あるなんて知らなかったから
from this town.”	びっくりしちゃった」
CLOUD	CLOUD
“You know him?”	「知ってるヤツか？」
AERIS	AERIS
“Didn't I tell you?	「いつか話さなかった？
He was my first love.”	わたし、初めて好きになった人」
CLOUD	CLOUD
“…”	「…………」
AERIS	AERIS
“Zack…	「ザックス……
SOLDIER First Class.	ソルジャー・クラス１ＳＴ。
Same as CLOUD.”	CLOUDと同じ」
CLOUD	CLOUD
“Strange, there aren't that	「クラス１ＳＴなんて何人も
many who make First Class,	いないはずだ。
but I've never heard of him.”	でも俺は知らないな」
AERIS	AERIS
“That's all right.	「別にかまわないの。
It's all in the past now.	むかしのことだしね。
I was just worried	ただ、行方不明だから心配なだけ」
because I heard he's been missing.”	
CLOUD	CLOUD
“Missing?”	「行方不明？」
AERIS	AERIS
“I think it was five years ago.	「５年前かな。
He went out on a job,	仕事で出かけてそれっきり」
and never came back.”	
AERIS	AERIS
“He loved women, a real lady's man.	「女の子が大好きなヤツだったからね。
He probably found someone else…”	どこかで知り合った子と
