Nibelheim	ニブルヘイム
TIFA	TIFA
“What!?”	「え～っ！！」
TIFA	TIFA
“This was all burnt down, wasn't it?”	「燃えちゃったはず、だよね？」
CLOUD	CLOUD
“…I thought so.”	「……そのはずだ」
TIFA	TIFA
“Then why…	「それなのに、どうして？
My house is still here too…”	私の家もある……」
BARRET	BARRET
“The hell's goin' on!?	「どうなってるんだよ！
This a dream or somethin'?”	おまえ夢でも見てたのか？」
AERIS	AERIS
“…Something's strange?”	「……なんだか、変？」
RED XIII	RED XIII
“I wonder what's going on…”	「どういうことなんだろう……」
CAIT SITH	CAIT SITH
“CLOUD, maybe you	「CLOUDさん、夢でも見とったんと
were just dreaming…?”	ちゃいますか？」
CID	CID
“Hey, it isn't like	「聞いてた話とちがうぜ！」
what you told me!”	
YUFFIE	YUFFIE
“What the…?”	「なになに！？」
BARRET	BARRET
“You said the whole town burnt down, right?”	「おまえ、この村は
	全部燃えちまったって
	言ってたよな」
AERIS	AERIS
“This is Nibelheim, right?	「ここ、ニブルヘイムだよね？
But the town's all here.”	村、ちゃんとしてるよ」
RED XIII	RED XIII
“This is Nibelheim?	「ここがニブルヘイム？
I heard it burnt down.”	燃えて全滅って聞いてたけど」
CAIT SITH	CAIT SITH
“The whole town was destroyed by Sephiroth.	「セフィロスのせいで村は全滅。
At least that's what I heard…”	そう聞いてましたけど……」
CID	CID
“Didn't you say that your hometown	「おめえ、故郷は燃えてなくなったとか
burned down?”	言ってなかったか？」
YUFFIE	YUFFIE
“I thought someone said	「村、なくなったって
this town burnt down!”	誰かから聞いたよ！」
CLOUD	CLOUD
“…Yeah.”	「……ああ」
BARRET	BARRET
“You tryin' to fool us?”	「おまえ、オレたちを
	だましやがったのか！？」
AERIS	AERIS
“Hey, what's going on?”	「ね、どうなってんのかな？」
RED XIII	RED XIII
“CLOUD…	「CLOUD……
Did you lie to us?”	オイラたちにウソついた？」
CAIT SITH	CAIT SITH
“CLOUD, did you make up that story	「CLOUDさん
just to get our support?”	同情でもひこ思て、つくり話ですか？」
CID	CID
“Yo, CLOUD.	「CLOUDよう。
It's not good to lie.”	ウソはいけねえぜ」
YUFFIE	YUFFIE
“What happened?”	「どしたの？」
CLOUD	CLOUD
“I'm not lying!”	「俺はウソなんか言ってない」
CLOUD	CLOUD
“I remember…the intense heat of the flames…”	「俺はおぼえてる……
	あの炎の熱さを……」
“Wooow…	「うぁぁぁあああ……
He's…calling…Sephiroth…	呼んで……る……セフィロスが……
is…calling…”	呼んでる……」
Got "Mind Plus!"	『マインドアップ』を手にいれた！
“The…Great…Se…phi…roth…	「セフィ……ロス……さま……
is…near..."	ちかくに……いる……」
“In…side…inside…the Mansion…	「……屋敷……の……なか……
Urrrrrrrgh…the great…Sephi…roth”	おおぉぉぉ……セフィ……ロス……さま」
“Great…Sephi…roth…	「セフィ……ロス……さま……
…left us…”	……行って……しまった……」
“Over…mountains…	「山……こえて……
…gone…”	行って……しまった……」
“What is it?”	「なんだい、あんた？」
Nothing	なんでもないんだ
I want to hear your story	話が聞きたい
CLOUD	CLOUD
“I lived in this house	「俺はこの家に１４歳まで
until I was 14…”	住んでいた……」
CLOUD	CLOUD
“No, but this town was burned down.”	「いや、それよりこの村は
	全部燃えたはずだ」
“You're sick, saying such things…”	「なにをネボケたこと
	言ってるんだい！」
“Get out of here!”	「顔あらってから
	おとといおいで！」
“Oh, really.	「そうかいそうかい。
Then, it'll help me too.”	そりゃぁ、私も助かるよ」
“What's going to happen to this Planet!?	「この星はどうなっちまうんだい！
What the hell's Shinra doing!?”	神羅カンパニーは
	何をしてるんだい！」
CLOUD	CLOUD
“A man with a black cape!?”	「黒マントの男！？」
CLOUD	CLOUD
“He has a tattoo of the number '11'…”	「『１１』のイレズミがある……」
Received "Turbo Ether!"	『エーテルターボ』を手にいれた！
“…Must…go…	「……行かな……くては……
…Reun…ion…”	……リユニ……オン」
“…Must…get…it…	「あれ……を……手にい……れ
and bring…to…Se…phi…roth…”	セ……フィロスに……とどけるの……だ」
“Then…become…one…	「そ……して……おぉ……
with…Se…phi…roth…”	セフィ……ロスと……ひとつ……に」
CLOUD	CLOUD
“This guy's number '5'…”	「この男はナンバー『５』……」
TIFA	TIFA
“CLOUD…	「CLOUD……
CLOUD was playing.”	CLOUDが弾いてた」
“I wonder what…this is?”	「なんだろう……これ」
Received "Elemental" Materia!	『ぞくせい』のマテリアを手にいれた
“It looks like Materia, but I can't hold any more.”	「マテリアみたいだけど、もうもてない」
“TIFA's secret savings,	「ピアノのけんばんの間から
1 gil came out of the keyboard.”	TIFAのへそくり１ギルがでてきた」
“I've heard this melody somewhere before.	「どこかで聞いたメロディ。
I played it well.”	なんとなくうまく弾けた……」
TIFA	TIFA
“I have the sheet music for that song.”	「その曲なら、がくふがあるわ」
“Huh? Wait a minute!	「あれ？　ちょっと待って！
There's something inside the music sheet.”	がくふの間に何かはさまってる」
“TIFA,	「TIFAよ
what's happened to our town?	この村はいったいどうなっているのだ？
Was it all an illusion, or just a dream?	あれは幻、それとも夢だったのか？
No, it was neither.	いや、そんなはずはない。
I remember trying to get people	私ははっきりと覚えている。
out of the flames, but not having the strength…	炎の中から無事な者を救いだそうとしたが
Burning with anger, I went to the	力およばず……
reactor to kill Sephiroth.”	怒りに燃えた私はセフィロスを倒すべく
	魔晄炉へ向かった。」
“But he was nowhere to be found.	「セフィロスの姿は見えなかった。
“Instead, I found you, collapsed inside.	「そのかわり魔晄炉の中で倒れていた
	TIFA、おまえをみつけたのだ。
“I felt saving you was far more important	「セフィロスを倒すよりも
than going after Sephiroth.	おまえの命を救う方が大切だと私は考えた。
“There were several others that were still	「魔晄炉の中には他にも何人か
alive inside,	まだ息のある者がいたのだが
but I was only able to save you.”	救うことができたのはおまえだけだった」
	
“As I was coming out of the reactor,	「魔晄炉から出ると、神羅の軍隊が
Shinra troops were just arriving.	到着したところだった。
“I recall a scientist named Hojo was in charge.	「指揮をとっていたのは、たしか宝条という
He ordered the troops to gather up	科学者だったと記憶している。
everyone still alive for the experiment.	宝条は【少しでも息のある者は実験用に
I didn't know what type of experiment	集めておけ】と兵士たちに命令していた。
he was talking about,	何の実験だか知らないが、かわいい弟子を
but I wasn't about to let them have	渡すわけにはいかない。」
my dearest student.”	
“Putting you on my back, I headed down	「私はおまえを背負って山をおり
the mountain to the village.	そして村を出た。
I used the Cure spell on you many times.”	私は道中何度もおまえにケアルをかけつつ」
“And started to head for Midgar	「おまえの命を救ってくれる医者を求めて
to look for a doctor for you.	ミッドガルを目指した。
I didn't like that city,	あの街は好きではないが、私のケアルだけでは
and my Cure spells weren't helping.”	どうしようもなかった。」
“I decided to go to Midgar to find	「ミッドガルの信頼できる医者におまえをあずけて
a doctor I could trust.	私は再び旅に出ることにした。
I'm worried about you, but I can't	おまえのことは心配だったが
settle down in one place for very long.”	ひとつ場所にとどまっていられないのが
	私の性分だ。」
“Have you recovered fully? Are you well?”	「傷はすっかり良くなっただろうか？
	元気にしているだろうか？」
“I wonder how many years have	「あれから、何年がすぎたのだ？
passed since then?	私はふらりとこの村に戻ってきたが
I just got into town again,	正直なところ、おどろいている。
but I can't believe it…	村は元通りだが、黒い服の不気味な者たちが
The whole town is back to normal,	うろついている……。」
except for the strange people	
with black clothes all around.”	
“The town reeks of Shinra,	「神羅のにおいがぷんぷんするが
but I won't go after them.	私は深追いするつもりはない。
You may think I'm running from them,	逃げていると言われればそれまでだが
but it's just that	神羅にかかわるのは、もういやなのだ。
I don't want anything to do	さて、TIFA。
with Shinra anymore.	この家の者が戻って来ないうちに
Feels like time is running out.”	ここを立ち去らなくてはならない。
	時間はなさそうだ。」
“I'm sure you'll find this letter.	「おまえは必ずこの手紙を見つけるにちがいない。
And this gift for you. It should come in handy.	それを信じてここに私からのおくりものを
	隠しておく。
	きっと役に立つだろう。」
“I want to give it to you myself,	「直接渡したいところだが弟子に老いた自分を
but it's hard for my students to see me as an old man.	見られるのはつらい。
I can't even jump anymore.	もう私はジャンプさえ出来なくなってしまった。
But I hope you continue to sharpen	私の技、おまえがみがきあげてくれることを
your skills and remember what I taught you.”	ねがっている。」
“To my most precious student,  From Zangan”	最愛の弟子へ　ザンガン
Tifa's Final Mystery?	TIFAの最終奥義
Received "Final Heaven"	『ファイナルヘブン』を手にいれた
TIFA	TIFA
“Did you play my piano?”	「私のピアノを弾いたの？」
No, I didn't	いや、弾かなかった
Yeah, I jammed on it	ギンギンに弾いた
Just a little…	ちょっとだけ
CLOUD	CLOUD
“I can read sheet music too, you know.	「俺だって、がくふくらい読め……
Ummm, let's see…”	えっと……
“Do…\ Re…> Mi…> Ti…\ La…\	「ド…レ…ミ…シー…ラー…
> Do…> Re…> Mi…> So…> Fa…> Do…> Re…> Do…\	ド…レ…ミ…ソ…ファ…ド…レ…ド…
Forget it…”	いいや、もう」
CLOUD	CLOUD
“Play the piano?”	「ピアノでも弾くか……」
No, forget it	いや、やめておこう
Aw, go for it	ちょっとだけ
“…Now, how did this go?”	「……どうやって弾くんだったかな？」
I forgot	忘れた
I remember	おぼえてる
Do [CANCEL]	×　ド
Re [SWITCH]	□　レ
Mi [MENU]	△　ミ
Fa [OK]	○　ファ
So [PAGEUP]/[PAGEDOWN] + [CANCEL]	Ｒ１かＬ１と×　ソ
La [PAGEUP]/[PAGEDOWN] + [SWITCH]	Ｒ１かＬ１と□　ラ
Ti [PAGEUP]/[PAGEDOWN] + [MENU]	Ｒ１かＬ１と△　シ
Do [PAGEUP]/[PAGEDOWN] + [OK]	Ｒ１かＬ１と○　高いド
Do Mi So (C)Directional key Down	方向キー下　ドミソ（Ｃ）
Do Fa La (F)Directional key Left	方向キー左　ドファラ（Ｆ）
Re So Ti (G)Directional key Up	方向キー上　レソシ（Ｇ）
Mi So Do (C)Directional key Right	方向キー右　ミソ高いド（Ｃ）
End[START]	スタートボタン　終了
Use [START] to end.	スタートボタン　終了
CLOUD	CLOUD
“But…I definitely remember	「あのとき……
playing the piano then.	確かにこのピアノを弾いた。
So why wasn't it burnt down?”	でも、なぜ焼けなかったんだ」
CLOUD	CLOUD
“A man in a black cape?”	「黒マントの男！？」
CLOUD	CLOUD
“Tattoo number '4'”	「『４』のイレズミだ」
Received "Platinum Fist!"	『プラチナフィスト』を手にいれた！
“…Where…are…you?	「……どこ……で……す……か？
Great…Se…phi…roth…”	セフィ……ロス……さま」
