Wilderness	荒れ地
	
“Wait, wait, wait, wai----t!!”	「待った待った待ったーっ！！」
AERIS	AERITH
“What!?	「なになに！？
What happened all of a sudden?”	どうしたの、とつぜんあわてたりして？」
BARRET	BARRET
“What!?	「な、なんだなんだ！？
The hell happened all of a sudden!?”	急にどうしたってんだ？」
TIFA	TIFA
“What the--?	「な、なによとつぜん！？
Did something happen?”	何かあったの？」
RED XIII	RED XIII
“What happened all of a sudden?	「ど、どうしたんだよ急に！？
Don't scare me like that!”	ビックリするじゃないかよ！」
CAIT SITH	CAIT SITH
“Wh, wh, what is it, all of a sudden!?	「わ、わ、わ、なんや急に！？
Don't scare me like that!”	おどかさんといて～な」
CID	CID
“What the HELL is it!	「な、なんでえなんでえ！
Shoutin' out and jumpin' in front of me	急にデカイ声出して
all of a sudden!”	飛びだすんじゃねえよ！」
VINCENT	VINCENT
“What happened all of a sudden?	「突然、どうしたというのだ？
Did something happen?”	何かあったのか？」
YUFFIE	YUFFIE
“I know this area pretty well.”	「アタシ、ここいらあたりは
	ちょっとくわしいんだ」
“It gets pretty tough past here.	「この先ってさあ、
Better get ready…”	かなりキツイんだよね。
	だからね、いろいろ準備を……」
AERIS	AERITH
“…Hmmm…	「……ふ～ん……
Something's fishy…”	なんかアヤしいな～」
“You're not planning	「また何かイケないこと
something sneaky again, are you?”	考えたりしてない？」
AERIS	AERITH
“……Hmmm…	「……ふ～ん……
Something's fishy…”	なんかアヤしいな～」
“You're not planning	「何かイケないこととか
something sneaky again, are you?”	考えたりしてない？」
BARRET	BARRET
“Hah, I know what you're thinkin'.	「……ハハーン、よめたぞ。
And you sayin' that just now means	そんなこと言っておまえ
you're up to somethin'! Right!?”	また何かたくらんでるんだろ！　ちがうか！」
BARRET	BARRET
“…You serious?	「……ホントか？
And you sayin' that just now means	そんなこと言っておまえ
you're up to somethin'! Right!?”	何かたくらんでねえか？」
“I don't trust you.”	「ハッキリ言ってどうも
	信用できないんだよな、おまえ」
TIFA	TIFA
“…Really?	「……本当に？
Somehow, I don't believe it.”	な～んとなく、信用できないんだけどな」
“Are you trying to con us again?”	「また私たちを
	ダマそうとしてるんじゃ……」
TIFA	TIFA
“…Really?	「……本当に？
Something tells me I	な～んとなく、信用できないのよね」
shouldn't trust you.”	
“Are you going to trick us again?”	「ひょっとして私たちを
	ダマそうとしてるとか……」
RED XIII	RED XIII
“Hmm…	「クンクン……
Smells fishy.”	ウサンクサイにおいがするよ」
“Are you going to trick us again?”	「まさか、またオイラたちを
	だしぬこうとか……」
RED XIII	RED XIII
“Hmm…	「クンクン……
Smells fishy.”	ウサンクサイにおいがするよ」
“My nose never lies!”	「オイラのハナは
	ウソをつかないからね！」
CAIT SITH	CAIT SITH
“You serious?	「ホンマか～？
I can't trust you.”	この人なんや信用でけんのや」
“But then again, I guess I shouldn't talk.”	「ま、それはボクも
	いっしょやけどね」
CID	CID
“Hey!	「オウオウオウ！
You serious?”	おめえ、それ本当だろうな？」
“If you're trying to con us,	「このオレ様をだまそうったって
you won't get away with it!”	そうはいかねえぞ！？」
VINCENT	VINCENT
“Further down?	「ここから先が？
I don't see any signs of danger…”	そんな気配は感じられないが」
“There's something unnatural	「それにYUFFIEの態度にも
in the way YUFFIE's acting…”	どこか不自然なものが……」
YUFFIE	YUFFIE
“No!	「ちちちがうって！
It's REALLY tough…”	ホントのホントに大変なん……」
“There they are, catch 'em!!”	「いたぞ、つかまえろ！！」
CLOUD	CLOUD
“Shinra!?”	「神羅ッ！？」
TIFA	TIFA
“Shinra!?”	「神羅ッ！？」
AERIS	AERITH
“The Shinra!?”	「あっ、神羅の……！？」
BARRET	BARRET
“The Shinra!!”	「神羅かっ！！」
CAIT SITH	CAIT SITH
“That's Sh…Shinra's…”	「し、神羅の……」
CID	CID
“What, the Shinra!?”	「なにいっ、神羅だと！？」
RED XIII	RED XIII
“It's Shinra!!”	「神羅のッ！！」
VINCENT	VINCENT
“The Shinra!”	「神羅……！」
Shinra Soldier	神羅兵
“Hey, that's not them!	「おい、違うぞ！　ヤツじゃない！
These are the other guys from before!!”	こ、こいつら、例の！！」
AERIS	AERITH
“YUFFIE, did you by any chance…”	「YUFFIE、あなた、もしかして……」
BARRET	BARRET
“YUFFIE, so you're…”	「YUFFIE、おまえ、やっぱり……！」
TIFA	TIFA
“YUFFIE, you're not…”	「YUFFIE、あなたまさか……！」
RED XIII	RED XIII
“So you were, YUFFIE!!”	「やっぱりYUFFIE……！！」
