Weapon seller	武器職人の小屋
“Huh? Oh another customer.	「ん？　また客か
You sure picked an out of the	こんな、ヘンピな所に
way place but…”	よくもまあ」
“But if it's the 'Keystone' you're looking for,	「けど、ひと足遅かったな
you're too late.	『キーストーン』なら
Don't have it.”	もう、ねぇよ」
CLOUD	CLOUD
“Keystone?”	「キーストーン？」
“What? You didn't come here for	「なんだ、お前ら
that?”	あれ目当てで来たんじゃ
	ないのか？」
“The 'Keystone' is the key that unlocks	「『キーストーン』ってのは
the gate to a very old temple somewhere.“	この世界のどこかにある
	古～い、神殿の扉を開けるカギよ」
“You're not going to	「聞いておどろけ、その神殿とは
believe your ears,”	なんと古代種の神殿だ！！」
“but I heard it was	
the Temple of the Ancients!!”	
CLOUD	CLOUD
“The Temple of the Ancients?”	「古代種の神殿……」
“Ha, hah, hah, hah…”	「ゲラゲラゲラゲラ」
“Don't take it seriously.	「本気にすんなよ
It's just a legend!”	ただの言い伝えなんだからよ」
“Huh? What?”	「ん？　なんだ？」
Where is the Temple?	神殿はどこだ？
Let's change the subject	他の話
Never mind	何でもない
“I sold it already.	「売っちまったよ。
Yeah well, to tell the truth,	いや～よ、俺も売る気は無かったんだけど」
I didn't really want to sell it but…”	
“That guy had a way about him that made you feel	「ど～も、あの人のウムも言わさぬ
like it may not be a good idea	迫力に負けちまってツイ…」
NOT to sell it to him…”	
CLOUD	CLOUD
“Who did you sell it to?”	「どこのだれに？」
“The manager of the Gold Saucer.	「ゴールドソーサーで園長をやっている
think his name was 'Dio'.	『ディオ』だよ。
Said he was going to put it in his museum,	なんか展示室にかざるって
then he took off out of here.”	言ってたから行ってみな」
“Come on…it's only a legend.	「だから、言い伝えだって
But if it were true, that sure would	まぁ、けど本当にあったら
be something, huh?”	おもしれぇな」
“Now that you mention it,	「そういやぁ、こんな話聞いたことあるぜ
I've heard of something called	古代種の神殿には『究極の破壊魔法』が
Ultimate Destruction Magic	隠されてるとかなんとかな…」
It's supposed to be hidden somewhere	
in the Temple of the Ancients.”	
CLOUD	CLOUD
