“Welcome to Bone Village,	「ようこそ、自然主義者の村。
a town for nature lovers.”	ボーンビレッジへ」
“What do you want?”	「何か用かな？」
Where is the City of the Ancients?	古代種の都はどこだ？
Do you know where AERIS is?	AERISを知らないか？
What are you doing?	何をしている？
“What do you want?”	「何か用かな？」
Have you seen Sephiroth?	セフィロスを見かけたか？
What are you doing?	何をしている？
“Oh, the man in a black cape.	「ああ、黒い服の男か。
He was looking for the Temple of the Ancients.”	古代種の神殿をさがしていたな」
The Temple of the Ancients?	古代種の神殿？
Thanks	ありがとう
“It's way down south.	「ずうっと南に行ったところだ。
It's on the other side of	ちょうどこの村と内海をはさんで
this town and the inland sea.”	反対がわだよ」
“It's the pyramid rising out of the forest.”	「森の中にそびえるピラミッドさ」
How do you get in?	どうやって中にはいる？
That's enough	もういい
“You'll need the Keystone.”	「キーストーンがないとダメさ」
What's a Keystone?	キーストーンって？
Oh, yeah, I know	ああ知っている
“Just like it sounds.	「文字通りカギとなる石さ。
A rock that's a key.	どこかの金持ちが持っているって
I heard that some rich guy has it.”	話だな」
“You need something?”	「何か用かな？」
Are you going to run away??	逃げないのか？？
What are you doing?	何をしている？
“Through fossils, we already know	「僕たちはこの星の始まりから
everything that happened	今にいたるまでを化石を通して
on this Planet since the beginning.”	知ってきた」
“Now, we want to see the rest	「そして今、この星の終わりを
on to the end of the Planet…	見届けようとしている……
It's a mixed feeling…”	なんだか複雑な気持ちだよ」
“The City of the Ancients?	「古代種の都？
Oh, you must mean the Forgotten City.”	ああ、忘らるる都のことだな」
“Are you talking about that girl?	「あの女の子のことか？
I warned her, but she went into the	俺はやめろと言ったのに
Sleeping Forest anyway.”	【眠りの森】に入っていったんだ」
“Excavating is great.	「化石をほっているのさ。
It's like a history of the	大地が語る、この星の歴史……」
Planet told in the land.”	
“This town's motto is not to think	「この村のルールは
about anything.”	何も考えないこと」
“Just live.	「ただ、生きる。
Eat, work, and sleep.”	喰って、畑仕事して、ねる」
“It's pretty hard not to	「何も考えないのは
think about anything.”	けっこう、むずかしい」
“Want to buy something?”	「なにか買ってくかい？」
“Want to buy something?”	「なにか買ってくかい？」
I want the Lunar Harp	ルナ・ハープが欲しい
Don't want anything	何もいらない
“Thanks!	「まいど！
Now, the forest will awaken.”	これで森の目もさめるよ」
“The Lunar Harp is somewhere in the ground here.	「ルナ・ハープはこの土地の地下にねむっている。
We could excavate it for you if you want us to.”	ハックツして欲しいのならうけおうぜ」
Start diggin'	ハックツをたのむ
I want to buy something	かいものをしたい
Not right now	今は用はない
“Other than the Lunar Harp,	「ルナ・ハープだけがハックツ対象じゃないぜ。
What else do you want us to dig for?”	どれをハックツする？」
Lunar Harp	ルナ・ハープ
Good treasure	ちょっといい宝
Normal treasure	普通の宝
“This has already been excavated.”	「そりゃもうハックツずみさ」
“All right! Then I'll lend you some of my staff.	「よし！じゃあ、俺のスタッフをかしてやろう。
Show us where you want us to dig!”	ハックツポイントを指定してくれ！」
“Everything already excavated is in	「ハックツ品は上のテントわきのハコの中にあるぜ」
the box next to the tent.”	
“The memory of this planet is buried	「この地層に星の記憶が
layer by layer in this geological stratum.	積み重ねられているのよ。
Kind of romantic, don't you think?”	ロマンを感じるでしょ？」
“The forest just beyond here	「この先の森は【眠りの森】とよんでる。
is called the Sleeping Forest.	森が眠り、まどろんでいる間はそこに
Right now the forest is asleep.	迷いこんだ人間を惑わすと言われています。
Anyone who wanders in while	入ったら二度と出られないとも……」
it's asleep, gets confused.	
You can go in, but you may never come out…”	
“But just now, a girl in pink	「でもさっき、ピンクの女の子と
and a man in a black cape went in.	黒い男の人が入っていったわ。
You think they'll be all right?”	だいじょうぶかしら？」
“You can awaken the Sleeping Forest	「ルナ・ハープという楽器があれば
if you have the Lunar Harp.”	【眠りの森】は目をさますはず」
“Once awake, they say the forest	「目をさませば、森は道をひらくと
will open a road for you.”	言われています」
“The girl in pink who just went in	「さっききたピンクの女の子もルナ・ハープを
