Mideel	海流の村　ミディール
“Ahoy! Hey ain't you a beaut.	「ほい。こんにちわ、ぺっぴんさん。
This here's Mideel.	ここは、ミディール。
It's a quiet little Hot Springs town.”	のどかな温泉村じゃよ」
“Just the perfect place	「わしらのような年寄りが
for old folks like us	のんびりくらすには
to live out our lives.”	うってつけの場所じゃて」
“I hear that things ain't so peaceful	「どうも外では、なにやら
on the outside.	大変なことになっとるらしいが
But here it's still nice and quiet.”	まだここは静かなもんじゃよ」
“Ahoy! This here's Mideel.	「ほい、ここはミディール。
A quiet Hot Springs town…	のどかな温泉村……
At least it used to be…”	と言いたいところじゃが……」
“Lately the sea's been in a tizzy.	「最近どうも海がさわがしいんじゃ。
Lifestream has been mixin' things up	またライフストロンガーちゅうのが
at the bottom of the ocean.”	海底であばれとるんじゃろうて」
“I think the Planet's pretty angry, too.	「星も怒っとるのかもしれんのう。
We've pretty much done whatever we've	いままでわしらは、この星に
wanted to the Planet up till now.”	やりたいほうだいじゃったからなあ」
“Huh? Never seen you here before.	「おや、見なれない顔だね。
You from outta town?	外からきたのかい？
How're things on the outside?”	どうだい、むこうのようすは？」
“Between the earthquakes and Meteor…	「地震だの、メテオだの……
It just might be the end of the world	この世の終わりがくるってのは
like everyone's been sayin'…”	ほんとなのかねえ」
“Oh, how depressing!	「ああ、しんきくさい！
What a miserable world	イヤな世の中だよ
this is…”	まったく……」
“It's bad enough with earthquakes and Meteor,	「地震やメテオで大変だってのに
but on top of all that now the Lifestream has	その上ライフストリームまで活発に
become active again, too.”	なってきたっていうじゃない」
“I hope it doesn't blow and cause a panic	「またドカーンとあふれたりして
like it did before.	大騒ぎにならなきゃいいけどねえ。
That was really bad, I tell ya.”	シャレになんないよ、まったく」
“Everything must come to an end.	「ねぇ、ちょっとあなた……
And someday it's gonna be your turn.	いいこと教えてあげましょうか。
The world's gotta end sometime.”	見てしまったのよ、わたくし」
“Everybody goes sometime or another.	「あのドケチ女の、子チョコボが
And everyone gets left too.	はねの下に、緑色のきれいな石を
It's just fate…”	しまいこむのを……」
“It's sad, but there's nothing	「ええ、あれはまちがいなく
that can be done about it.	すごい宝石かなにかですわよ！
So that's why I'm prayin'	チョコボには、もったいないわ」
for all of you.”	
“That kid got a green stone from	「まあ、あの子チョコボから
that Chocobo!	緑の石をもらったのね！
I'm so jealous.”	うらやましい」
TIFA	TIFA
“What's the matter?	「どうしたの、おまえ？
Are you all alone?”	ひとりぽっちなの？」
TIFA	TIFA
“You got lost didn't you?	「見失っちゃったのね
Separated from someone you love?	大切なだれかを……？
Silly thing…”	バカだね……」
“I guess it's been about a week now	「……もう一週間にもなるかの
since he washed up here on the shore…	海岸にうちあげられた……
Poor pokey-headed young thing…”	あの、ツンツン頭の若いの……」
“It was really sad…but weird.	「ああ、ムゴイこっちゃが……
He was holding this really long	でも、ありゃどうも変だで……
sword.”	どでかい長剣、にぎりしめて……」
“I dunno. The whole thing feels	「なんや不吉な気がするんや。
unlucky to me. But the amazing	なんちゅうても、ほれ……
thing was those weird blue eyes…”	あの、ふしぎな青い目……」
TIFA	TIFA
“Wha!?”	「えッ！？」
TIFA	TIFA
“Wh…wait a minute!!	「ちょ……ちょっと
What did you just say!?”	待ってください！！
	いま、なんて！？」
TIFA	TIFA
“Excuse me!	「すみません！
That person you	いまの話の若い人って……
were just talking about…”	もしかして……」
“Yeah…a villager found him	「ああ……この先の海岸で
a little ways down the coast…	村の者が見つけたんじゃよ……。
It was about a week ago I think.”	もう一週間ほど前のことじゃ」
“Poor kid…	「うん、かわいそうに……。
He must've drifted from	ありゃ、かなり遠くから
somewhere pretty far away.”	流されて来たんやで……」
TIFA	TIFA
“CLOUD!!	「CLOUDよ！！
It must be!!	まちがいない！！
It's CLOUD!!”	CLOUDだわ！！」
BARRET	BARRET
“You sure!?”	「ほんとか！？」
BARRET	BARRET
“Uh…!?	「あ……！？
Yo, TIFA!!”	おい、TIFA！！」
RED XIII	RED XIII
“Over here!”	「やっぱり、ここに！」
RED XIII	RED XIII
“Halt!”	「待って！」
CID	CID
“Heh, good job, TIFA.”	「へっ、やったな、TIFA」
YUFFIE	YUFFIE
“BINGO!!”	「ビンゴね！！」
YUFFIE	YUFFIE
“Oh, HEY!”	「あん、ちょっとお！」
