“She's always there	「あら、こんにちわ。
right by his side.	彼女、いつも彼につきっきりよ。
She must really love him.”	よっぽど大切な人なのね」
“Even at a time like this	「いい、たとえどんな時でも
You've got to be strong like her.”	彼女みたいに、強くならなきゃ」
“Sometimes he mumbles	「そうそう、彼、時々ナンバーが
about numbers…	どうのってつぶやくんだけど……
I wonder what it means?”	なんのことなのかしら？」
“She's finally beginning to	「彼女、最近さすがにつかれが
look a little tired…	みえてきたみたいだけど……
I hope she's all right.”	だいじょうぶかしら？」
“No change in his condition,	「ぜんぜん変化がないなかで
yet she stays right by his side.	それでもがんばりつづけるのって
It must be tough on her.”	けっこうしんどいのよね」
“If she keeps this up	「このままじゃ、彼女の方まで
she's going to get sick…”	おかしくなっちゃうんじゃ
	ないかしら……」
Doctor	ドクター
“I'm sorry…	「やあ、君たちか……。
But your friend's condition	残念だが、友人の容体は
remains unchanged…”	相変わらずだよ……」
“You'll have to be patient and wait this out.	「あきらめずに気長に待つんだ。
These things take time.	こういうことは、時間が
Just like fine wine, time is of the essence.”	かんじんだよ、時間が……。
	うまいワインとおんなじでな」
CLOUD	CLOUD
“A billion mirror fragments…	「百億の……鏡のかけら……
small…light…”	小さな……ともしび……」
“taken…angel's…	「とらわれた……天使の……
singing voices…	うた声……。
…Xeno…gears…”	……ゼノ……ギアス……」
CLOUD	CLOUD
“uh…a….aah…”	「う……あ……ああ」
“…what…	「……。俺……。
What number….am I?”	ナンバー……いくつ？」
TIFA	TIFA
“CLOUD…	「CLOUD……
I don't understand a word.”	ぜんぜんよくならないの……」
“I'm such a fool……	「バカだな、私……。
I thought I could do	CLOUDに、なにをしてあげられると
something to help…”	思ってたんだろ……」
TIFA	TIFA
“…It's no use…I don't understand	「……ダメだわ……。
a thing, CLOUD.”	CLOUD、ぜんぜんよくならないの」
“What should I do?	「私、どうしたらいいのか……。
What if you never recover	もしCLOUDが、このまま一生
for the rest of your life?”	なおらなかったら……？」
TIFA	TIFA
“Eyaaah!?”	「キャッ！？」
TIFA	TIFA
“Oh no…	「ま、まさか……
It's…”	これって……！？」
CLOUD	CLOUD
“…coming….	「……ヤツらが……
They're…coming…!!”	ヤツらが……来る……！！」
CID	CID
“What did you say, CLOUD!?”	「なんだってえ、CLOUD！？」
CID	CID
“Damn.	「ちくしょー。いったい
What the hell's goin' on!?”	どーなってやがんだ！？」
Doctor	ドクター
“This is bad!!	「こ、こりゃ、いかん！！
This one's big!”	でかいぞ！」
“Eyaaah!	「キャーッ！
I hate earthquakes!!”	わ、わたし、ダメなのよ、地震！！」
TIFA	TIFA
“Oh god…	「なんかマズイよ……。
The tremors are getting worse.”	ユレが、どんどんひどくなってくる」
TIFA	TIFA
“Wait a minute, CLOUD.”	「ちょっと待ってて、CLOUD」
TIFA	TIFA
“Doctor! Shouldn't we move	「先生！　ここにいるより
him somewhere?”	どこか外へ逃げた方が……？」
Doctor	ドクター
“Hmm…It might be safer	「うむ……。開けた場所へ
to move to an open area.”	避難した方が安全かも知れんな」
TIFA	TIFA
“Don't you worry about	「なにも心配しなくていいのよ
a thing, CLOUD…”	CLOUD……」
“I'll see to it that you get	「私がきっと、安全なところまで
