Old man's house	オヤジ小屋
“…zzzz…zzzz…”	「ぐー、ぐー」
“What're you groping	「なに、勝手に
around for?	さわってんじゃ！」
“…	「……………」
“…zzzzz…zzz…”	「ぐー、ぐー…」
“Who're you?	「なんじゃ、お前さんは」
“Hmph. I guess it was fate	「ふん、じゃがワシが
that I woke	起きたとき会ったのも
up and met you	なにかの縁じゃわい。
here!”	ほれ！」
Received "Mythril"!!	『ミスリル』を手にいれた！！
Received "Bolt Ring"!!	『雷の指輪』を手にいれた！！
“Come on.	「けしから～ん
You already escaped  times.	回も逃げてんじゃな～い
…zzz…zzzzzzz…”	ぐー、ぐー」
“You've already fought  times…	「回も戦っとるのかぁ…
…zzzzz…zzzzzzzz…”	ぐー、ぐー」
“Large Materia	「大っきいマテリアは
needs high level Materia…	レベルが高～いマテリアが
	欲しいのかぁ……
…zzzzzz….zzzzzzz…”	ぐー、ぐー」
Mystery House	？？？の家
Chocobo Sage's House	チョコボせんにんの家
Wark!	「クエっ！」
“Ho ho.	「ほーほっほ
It's unusual for people to	こんなヘンピな所に
come to such an out of the way place…”	人が来たのは……」
“I can't remember how long it's	「何年ぶりじゃろうな
been since my last guest.”	おぼえておらんわぁ」
CLOUD	CLOUD
“Who are you?”	「あんたは何者だ？」
TIFA	TIFA
“Who are you?”	「あなたは、だれ？」
CID	CID
“Who are you?”	「おまえ、何もんだ？」
“Me?	「わしか？
I'm…”	わしは……」
“I don't know.”	「誰じゃったかのぉ？」
CLOUD	CLOUD
“You don't know who	「はぁ？
you are?”	あんた自分のことだろ？」
TIFA	TIFA
“Wha?	「えっ？
You don't know who you are?”	自分が誰だかわからないの？」
CID	CID
“Huh? You're sayin' you don't even	「あ？　おめぇってば　自分のこともわかんねぇのかよ？」
know who you are?”	
“Been a while since	「長いこと考えて
I gave it any thought…”	おらんかったしのぉ……」
“What was it they used to call me?”	「なんて、呼ばれておったかのぉ」
“Oh yeah!!	「そうじゃ！！
They used to call me the 'Chocobo Sage'.	人は私を『チョコボせんにん』
That's right!!”	と呼んでおった！！」
“Right, that was it,	「そうじゃ、そうじゃ
The Chocobo Sage!!”	『チョコボせんにん』じゃ！」
CLOUD	CLOUD
(No one would forget that)	（忘れるなよ、そんなこと）
TIFA	TIFA
(Who would forget that?)	（普通、忘れないわよね……）
CID	CID
(The hell's wrong with this guy?)	（なに、考えてんだコイツ）
Chocobo Sage	チョコボせんにん
“Now what can I do for you?”	「さて、この私になんのようかのぉ？」
Sell me something?	なんか売って
What about that Chocobo?	あのチョコボは？
Nothing	なんでもない
Sell me something?	なんか売って
You remember anything?	何か思い出した？
Nothing	なんでもない
Chocobo Sage	チョコボせんにん
“That Chocobo?	「おお、あのチョコボか？
Well that one is…”	あのチョコボは……」
Chocobo Sage	チョコボせんにん
“Let's see now,	「なんじゃったかのぉ
I don't quite remember…”	思い出せんのぉ…」
Chocobo Sage	チョコボせんにん
“I remember now!	「おお、思い出したぞ！
That's the one they call…”	あのチョコボはのぉ」
“It's a Mountain Chocobo.	「『山チョコボ』じゃ。
And like the name says,	名の通り、山も越えられる
he can cross any mountain.”	チョコボじゃて」
“There is another one that	「他にも川を越えられる
can cross rivers, too.	『川チョコボ』とかも
They call him a 'River Chocobo'.”	おったのぉ」
CLOUD	CLOUD
“Where can we catch one?”	「どこで捕まえる？」
TIFA	TIFA
“Where can we find one?”	「どこで捕まえられるの？」
CID	CID
“Where can I get one of those	「どこにいるんだ
Whatdyacallem Chocobos?”	その何とかチョコボってのは？」
Chocobo Sage	チョコボせんにん
“There aren't any around now.”	「いやいや、今はおらんよ」
CLOUD	CLOUD
“…	「………
That's one right there, isn't it?”	いるだろ、そこに」
TIFA	TIFA
“What about that one	「ちょっと
right there?”	いるじゃない、そこに」
CID	CID
“What're you flappin' about?	「ふかしこいてんじゃねぇよ
There's one right there!”	いるじゃねぇか、そこに」
Chocobo Sage	チョコボせんにん
“Wha?	「はて？
