Dolphin Shores	イルカの海辺
CLOUD	CLOUD
“Old man…”	「ジジイ……」
BARRET	BARRET
“Yo!! Junon airport?”	「おう！！
	ジュノンエアポートだろ！」
TIFA	TIFA
“Just in time!”	「助かったね！」
“Come on! Let's go to the airport!”	「さ！
	エアポートにいきましょ！」
RED XIII	RED XIII
“Ugh. It's salty!	「しょっぱいよう！
Let's go to the airport!”	エアポートにいこうよ！」
CID	CID
“God!! I'm drenched!”	「クソッ！
	ずぶぬれだぃ！」
“Hurry up! Let's get to the airport!”	「いそげぃ！
	エアポートだっ！」
YUFFIE	YUFFIE
“Phew…	「ふぅっ～！！
The air up here's great!”	地上の空気はおいしいよ！」
“Hey!	「ほらっ！
Let's go to the airport!”	エアポートにいこう！」
CAIT SITH	CAIT SITH
“Let's go to the airport!”	「エアポートに
	いきましょか！」
Vincent	VINCENT
“Looks like we made it.	「たすかったようだな。
You'll probably head for the airport, right?”	エアポートへむかうのだろ」
CLOUD	CLOUD
“Hmm…Junon.”	「ジュノンか……」
“I'd love to get my hands on a submarine	「なんとか、潜水監も
right now.”	手に入れておきたいところだな」
BARRET	BARRET
“Yeah! I could go for that!	「おう！！　おもしれえ！
Let's go to the submarine dock	ジュノン地下の【潜水監ドック】にもよってくか！」
under Junon!”	
TIFA	TIFA
“There should only be a few guards now.”	「いまなら警備もうすいわ」
“It might be safe to go to	「ジュノン地下の【潜水監ドック】に
the submarine dock under Junon.”	よってくのもいいかもね」
RED XIII	RED XIII
“I would like to ride it!	「オイラ、のりたいな！
Let's get one from the submarine dock	ジュノン地下の【潜水監ドック】！
beneath Junon!”	とりにいこうよ！」
CID	CID
“You want it? Then you got it!	「ほしいならしかたねぇ！
They're down at the submarine dock	ジュノン地下の【潜水監ドック】！
underneath Junon!	とれるときにとっとけ！」
You gotta get what you want while you can!”	
YUFFIE	YUFFIE
“…Yeah!!”	「ええっ～！！
“The submarine dock underneath Junon!	ジュノン地下の【潜水監ドック】！
	ぬすむのはいいけどさ！」
I can steal a sub easy enough,	「乗るのは
but I can't pilot it!”	えんりょしとくよ」
CAIT SITH	CAIT SITH
“Security's pretty light now!	「潜水監はジュノン地下の【潜水監ドック】に
The submarine's at the submarine dock!”	ありますんや！」
VINCENT	VINCENT
“It should be alright.”	「悪くなかろう」
CLOUD	CLOUD
“Let's go…”	「いくか……」
“I sure was scared when Weapon attacked.	「ウェポンの襲撃にはビビッタよな。
It gives me the creeps knowing there's	あんなヤツがまだあと２匹いるかと
still two of them left.”	思うとゾッとするよ」
“Oh yeah? Well, I'm ready to fight	「そうかい？俺は人類最大の敵を
mankind's worst enemy	目の前にして武者ぶるいしている。
like a real warrior.	惑星規模の闘いなんてめったに
It's not everyday you get to fight	経験できないぜ」
in an inter-planetary war.”	
“The President is gathering up	「社長はこの星に存在するヒュージマテリアを
all the Huge Materia on the planet.	全てあつめ、ロケットでメテオにぶつける
He wants to shoot it at Meteor	つもりだ。たいした社長だよ」
in the rocket.”	
“President Rufus is different	「ルーファウス社長は先代と違う。
from the older generation.	神羅の持つ科学力を総動員して
He'll protect the planet with	この星を守っている」
all of Shinra's	
state of the art technology.”	
