“You…you!	「お、おまえたち！？
Why are you here?	なぜここに？
Rude of the Turks should've been here!!”	タークスのルードがいたはずだ！！」
CLOUD	CLOUD
“Too bad.	「残念だったな。
Those guys are over there.”	ヤツなら、そこでたおれてるぜ」
“Oh man…the Turks, being done in like that…	「く～っ、あのタークスが
	あっさりやられるなんて……
But, I won't let you through!”	しかし、ここは通さんぞ！」
“Urrrrgh…”	「ぐぅ……」
“Hey! Just when I thought somethin'	「おお！　騒がしいと思ったら
was goin' on, you come back!”	艇長、帰ってきたのか！？」
CID	CID
“Hey!	「おい！
What the hell're you guys doin'!?”	てめえら、何をしてるんだ！？」
“Listen to me, Captain.	「聞いてくれよ、艇長。
We're gonna launch this rocket!”	ロケットを飛ばせるんだぜ！」
CID	CID
“Huh?	「あん？
What are you talkin' 'bout?”	いったい、何の話だ？」
“We're gonna load a Materia bomb	「このロケットに、マテリア爆弾を積んで
in this and blow up Meteor.”	メテオにぶつけて破壊しちまうんだ」
“Our rocket's gonna	「オレたちのロケットが
save the planet!”	この星を救うんだぜ！」
“Urrrrgh.	「うう～
Man this is so COOL!!”	興奮するぜ～！！」
CLOUD	CLOUD
“Wait a minute!”	「ちょっと待ってくれ！」
CID	CID
“Shut up!!	「うるせぇぞ！！
Just shut the hell up!”	おめえは、だまってろい！」
CID	CID
“How's the rocket?”	「ロケットの調子はどうなんだ？」
“It's pretty much OK.”	「だいたいＯＫだ」
“But…”	「でも……」
“We planned to run it	「ロケットをオートパイロット装置で
into Meteor on Auto-Pilot, but	メテオにぶつける計画なのに
the most important device is broken.”	かんじんの装置が壊れてるんだよ」
CID	CID
“Broken?	「壊れている、だぁ？
How's the repair goin'?”	修理は、どうなっている」
“Shera's doin' it…”	「シエラがやってるけど……」
CID	CID
“Oh great!	「ケッ！　おめでたいヤツらだな！
What a buncha wizards you guys are!	あの女に任せてた日にゃ
She's gonna take a 100 years!”	１００年たっても終わんねぇぜ！」
CID	CID
“I'll take over, so don't worry	「こいつはオレ様が動かしてやるから
about the Auto-Pilot!”	オートパイロット装置なんて放っとけ！」
CID	CID
“Hey, go ahead!	「ホレ、ホレ！
Go tell everyone!”	みんなに伝えてこい！」
“All right, Captain.	「わかったよ、艇長。
Good luck.”	あとは、よろしくたのんだよ」
CLOUD	CLOUD
“Hey, CID!	「おい、CID！
What're you doing!?”	どういうつもりだ！？」
CLOUD	CLOUD
“There are generations of knowledge	「マテリアの中には
and wisdom inside the Materia.”	古代からの知識、知恵が
	封じこまれているんだ」
“We're gonna borrow their powers and	「俺たちはその力を借りて
save the Planet from Sephiroth.”	セフィロスの手から
	この星を救う」
“There's no way that	「ヒュージマテリアを失うわけには
we can lose the Huge Materia.	いかないんだ。
You understand that, right?”	それは、わかっているはずだろ？」
CID	CID
“Yeah, I understand.	「おお、わかってるぜ。
I understand that Materia is precious,	マテリアが大切なものだってのも
and I also understand what you're thinking.”	おまえさんの考えもよ！」
CID	CID
“But listen.”	「でもな、聞けよ」
“I don't give a rat's ass whether it's	「オレ様はよ、科学の力だろうが
science or magical power.”	魔法の力だろうが
	そんなこたあ、どっちでもいいんだ」
CID	CID
“No, I guess if I had to choose, I'd rather	「いや、オレ様はどっちかってえと
put my money on the power of science.”	科学の力にかけてみてえ」
CID	CID
“Humans only used to walk	「地ベタをはいずりまわってた人間が
around on the ground	空を飛べるようになったんだぜ！」
but now they can fly!”	
“And finally,	「そして、ついには宇宙まで
we're about to go	行こうってんだ」
into outer space.”	
CID	CID
“Science is a 'Power' created and	「科学は、人間が自らの手で
developed by humans.	生み出し、育て上げた『力』だ。
And science just might be	その科学が、この星を救うかもしれねえ」
what saves this Planet.”	
CID	CID
“I was able to earn	「科学のおかげでメシをくってきた
my living, thanks to science.	オレ様にとってはよ
So to me, there's nothing greater!”	これほど素晴しいことはねぇぜ！」
CID	CID
“Now quit your worrying	「いつまでも神羅がどうのこうの
bout what Shinra's gonna do!”	こだわってるんじゃねえ！」
“I don't want to regret	「オレ様はな、あとから
not having done something later.”	ああ、やっとけば良かったなんて
	考えたくはねえんだよ」
CLOUD	CLOUD
“But, CID…”	「しかし、CID……」
CID	CID
“Shut the hell up!!	「だまれ！！
I don't wanna hear it!!”	しかしも、かかしもねぇ！！」
CID	CID
“Alright, time to get to work!	「さあ、ここはオレ様の仕事場だ！
Anyone who ain't involved,	関係ねぇお前たちは
get the hell outta here!”	とっとと出て行きやがれ！」
CID	CID
“What the hell?	「な、なんだぁ？
What the hell happened!?”	なにがおこった！？」
Palmer	パルマー
“Hey-hey!”	「うひょっ！」
CID	CID
“Palmer!	「パルマー！
What the hell did'ya do!?”	てめぇ、何しやがった！？」
Palmer	パルマー
“They said they finished	「オートパイロット装置修理完了だってさ。
repairing the Auto-Pilot.	だから打ち上げだよ～ん」
So, I laun---ched it!”	
CID	CID
“Goddamn Shera!	「くっ！　シエラのやつ
Why'd she pick today to get fast!”	今日に限って早い仕事かよっ！」
CID	CID
“DAMN! Won't even budge!	「クソったれ！　ビクともしねえ！
It's completely locked up!”	完全にロックされちまってるぜ」
Palmer	パルマー
“Hey-hey-hey!	「うひょひょっ！
Almost lift off!”	もうすぐ発射だよ～ん」
CID	CID
“What the!? No countdown!?	「ケッ！　秒読みはどうした！？
It just don't seem the same without it!”	気分がでねえぞ！」
Palmer	パルマー
“Hey!!!!	「うひょ～～～！！！
Hey-hey!!!	うひょうひょ！！！
Blast-----off!”	発射だぴょ～～ん！」
BARRET	BARRET
“Can't we do somethin'?	「おい、なんとかならねぇのか？
We can't jus' leave it.”	このままじゃ、ヤバいぜ」
TIFA	TIFA
“Can't we do something?	「ねぇ、なんとかならないの？
If it goes on, we're…”	このままじゃ、私たち……」
