“Release insects and frogs	「一度つかんだ虫やカエルは【決定ボタン】を
by pushing [OK].”	押すことによって手放すことができます。」
“Insects and frogs react differently	「はなした場所によってリアクションが違いますので
depending on where	いろんな場所でためしてください。」
you release them, so try many different	
places.”	
“Push [SWITCH] to give up.	「ギブアップする時は□ボタンを
You will return to the Entrance.”	押してください。入口までもどされます。」
“If you learn the special qualities	「【古えの森】の生き物はその特性を知れば
of the animals in the (Old Forest),	怖くはないのよ。知りたい？」
there'll be nothing to fear.	
Do you want to hear more?”	
Yeah, tell me	ああ、教えてくれ
Not now	今は聞く気分じゃない
“What do you want to know about?”	「何の事を知りたい？」
About Pitcher Plants	ウツボカズラの事
About Scent Balls	くす玉草の事
About Big Eaters	大喰らいの事
About Inchworms	しゃくとり虫の事
“It's a strange plant that hangs	「上からぶら下がっている不思議な植物ね。
down from above.	普段はフタが開いているけど
It's mouth is usually open	あれは虫を食べるためなのよ」
to catch insects.”	
“When an insect gets in,	「いったん虫を取りこむとフタがしまるの。
it closes its mouth, trapping it.	あのフタ、見た目よりも頑丈なのよ。
It's lid's stronger than	人が乗れるくらいにね。
it looks.	でも好き嫌いが激しいからはきだす事もあるわ」
It's big enough to	
hold a human.	
But it's really picky and	
spits out lots of stuff.”	
“Be really cautious with this flower.	「この花だけは気をつけてね。
It'll snap at anything.	なんでもガブって食べちゃうわよ。
If you're going to go through here…	もしここを通り抜けるとしたら……
do it the instant it closes its mouth.”	口を閉じている一瞬だけね」
“It may not look it…or maybe it does,	「みかけによらず……いや、みかけ通りかな？
but this insect is really timid.	おくびょうなのよ、この虫。
If you go near it, it'll run away…	近づくと逃げちゃうし……
If you touch it, it'll just turn in to a ball…”	さわるとかたまっちゃうし……」
