Highwind‚on deck	ハイウインド・甲板
Northern Cave Crater	大空洞火口
Inside Northern Cave	大空洞内部
Received "Elixir"!	『エリクサー』を手にいれた！
Received "Mystile"!	『ミスティール』を手にいれた！
Received "Speed Source"!	『スピードアップ』を手にいれた！
Received "Tetra Elemental"!	『テトラエレメンタル』を手にいれた！
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "Power Source"!	『パワーアップ』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
Received "Guard Source"!	『ガードアップ』を手にいれた！
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Magic Source"!	『マジックアップ』を手にいれた！
Received "Save Crystal"!	『セーブクリスタル』を手にいれた！
Received "HP Absorb" Materia!	『ＨＰきゅうしゅう』のマテリアを手にいれた！
Cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
“Take care!”	「お気をつけて！」
Jump down	飛び降りる
Don't do it	やめる
Jump across	飛びうつる
Don't do it	やめる
Climb up	よじ登る
Don't do it	やめる
Go down	下におりる
Don't do it	やめる
Push [OK] to jump down.	「【決定ボタン】で
	飛び降ります」
Push [OK] to climb up.	「【決定ボタン】で
	よじ登ります」
“Welcome!	「おつれさまです！
Everyone's waiting for you.”	皆さんが、中でお待ちです」
Northern Cave	大空洞
Received "Potion"!	『ポーション』を手にいれた！
Received "Hi-Potion"!	『ハイポーション』を手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Received "Turbo Ether"!	『エーテルターボ』を手にいれた！
Received "Phoenix Down"!	『フェニックスの尾』を手にいれた！
CLOUD	CLOUD
“Looks like we can only slide down.”	「すべり降りるしかなさそうだな」
Alright, let's go!	よし、行くぞ！
Let's get ready first	準備をしてからにしよう
CLOUD	CLOUD
“Looks like we can get back to the Highwind.”	「ハイウインドへ戻れそうだな」
Let's go back to the Highwind	ハイウインドへ戻ろう
Let's get off again	もう一度降りてみよう
Inside Northern Cave	大空洞内部
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Shield" Materia!	『シールド』のマテリアを手にいれた！
Received "Counter" Materia!	『コマンドカウンター』のマテリアを手にいれた！
Received "W-magic" Materia!	『Ｗまほう』のマテリアを手にいれた！
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "Power Source"!	『パワーアップ』を手にいれた！
Received "Guard Source"!	『ガードアップ』を手にいれた！
Received "Magic Source"!	『マジックアップ』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
Received "Hero Drink"!	『英雄の薬』を手にいれた！
Received "Vaccine"!	『ワクチン』を手にいれた！
Received "Imperial Guard"!	『インペリアルガード』を手にいれた！
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Hero Drink"!	『英雄の薬』を手にいれた！
Received "X-Potion"!	『エクスポーション』を手にいれた！
Received "Turbo Ether"!	『エーテルターボ』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
Push [OK] to jump down.	「【決定ボタン】で
	飛び降ります」
Push [OK] to jump.	「【決定ボタン】で
	ジャンプします」
CLOUD	CLOUD
“The road splits into two.	「道が別れているな。
We'll split into two groups.”	ここは二手に別れるか」
CLOUD	CLOUD
“Another fork in the road…”	「また、別れ道か……」
CLOUD	CLOUD
“Well,	「さて
which way?”	どっちに行こう……」
Left	左
Right	右
BARRET	BARRET
“CLOUD,	「CLOUD
which way you goin'?”	おまえは、どっちを選ぶんだ？」
Left	左
Right	右
TIFA	TIFA
“CLOUD,	「CLOUD
which way should we go?”	どっちに行く？」
Left	左
Right	右
RED XIII	RED XIII
“Which way are we going,	「どっちに行くんだい
CLOUD?”	CLOUD？」
Left	左
Right	右
YUFFIE	YUFFIE
“CLOUD,	「CLOUD、あんたは
which way are you goin'?”	どっち行くの？」
Left	左
Right	右
CAIT SITH	CAIT SITH
“What do we do now,	「CLOUDさん
CLOUD?”	どないします？」
Left	左
Right	右
VINCENT	VINCENT
“What are you going to do,	「どうするんだ
CLOUD?”	CLOUD……？」
Left	左
Right	右
CID	CID
“Which you gonna choose,	「どっちにすんだい
CLOUD?”	CLOUD？」
Left	左
Right	右
BARRET	BARRET
“All right, then I'll go…”	「そうか。　それじゃ、オレは……」
Left	左
Right	右
TIFA	TIFA
“Then, I'm going…”	「じゃあ、私は……」
Left	左
Right	右
RED XIII	RED XIII
“All right, then I'll go…”	「よし、オイラは……」
Left	左
Right	右
YUFFIE	YUFFIE
“I'm going…”	「アタシはね～……」
Left	左
Right	右
CAIT SITH	CAIT SITH
“Then, I'll head…”	「ほんなら、ボクは……」
Left	左
Right	右
VINCENT	VINCENT
“Then, I will go…”	「ならば、私は……」
Left	左
Right	右
CID	CID
“All right! I'm headin'…”	「よっしゃ！　オレ様は……」
Left	左
Right	右
CLOUD	CLOUD
“Well…	「さて……
which way should I go…?”	どっちに行こう……」
Up	上
Down	下
BARRET	BARRET
“CLOUD	「CLOUD
which way you gonna choose?”	おまえは、どっちを選ぶんだ？」
Up	上
Down	下
TIFA	TIFA
“CLOUD	「CLOUD
which way should we go?”	どっちに行く？」
Up	上
Down	下
RED XIII	RED XIII
“Which way are we headed,	「どっちに行くんだい？
CLOUD?”	CLOUD」
Up	上
Down	下
YUFFIE	YUFFIE
“CLOUD,	「CLOUD、あんたは
which way you goin'?”	どっち行くの？」
Up	上
Down	下
CAIT SITH	CAIT SITH
“CLOUD,	「CLOUDさん
what shall we do?”	どないします？」
Up	上
Down	下
VINCENT	VINCENT
“What now,	「どうする
CLOUD?”	CLOUD……？」
Up	上
Down	下
CID	CID
“Which way you gonna go	「どっちにすんだい
CLOUD?”	CLOUD？」
Up	上
Down	下
BARRET	BARRET
“All right, I'm goin'…”	「そうか。　それじゃ、オレは……」
Up	上
Down	下
TIFA	TIFA
“Then, I'll go…”	「じゃあ、私は……」
Up	上
Down	下
RED XIII	RED XIII
“All right, then I'm going…”	「よし、オイラは……」
Up	上
Down	下
YUFFIE	YUFFIE
“I'm goin'…”	「アタシはね～……」
Up	上
Down	下
CAIT SITH	CAIT SITH
“Then, I'll be heading…”	「ほんなら、ボクは……」
Up	上
Down	下
VINCENT	VINCENT
“If so, I will go…”	「ならば、私は……」
Up	上
Down	下
CID	CID
“All right! I'm heading…”	「よっしゃ！　オレ様は……」
Up	上
Down	下
CLOUD	CLOUD
“Now don't any of you die on me.	「死ぬなよ、みんな。
…”	ヤツの……」
“Gotta get through to Sephiroth!”	「セフィロスのもとに
	たどりつくまで……！」
CLOUD	CLOUD
“This will be the end of it!”	「これで……
	これで終わりにするんだ！」
BARRET	BARRET
“Well…looks like this	「さーて、BARRETさん
is our last big job!”	最後の大仕事だぜ！」
TIFA	TIFA
“Let's all go back alive, okay?”	「生きて帰ろうね……
	絶対に！」
RED XIII	RED XIII
“All life on this Planet,	「この星のあらゆる生命
indeed the very life of this Planet,	いや、この星すべての命運は
is in our hands…”	オイラたちに、かかってるんだね」
YUFFIE	YUFFIE
“Oh man…	「あ～あ～。
Materia Hunter YUFFIE'	『マテリア・ハンター　YUFFIE』
sounds like the last chapter of	最終回『マテリアよ永遠に……』って
Materia Forever.'”	カンジ」
CAIT SITH	CAIT SITH
“I'm so happy to have met you all, really!	「みなさんに、あえて
…sniff…”	ほんまによかったわ……！」
VINCENT	VINCENT
“It's all over now.	「終わるのだな。
With this…”	これで……」
CID	CID
“I'll destroy that Sephiroth before	「ひとあしお先に、オレ様が
anyone gets to him!”	セフィロスのヤロウを
	ぶっちめてやるぜ！」
BARRET	BARRET
“Ain't no way I'm gonna die until	「こいつを、ヤツにブチこむまで
I stick this into that guy.”	死んでたまるかよ」
TIFA	TIFA
“After this, we can go home.	「帰れるよね。
All of us…”	私たち……」
RED XIII	RED XIII
“We're not the only ones fighting.”	「戦っているのは
“The Planet's fighting too!”	オイラたちだけじゃない」
	「この星も戦っているんだ！」
YUFFIE	YUFFIE
“If I knew THIS was gonna happen,	「こんな事なら、も少し早いトコで
I'd have bailed out sooner!”	抜け出しとくんだったな～」
CAIT SITH	CAIT SITH
“There's nothing to worry about.	「コワいことなんかあらへん。
We're all in this together!”	みぃ～んな、おるんやから」
VINCENT	VINCENT
“Let's go…”	「行くぞ……」
CID	CID
“Sephiroth's probably crapping his pants	「ヘッ！
right about now…”	今ごろセフィロスのヤロウ
	ビビりまくってんじゃねーか？」
CLOUD	CLOUD
“Wait!	「待っていろ。
Sephiroth…”	セフィロス……」
CLOUD	CLOUD
“We'll leave this to BARRET.”	「こっちは、BARRETに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to CID.”	「こっちは、CIDに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to RED XIII.”	「こっちは、RED XIIIに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to CAIT SITH.”	「こっちは、CAIT SITHに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to VINCENT.”	「こっちは、VINCENTに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to YUFFIE.”	「こっちは、YUFFIEに
	まかせるか」
CLOUD	CLOUD
“We'll leave this to TIFA.”	「こっちは、TIFAに
	まかせるか」
CLOUD	CLOUD
“We'll try to go down from the other side.”	「向こうがわから
	降りてみるか」
Inside Northern Cave	大空洞内部
	
Received "X-Potion"!	『エクスポーション』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
Empty!	からっぽ！
Inside Northern Cave	大空洞内部
	
Received "Turbo Ether"!	『エーテルターボ』を手にいれた！
Received "Vaccine"!	『ワクチン』を手にいれた！
Received "Magic Counter" Materia!	「『まほうカウンター』のマテリアを
	手にいれた！」
Inside Northern Cave	大空洞内部
	
Received "Speed Source"!	『スピードアップ』を手にいれた！
Received "Turbo Ether"!	『エーテルターボ』を手にいれた！
Received "X-Potion"!	『エクスポーション』を手にいれた！
Received "MegaAll"!	『すべてぜんたいか』を手にいれた！
Bottom of Northern Cave	大空洞内部
	
Received "Luck Source"!	『ラックアップ』を手にいれた！
	
TIFA	TIFA
“Hey, were you thinking of leaving me?”	「ちょっと、私をおいてくつもり？」
BARRET	BARRET
“Yo, we're a bit late?”	「よう、チト遅れちまったか？」
RED XIII	RED XIII
“Don't leave us, CLOUD.”	「おいてかないでよ、CLOUD」
CID	CID
“I can't let you guys go by yourselves,	「おまえたちだけじゃ
you'll make me worry.”	心配で行かせられねぇな」
YUFFIE	YUFFIE
“I finally got here, so I'm not leaving…”	「せっかく、ここまで来たんだから
	先はこさせないよ」
VINCENT	VINCENT
“You sure are hasty.”	「せっかちなヤツだ」
CAIT SITH	CAIT SITH
“You're so cruel, CLOUD.”	「はくじょうやなぁ、CLOUDさん」
CLOUD	CLOUD
“Where's TIFA?”	「TIFAは……？」
CLOUD	CLOUD
“Where's BARRET?”	「BARRETは……？」
CLOUD	CLOUD
“Where's CID?”	「CIDは……？」
CLOUD	CLOUD
“Where's RED XIII?”	「RED XIIIは……？」
CLOUD	CLOUD
“Where's CAIT SITH?”	「CAIT SITHは……？」
CLOUD	CLOUD
“Where's YUFFIE?”	「YUFFIEは……？」
CLOUD	CLOUD
“Where's VINCENT?”	「VINCENTは……？」
CLOUD	CLOUD
“Where're TIFA and the others?”	「TIFAたちは……？」
CLOUD	CLOUD
“Where's BARRET and the others?”	「BARRETたちは……？」
CLOUD	CLOUD
“Where's CID and the others?”	「CIDたちは……？」
CLOUD	CLOUD
“Where's RED XIII and the others?”	「RED XIIIたちは……？」
CLOUD	CLOUD
“Where's CAIT SITH and the others?”	「CAIT SITHたちは……？」
CLOUD	CLOUD
“Where's YUFFIE and the others?”	「YUFFIEたちは……？」
CLOUD	CLOUD
“Where's VINCENT and the others?”	「VINCENTたちは……？」
Bottom of Northern Cave	大空洞最下部
	
CLOUD	CLOUD
“This is the center of the Planet?”	「ここが、星の中心……？」
TIFA	TIFA
“Sephiroth is beyond here?'”	「この先にセフィロスが？」
TIFA	TIFA
“CLOUD, look.”	「あっ、CLOUD、これ」
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "Hero Drink"!	『えいゆうのくすり』を手にいれた！
Received "Turbo Ether"!	『エーテルターボ』を手にいれた！
	
TIFA	TIFA
“This is it.”	「いよいよね」
BARRET	BARRET
“Here, CLOUD.”	「ほらよ、CLOUD」
Received "Guard Source"!	『ガードアップ』を手にいれた
Received "Vaccine"!	『ワクチン』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
	
BARRET	BARRET
“Alright, this's the last dance!”	「よし、最後の大暴れだ！」
RED XIII	RED XIII
“CLOUD, I found this…”	「CLOUD、オイラ
	こんなもの見つけたんだけど」
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Shield" Materia!	『シールド』のマテリアを手にいれた！
	
RED XIII	RED XIII
“CLOUD…	「CLOUD……
“CLOUD…	
Seems like you got too much Materia.”	マテリアがいっぱいみたいだよ」
Received "Speed Source"!	『スピードアップ』を手にいれた！
	
RED XIII	RED XIII
“We finally made it here.”	「ついにここまで来たね」
CID	CID
“Hey, CLOUD,	「おう、CLOUD。
I found this on the way.”	途中でひろったぜ」
Received "Speed Source"!	『スピードアップ』を手にいれた！
Received "Imperial Guard"!	『インペリアルガード』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
	
CID	CID
“Let's just get this over with!”	「ウダウダしてねぇで
	さっさと行こうぜ！」
CAIT SITH	CAIT SITH
“Hey, CLOUD,	「ほれ、CLOUDさん
I found this.”	こんなん見つけましたわ」
Received "Elixir"!	『エリクサー』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
Received "X-Potion"!	『エクスポーション』を手にいれた！
	
CAIT SITH	CAIT SITH
“Well, shall we get goin'?”	「ほな、チャッチャッと
	いきましょか」
VINCENT	VINCENT
“Hold on to this.”	「とっておけ」
	手にいれた！
Received "Mythril"!	『ミスティール』を手にいれた！
Received "Magic Source"!	『マジックアップ』を手にいれた！
Received "MegaAll" Materia!	「『すべてぜんたいか』のマテリアを
	手にいれた！」
	
VINCENT	VINCENT
“No, first organize your Materia.	「いや、そのまえにマテリアを整理しろ。
You have too much.”	持ちすぎだ」
VINCENT	VINCENT
“Hmm…	「フッ……おまえたちにつきあうのも
Being with you all isn't so bad.”	悪くはないな」
YUFFIE	YUFFIE
“…	「…………
Wh…what?”	な、なんだよ」
TIFA	TIFA
“By the way YUFFIE,	「そういえばYUFFIE
didn't you find something?”	何か見つけてなかった？」
BARRET	BARRET
“Oh yeah, YUFFIE,	「そういえばよ、YUFFIE。
didn't you find somethin'?”	おまえ、何か見つけてなかったか？」
RED XIII	RED XIII
“By the way YUFFIE,	「そういえば、YUFFIEさあ。
didn't you find something on the way?”	途中で何かひろってなかった？」
CID	CID
“Yeah, YUFFIE,	「そういや、YUFFIEよ。
didn't you pick up something on the way?”	おめぇ何かひろってなかったか？」
CAIT SITH	CAIT SITH
“By the way, YUFFIE,	「そういや、YUFFIEさん
didn't you pick up something?”	なんかひろとったような…」
VINCENT	VINCENT
“YUFFIE,	「YUFFIE、いいから
just let CLOUD have it.”	CLOUDにあずけるのだ」
YUFFIE	YUFFIE
“Oh, all right.”	「わ、わかったよ」
YUFFIE	YUFFIE
“Here, CLOUD.”	「ほらよ、CLOUD」
YUFFIE	YUFFIE
“But I'm the one who found it,	「けど、それアタシが
so you better give it back to me	見つけたんだから
when you're done with it!”	終わったら返しなよ」
	
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "W Magic" Materia!	『Ｗまほう』のマテリアを手にいれた！
Received "Counter" Materia!	「『コマンドカウンター』のマテリアを
	手にいれた！」
	
YUFFIE	YUFFIE
“Hey!?	「おっ！？
But you have lots of Materia!	マテリアがいっぱいじゃん！
Then you won't need it.”	じゃあ、いらないね」
Received "Vaccine"!	『ワクチン』を手にいれた！
	
YUFFIE	YUFFIE
“It feels like we made	「ついに、来るとこまで
it as far as we can.”	来たって感じ？」
	
CLOUD	CLOUD
Let's get going	そろそろ行こう
(No, not yet…)	（まだ、やめておこう…）
CLOUD	CLOUD
“All right, everyone, let's mosey.”	「よし、行こうよ、みんな」
CID	CID
“Damn! Again!”	「カーーッ！　またかよっ！」New
	「やめてくれよ
“Stop sayin' it like a wimp!”	その気の抜けた言い方」New
“Can't you say	「『行くぜ！！』くらい
Move out!' or somethin'?”	言えねぇのかよ」
CLOUD	CLOUD
“Move out!!”	「行くぜ！！」
BARRET	BARRET
