CLOUD never came.	CLOUDさんこなかったっすね
CLOUD… Think he was killed?	CLOUD……やられちまったのかな
No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
CLOUD…	CLOUD……
Say, do you think CLOUD's…	なあ、CLOUDってさ…
going to stay on and fight for AVALANCHE!?	最後まで、おれたち…アバランチのために戦ってくれんのか？
How the hell would I know!? Do I look like a mind reader?	さあな……知らねえよ
Hmph!! If y'all weren't such screw-ups…	チッ！！おまえらがもうすこしたよりになりゃよ……
[EMPTY LINE]	あんな野郎、やとわねえでもいいんだがな…
Hey, BARRET! What about our money?	あ、BARRETさん俺たちの給料……
Uh, nothin'…sorry.	や、なんでもないっす…
CLOUD!!	CLOUD！！
Looks like I'm a little late.	約束の時間に遅れたようだ
You damn right, you're late!!	おい！　遅刻野郎！！
Come waltzin' in here makin' a big scene!	ずいぶん派手なおでましじゃねぇか
It's no big scene. Just what I always do.	そうでもない。ふつうだ
(*^%!	ケッ！！
Havin' everyone worried like that. You don't give a damn 'bout no one but yourself!	心配させやがって勝手な野郎だ！
Hmm… You were worried about me?	ほう……？心配してくれたのか
Wha!?	なにっ！！
That's comin' outta your share, hot shot! 	チッ…刻のぶんは報酬からひくからな
Wake up!	おい、おめえら！
We're movin' out! Follow me!	場所変えるぞ。ついてこい！
Hey, CLOUD!! You were great back there!	あっ、CLOUDさん！！おつかれっす！
Heh heh…CLOUD! We'll do even better next time.	へへ……CLOUD！次の作戦も、がんばろうな
Careful, I'll shut this.	あぶないから閉めとくね
Oh, CLOUD!! Your face is pitch-black…	やだ！　CLOUD！！顔、まっくろ……
There you go!	はい、できあがり！
Say, thanks for helping me back there at the reactor!	ね、魔晄炉で助けてくれてありがとう！
Yeah…	ああ……
That's OK	気にするな
Quit thanking me	礼なんかやめてくれ
Don't mention it.	気にするな。当然のことをしたまでさ
It bugs me when you thank me. It's just a part of my job.	感謝などされても困る。これも仕事のうちだからな
But, I… I was just glad…	でも、私……ほんとにうれしかったから…
