Wall Market	ウォールマーケット
This place is scary in a lot of ways. Especially for a girl. So we've got to find TIFA fast.	ここ、いろんな意味でこわいとこよ。とくに女の子にはね。早くTIFAさん、見つけなくちゃ
Please come in. There's a free 'Pharmacy Coupon' if you enter now.	どうぞ、よっていってください。今なら『薬屋商品クーポン』をサービスしますよ
Please, stop by.	どうぞ、よっていってください
According to that guy with the tank, if you're strong enough, anyone can make it to the top plate.	戦車じいさんの話によると体力さえあれば、上のプレートへ行けるそうですよ
So, build your strength by having a plate of our food.	という事で、ぜひ体力のつく食事をどうぞ
It's a weird world we live in, so eat up and work hard.	なんだかわかんない世の中だけどしっかり食事してがんばりましょう
I just can't make up my mind… Mmm.	いまいち、ふんぎりがつかねえな。うーん
Huh? About what?	えっ？　なんの事だって？
Hmmm, don't make me say it… It's the shop down on the right.	へへへ、いわせんなよこの右手の奥にある店のことだよ
Nope, I just can't make up my mind. Here, you take this. You won't be able to get in without it.	やっぱり、ふんぎりがつかねえや。ええい、これあげるよ。これがなきゃ、入れないからな
Received Key Item Member's Card!	キーアイテム『蜂蜜の館会員カード』を手にいれた！
Say, you're a cutie, heh, heh, heh.	へへへ、お姉さんきれいだね
Hey boy! You sure got a good-lookin' heifer there!	おっ！　そこのにいさん！べっぴんさん連れてるねぇ
Take her to the Don's place, and you'll make a mint.	ドンのところに行けばいい金になるよ！
Hey! Pretty lady. Let me tell you about a good job!	おっ！　そこのべっぴんさん。いい仕事しょうかいするぜ！
Go to the Don's place. You'll make a small fortune!	ドンのとこへ行ってみな。たんまり稼げるぜ
I never believed that Sector 7 would ever come down.	まさか、７番プレートが落ちてくるたぁ思わなかったぜ
We're not leavin' this city no matter what happens.	俺たちは、なにがあってもこの町を離れないぜ
Hey, you two. Why don't you get some rest?	ちょっと、そこのおふたりさん。少し休んでかない？
We have a beautiful room, how 'bout it?	きれいな部屋があるんだけどどうだい？
Hey, y'all. Please stay here!	ちょっと、そこの団体さん。泊まっていってくださいよ
Oh… what should I do? Should I just buy it?	どうしようかな買っちゃおかな
That was scary…	こわかったよー
Seems like everything has frills on it.	なんだか、変なフリルのついたのばっかりだなぁ
Aren't cats great? This one's a little big, huh?	ネコは、いいよね。これは、ちょっと大きすぎるよね
It came down from the sky.	空からいろいろ降ってきたよ
But the old guy who likes tanks took all of it away. I wanted some, too.	でも全部、戦車好きのじいちゃんがもっていっちゃった。ぼくもほしかったのに
I wish I could live with a real cat.	本物のネコさんといっしょにくらしたいなぁ
It's a little early to start eating. Come back in a bit.	食べるには、まだ早いようですな。もうしばらくしてからおいでなさい
What? Are you ladies going to eat, too?	なんじゃ？おじょうさんがたも食べるか？
Phew, it's all dusty ever since the sky came down. I'll have to start over.	ふう、空が落ちてきたからほこりだらけだ。また、作り直しだな
I don't know what's gonna happen next. But first, you gotta fill your stomach.	この先どうなるかわからんがまずは、腹ごしらえからですな
What's wrong, AERIS?	どうしたんだ、AERIS？
What is it? Are you going outside like that? I mean, that's okay with me, but…	……どうした？あなた、そのまま外、出るの？わたし、かまわないけど
…Oh, yeah.	……そうだった
Get a hold of yourself, Ms. CLOUD.	しっかり、ね？ステキなCLOUD！
All this trash. Can't we do anything with it?	ここのゴミ。どうにかならないのかしらねえ
All this belongs to the owner of the Weapons Shop. He keeps picking things up and saving them here.	これって全部、あの、ほら……武器屋の、あそこのご主人。ひろってきては、ためこんでるそうよ
Oh, you mean the owner who has a tank in his shop.	ああ、あのお店の中に戦車まで置いてるあのご主人ね
But any way you look at it, it's just trash…	でも、どうみてもゴミですわねえ
Is this pile of trash getting bigger?	ここのゴミ。また、増えてません？
Yes, I think so.	そうですわね
A lot of things came falling down when the Sector 7 pillar fell.	７番街が落ちてきたときにいろいろ降ってきましたからね
Right, right, you're right. The owner of the Weapons Shop scavenged all the stuff when it came falling down.	そうそう、それでですね武器屋のご主人降ってきた物を集めてたそうですよ
Oh is that why? He seems pretty suspicious these days.	まあ、そのせいでしょうかね。あのご主人、最近怪しいらしいですよ
Oh, you mean he went out to the Plate cross section next to the Don's Mansion, right?	それってコルネオさんのお屋敷の横手のプレート断面へよく出かけてるって話ですよね？
Oh, you know! I wonder what he's doing?	あら、よくご存知で！でも、何してるんでしょうねえ？
Yeah! It gives me the chills.	そうですよね気味が悪いですわねえ
