Kalm	カーム
Weapon Store	武器屋
Item Store	アイテム屋
Bar	酒場
House: 1f	民家１階
House: 2f	民家２階
Rear Tower (Pagoda)	裏の塔
Inn: 1f	宿屋１階
Inn: 2f	宿屋２階
CLOUD's Past	CLOUDの過去
Received "Ether"!	『エーテル』を手にいれた！
Received "Peacemaker"!	『ピースメーカー』を手にいれた！
Received "Guard Source"!	『ガードアップ』を手にいれた！
…Dropped "Megalixir"!	……『ラストエリクサー』が落ちてきた！
Received "Underwater" Materia!	『せんすい』のマテリアを手にいれた！
Received "Master Magic" Materia!	『マスターまほう』のマテリアを手にいれた！
Received "Master Command" Materia!	『マスターコマンド』のマテリアを手にいれた！
Received "Master Summon" Materia!	『マスターしょうかん』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Empty…	からっぽだ……
Can't reach it…	手がとどかない……
This is Kalm.	ここが、カームだ
We've reached Kalm.	カームに着いたね
So this is Kalm?	ここが、カームね
…this must be Kalm.	……カームに着いたな
Yo, I'll be waitin' at the inn… Hurry and get your butt over there!	おい、先に宿屋で待ってるぜ。チンタラせずに、早くこいよ！
I wonder if everyone's there already? Let's hurry over to the inn!	みんな、もう着いてるかな。はやく宿屋に行きましょ！
Everyone's waiting at the inn. Let's go CLOUD.	宿屋でみんなが待ってるわ。行きましょう、CLOUD
We're supposed to meet at the inn. …Shall we go?	宿屋でおちあう手はずだったな。……行くか
Get over here!	とっとと来いよ
Well then, I'll go on ahead.	じゃあ、先、行ってるね
Let's go CLOUD.	行きましょう、CLOUD
Let's go CLOUD.	行こう、CLOUD
Thanks to the Mako energy Shinra, Inc. develops for us, everything's more convenient now.	神羅カンパニーが魔晄エネルギーを実用化してくれたおかげでわしらの生活も便利になったもんじゃ
Maybe a little too convenient.	ちと、便利になりすぎたかもしれんがの
I hear that the natural resources near the reactors are being sucked dry.	魔晄炉のある場所の土地はどんどんやせていってしまうという話だ
We're better off with the Mako energy.	この町みたいに魔晄エネルギーは供給してもらうだけってのが一番いい方法なのさ
The famous floating city, Midgar… Just once I'd love to see it in person.	空中に浮かぶ都市と言われるミッドガル。一度、この目で見てみたいものだわ
What does it do? It checks the pressure of the Mako energy sent from Midgar.	何をしているのかって？ミッドガルから送られてくる魔晄エネルギーの圧力をチェックしてるのさ
This is the Item Store.	ここは、アイテム屋だよ
This is the Weapons Store.	ここは、武器屋だよ
This is the Materia Store.	ここは、マテリア屋だよ
I heard terrorists bombed a Midgar reactor…	ミッドガルじゃ、テロリストが魔晄炉を爆破したらしいぜ
There have been a lot of dangerous accidents recently. I hate it, just hate it.	最近、ぶっそうな事が多いよな。やだ、やだ
It seems there was this group called AVALANCHE runnin' around, but I guess SOLDIER finally wiped them out.	ミッドガルでは、アバランチという反神羅組織が活動していたらしいがついに神羅のソルジャーによって全滅させられたそうだな
Shinra is trying to eliminate anyone, who stands up to them.	神羅カンパニーは、自分たちに逆らう者たちを、どんどん排除しようとしている
It don't matter if we like it or not. Shinra's taken over, and we gotta live with it!	我々は、好むと好まざるに関わらず神羅カンパニーの支配を受け入れなければならないのさ
Stay out of the kitchen.	ちゅうぼうに入ってこないでおくれ
I heard President Shinra was killed. And his son Rufus, the new president, was badly hurt.	プレジデント神羅が殺されたそうだな。それに息子のルーファウス新社長も大ケガしたっていうじゃないか
Hey, I bet that's news to you?	どうだ、初耳だろ？
You're pretty smart!	おっ、事情通！
Don't care…	興味ないね
Heh, heh…Just between us… I heard it was them Ava-whaddya call-ums that got President Shinra and his son.	ふふふ……ここだけの話だが神羅親子を襲ったのはアバラなんとかいう組織だって話だぜ
Don't care? If you're going to travel, you'd best keep an eye on what Shinra's doing.	関心なしか？旅をするなら神羅カンパニーの動きには注目したほうがいいぜ
When I grow up I'm gonna be in SOLDIER. That's why I'm training hard now!!	ぼく、大きくなったら神羅のソルジャーになるんだ！そのために、いまからモウクンレンしてるんだ！！
My older brother's so stupid. He's so embarrassing I could just puke!	……お兄ちゃん、子供っぽくてわたし、はずかしい
Hyah, hayah, eagghh!	うりゃー、アシコシのタンレン～
Hyah, hayah, eagghh!	うりゃー、コンジョウのトックン～
Hyah, hayah, eagghh!	うりゃー、うりゃ、うりゃ～
Thanks to Mako energy, life's pretty darn convenient. Thanks to Shinra.	魔晄エネルギーのおかげで生活が色々と便利になったわ。神羅さまさまよね
Don't you think?	あなたも、そう思うでしょ？
