CLOUD, you're late!	CLOUD、おそい～っ！
Yo man, you're late!	おそいじゃねぇか！
Sorry to keep you waiting.	すまない。またせたようだな
Guess everyone's here now.	これで、みんなそろったわね
So let's hear your story…	さあて……聞かせてもらおうじゃねえか
You know, the one about Sephiroth and the crisis of the Planet.	セフィロス、星の危機。
Let's hear it all.	おまえが知ってることのすべてを
…I used to want to be like Sephiroth, so I joined SOLDIER.	……俺はセフィロスにあこがれてソルジャーになったんだ
After working with Sephiroth on several missions, we became friends.	いくつかの作戦をセフィロスといっしょにこなすうちに俺たちは親しくなった
You call that a friend?	親友ってやつか？
Yeah, well…	どうかな……
He was older than me, and hardly ever talked about himself.	年もはなれていたしセフィロスは自分のことをほとんど話さなかった
So I guess you'd call us war buddies… We trusted each other. Until one day…	戦友……かな。俺たちは信頼しあっていた。あのときまでは……
…One day?	あのとき？
After the war it was SOLDIER's duty to put down any resistance against the Shinra.	戦争終結後のソルジャーの任務は神羅に反抗する人たちを……。ゆううつな仕事が多かったな
…that was five years ago.	……あれは５年前
I was 16…	俺は１６歳だった……
It sure is raining hard.	すごい雨だな
Hey, how are you doing?	おい、気分はどうだ？
I'm all right.	……だいじょうぶ
I wouldn't know…	俺は乗り物酔いなんてなったことないからな
I've never had motion sickness.	よくわからないんだ
Everything okay?	準備はＯＫ？
Sephiroth	セフィロス
Hey.	おい、おまえ
Settle down.	もうすこしおちつけ-
They gave me some new Materia.	新しいマテリア、支給されたんだ
I can't wait to use it.	早く使ってみたくておちつかなくてさ
…Just like a kid.	……子供か、おまえは
You going to brief us about this mission?	なあ、そろそろ今回の仕事教えてくれよ
This isn't a typical mission.	……今回の任務はいつもとはちがう
Good!	それはうれしいね！
Why do you say that?	どうしてだ？
I joined SOLDIER to be like you.	俺はあんたみたいになりたくてソルジャーになったんだ
But by the time I made First Class, the war was already over.	それなのにクラス１ＳＴに昇格したのと同時に戦争が終わってしまった
My big hopes of becoming a hero like you ended with the war.	俺がヒーローになるチャンスが減ってしまったわけさ
That's why I always sign up whenever there's a big mission. Kind of a way to prove myself.	だから、そういうチャンスがあるなら俺は絶対にモノにしてみせる
Say, how do you feel, MISTER Sephiroth?	な、どんな気分だ？英雄セフィロスさん？
