Wark!	クエっ！
Wark? Warkwark wark?	クエっ？クエクエクェ　クエ？
Wark	クエっ
Warrrk	クエエ
Wark--	クエェ～～
Wark!! Wark!!	クエっ！！　クエエっ！！！
Received "Choco/Mog" Materia!	『チョコボ＆モーグリ』のマテリアを手にいれた！
They tried to give you something but you couldn't get it.	『なにかをくれようとしたのだがもらうことが出来なかった』
Chocobo farm	チョコボファーム
Received "Chocobo Lure" Materia!	『チョコボよせ』のマテリアを手にいれた！
Choco Bill	グリン
Thinking of crossing the marshes?	お客さんたち、この先の湿地帯をこえるつもりですか？
Hmm, then it'll probably be safer for you to get a Chocobo.	ふむ、それならチョコボを手に入れたほうが安全ですな
That way you can zip through the marshes with the Chocobo.	チョコボで湿地帯をイッキにかけ抜けるわけです
It's the only way to avoid being attacked by the Midgar Zolom.	これがミドガルズオルムに襲われない方法
Midgar Zolom…?	ミドガルズオルムとは…
It's a serpent-like creature over 30 feet tall!!	身のたけ１０メートルにならんとするヘビのバケモノ！！
It detects the footsteps of anyone in the marshes.	湿地帯を進むズボズボ音を聞きつけ…
And then, BAM!! It attacks!!!	ウギャーッとおそいかかる！！！
To avoid that, buy a Chocobo at me and Choco Billy's Chocobo Farm.	そうならないためにも！グリン＆グリングリン牧場のチョコボをお買い上げください
To purchase a Chocobo, please talk to my grandson. He's in the Chocobo stables at the far right end of the farm.	チョコボのお買い上げは向かって一番右の建物チョコボ小屋におります孫にお申し付け下さい
By the way, there was another person heading towards the Marshes.	そういえば少し前に【湿地帯】に向かった人がいたんですよ
Without a Chocobo, the Midgar Zolom probably got him. It was a man in a black cape.	チョコボなしで湿地帯なんてきっとミドガルズオルムにやられちまったでしょうな。真っ黒なマントの人でしたがね
Welcome.	いらっしゃいませ
How 'bout a Chocobo Lure Materia?	どうですか？チョコボよせマテリアは？
Each level it increases, makes it easier for you to find a Chocobo.	あの、マテリアはレベルがあがるほどチョコボに会いやすくなるんですよ
Hmm, then, I guess that's that.	ふむ、それなら、関係ないですな
Still want to cross the Marshes?	やはり湿地帯をこえるつもりですか？
No	こえない
Looking for an Inn?	宿をお探しですか？
Nope	探してない
How about 100 gil a night…?	どうでしょう一泊　１００ギルで…
I'm in a hurry	先を急ぐ
Thank you for your patronage.	まいど、ありがとうございます
… Ummm, you don't have enough…	…………あの～、お金が足りませんが…
Please    for a second.	後はちょっとまってね♥
Chocobo farm	グリン＆グリングリンの家
Oh, what is that?	あっ、お客さん方いや、なんですな
What has this world come to? Stars falling, what's next?	空から星が落ちてくるとかなんとか大変な世の中になってしまいましたね
With things the way they are now, how 'bout raising a Chocobo?	こんな、ご時世です、どうでしょうチョコボなど育ててみては？
No, I'm not trying to persuade you for money. It's just because of the way things are in the world.	いえいえ、商売っ気をだしているんではなくてですな。こういう時だからこそ！
I thought that it would be a healthy thing for you to raise some Chocobos…	こう、建設的にですなチョコボを育てるのもお客様のためではないかと……
Hmm…You just happen to be in luck!	テヘヘヘヘ……お客さんは運がよろしい！
It just so happens that we aren't taking care of any Chocobos for anyone else, so…	今はぐうぜんにも、うちの牧場には他のお客様からおあずかりしているチョコボもいませんし
I could take care of 6 Chocobos right now, for 10000 gil per Chocobo. How 'bout it?	今なら、１匹　１００００ギルで６匹までおあずかりできますがどうでしょう？
Take care of my Chocobos	チョコボをあずかってくれ
Tell me something else	他の話が聞きたい
How do you raise them?	育成の話が聞きたい
Could you take care of the Chocobos?	チョコボあずかって
I'd like to hear about something else	他の話が聞きたいな
Tell me how you raise them	育成の話聞かせて
That's all	なんでもないの
Take care of my Chocobos	チョコボをあずかってくれや
I wanna hear about something else	他の話を聞かせろよ
How do ya raise 'em?	育成の話が聞きてぇな
That's enough	なんでもねぇ
