Marshes	湿地帯
Did Sephiroth… do this?	セフィロスが……やったのか……
Amazing…	すごい……
Our enemy is someone that could do this?	こんなことやっちゃう人がわたしたちの相手……
This Sephiroth guy's pretty strong, I'd say.	とんでもねえ強さだな。セフィロスってやつは
It's a power that we should respect…	恐るべき力……だな
Geeeeez, Louise!	ウヒャ～！
Mythril Mine	ミスリルマイン
Received "Hi-Potion"!	『ハイポーション』を手にいれた！
Received "Tent"!	『テント』を手にいれた！
Received "Long Range" Materia!	『えんきょりこうげき』のマテリアを手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
Hey CLOUD. If we keep going, we'll never get to Kalm.	おいおい、CLOUDさんよぉ。このまま行くと、カームの町とは似ても似つかぬ場所に着く事になるぜ
CLOUD!	CLOUD！
If we continue this way, we'll get farther and farther away from Kalm.	このまま進むと、カームの町からどんどんはなれるだけ、よ
Hey, CLOUD. Wasn't Kalm right before this cavern?	ねぇ、CLOUD。カームの町は、この洞窟の手前にあるんじゃなかったかしら？
…We won't get to Kalm if we go through these caverns.	……この洞窟を通り抜けてもカームの町には着かないぞ
Yo, wassup? Can't SOLDIER-man even lead the way?	おいおい、しっかりしてくれよ。天下のソルジャーさまが道案内ひとつできねぇのか？
CLOUD! Are you lost!?	もう、CLOUD！道に迷っちゃったの！？
Kalm should be closer to Midgar.	カームの町は、もっとミッドガル寄りの位置にあるはずよ
If we're planning to meet at Kalm, we should go back and look again.	カームの町でおちあうつもりならもどって探し直すべきだな
Rude	ルード
Just a second!	ちょっと待った！
Rude	ルード
…	………………
Rude	ルード
Do you know who I am?	おれが、だれだかわかるか？
The Turks, right?	タークスだろ？
Not interested	興味ないね
Rude	ルード
…I'm from the Turks. And don't you forget it.	…………タークスだ。覚えておいてくれ
Rude	ルード
Well if you know, then this won't take long.	知っているのなら話は早い……
Rude	ルード
It's difficult to explain what the Turks do…	おれたちタークスの仕事を説明するのは難しい……
Kidnapping, right?	人さらいだろ？
Rude	ルード
To put it negatively… you could say that.	悪意に満ちた言い方をするとそうなる……
Rude	ルード
…But, that's not all there is to it anymore.	……しかしいまはそれだけではない
Elena	イリーナ
It's all right, Rude! I know you don't like speeches, so don't force it!	ルード先輩！しゃべるの苦手なんだからムリしないで下さい
Rude	ルード
Then explain, Elena.	……イリーナ、たのむ
Elena	イリーナ
I'm the newest member of the Turks, Elena. Thanks to what you did to Reno, we're short-handed.	私、タークスの新人のイリーナ。レノがあんたたちにやられてタークスは人手不足
Elena	イリーナ
…But, because of that, I got promoted to the Turks…	……おかげで私、タークスになれたんだけどね……
Elena	イリーナ
Anyhow, our job is to find out where Sephiroth is headed.	ま、それはともかく私たちの任務はセフィロスの行方をつきとめること
And to try and stop you every step of the way.	それからあんたたちの邪魔をすること
Elena	イリーナ
Wait a minute, it's the other way around… You're the ones that are getting in our way.	あ、逆だったか。私たちの邪魔してるのはあんたたちだもんね
Tseng	ツォン
…Elena. You talk too much.	……イリーナ。しゃべりすぎだぞ
Elena	イリーナ
Sorry…Tseng.	すいません……ツォンさん
Tseng	ツォン
I thought I gave your orders.	お前たちには、別の任務を与えてあったはずだ
Now go. Don't forget to file your report.	行け。定時連絡を価かすなよ
Rude	ルード
…Reno said he wanted to see you after the injuries you gave him healed.	……レノが言ってた。きみたちに負わされたケガが治ったらあいさつしたいと
He wants to show his affection for you all… with a new weapon.	親愛なるきみたちに新しい武器を見せたいそうだ
Tseng	ツォン
Well, then…	さて……
Tseng	ツォン
Where's AERIS? Isn't she with you?	……AERISは？一練ではないのか？
Tseng	ツォン
Oh… Then give her my regards.	そうか……よろしく伝えておいてくれ
Tseng	ツォン
AERIS… Long time no see.	AERIS……久しぶりだな
Tseng	ツォン
Looks like you're safe from the Shinra for a while, now that Sephiroth reappeared.	しばらくの間、君は神羅からは自由の身だ。セフィロスが現れたからな
What are you saying? That I should be grateful to Sephiroth?	……なに、言いたいの？セフィロスに感謝しろって？
Tseng	ツォン
No…	いや……
I won't be seeing much of you, so take care.	あまり会えなくなるが元気でな
Tseng	ツォン
Well then, stay out of Shinra's way.	では、諸君。できれば神羅の邪魔はしないでもらいたいものだな
AERIS isn't with us. She's with the others.	AERISはここにはいない。別行動をとっている
Wh, who are you!?	き、キサマは！？
By any chance, are you…?	あなた、もしかして？
Who are you?	あなたは？
… I hoped I'd never see you again…	……見たくもない顔に会ったな
Sir!	先輩！
Elena	イリーナ
Mr. Tseng!?	ツォンさん！？
Tseng	ツォン
No need to tell them about our orders.	我々の任務を、彼らに教えてやる必要はない
Rude/Elena	ルード＆イリーナ
Yes sir!	はっ！
…Strange, hearing that from you.	……あなたに、そんなこと言われるなんて、不思議
Elena	イリーナ
Oh! Right!	あっ！　そうでした！
Tseng	ツォン
…Elena. You don't seem to understand.	……イリーナ。私の言葉の意味がわからなかったようだな
Elena	イリーナ
Oh!> I'm, I'm sorry…	あっ！す、すいません……
Tseng	ツォン
…Go. Don't let Sephiroth get away.	……行け。セフィロスを逃がすなよ
Elena	イリーナ
Very well, Rude and I will go after Sephiroth, who's heading for Junon Harbor!	それでは、私とルード先輩は【ジュノンの港】へ向かったセフィロスを追いかけます！
Base of Fort Condor	コンドルフォートふもと
We've been fighting the Shinra on this battlefield for a long time.	ここは長い長いあいだ神羅軍と闘ってきた戦場
We've still settled in for a long war with them.	いまもじっくりとコシをすえて彼らと闘っている
Could you spare some time, and help us fight them?	もしあんたらの旅に余裕があるならば我々に協力してくれ
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
Where is Junon?	ジュノンの街はどこにある？
We'll help you	協力してもいいが
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
Like to help but…	残念だが
I guess we'll help	協力してもいいが
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
I'm sorry…really	残念だけど
All right, we'll help	協力してもいいけど
Let's see…head north along the coast, keep going a ways and you'll run into Junon.	そうか…　ジュノンの街はここを海ぞいに北へ、ずっと行ったところだ。
But be alert because it sits in the shadows of a small hill.	小高い丘の影になっているから気をつけてな
All right then… Take care of yourselves…	そうか…気をつけてな
Really!? Then go on up and they'll fill you in on the details.	そうか！　それなら上に登ってくわしい話をきいてくれ
Entrance to Fort Condor	コンドルフォート入口
What happened?	どうなったんだ
Where are all the villagers?	村のみんなは？
God! What the hell happened here!?	ダ～ッ！　どうなったんだよ！？
He's still alive.	まだ生きてるぜ
Where is everybody?	みんなは？
Where are we?	ここは？
Oh good, they're still alive.	よかった、生きてるよ
Oy! What on earth happened?	ありゃ？どないなったんや？
It seems we survived.	私たちは生き残ったようだな
You mean to tell me we're the only ones who made it?	俺たちだけが助かったのか……
I couldn't do anything. It was just too much.	私、なにもできなかった。あまりにも……
Damn!! I can't stand this!	チックショ～！！やってらんねえぜ！
Oh man… You look like hell.	ケッ……なんてザマなんだぁ？
I… I couldn't save anyone…	わたし……命、救えなかった……
…not enough strength.	……力不足だ
Well, I'm just glad we're all alive.	まあ、生きてるだけよかったよね
Things sure didn't go smoothly.	うまくいきませんなぁ
We might have underestimated the situation.	私たちはあまかったのかもしれないな
You mean to tell me that's the extent of my powers? So that's as good as it gets? At this rate I'll never beat the Shinra…let alone Sephiroth…	俺の力はこんなものだったのか？この程度なのか……これじゃ神羅にも……セフィロスにも……
Yeah, ain't no way you gonna win.	ああ、勝てねぇよな
But if we give up now, what's gonna happen to Fort Condor?	でもよ、このままやめちまったらコンドルフォートの連中にもうしわけねえぜ
No, CLOUD. You mustn't give up. Survivors never give up.	ダメよ、CLOUDあきらめちゃダメ生き残った私たちが、がんばらなくちゃ
CLOUD… You won't find the answer by blaming yourself.	CLOUD……自分責めても、答え、見つからないよ
Things are the way they are… But you can't blame yourself for that, right?	現実は現実……でも、思いつめてもしかたない……ね？
Don't be too hard on yourself, CLOUD. Let's think about what we should do next.	あんまり悩まないで、CLOUD。先のこと、考えようよ
No use crying over spilt milk. Right?	ま、やっちゃったことはしょうがないよね
Geez, you don't pull any punches do you? We'll just try not to fail next time.	きっついなぁ。次、失敗せんようにせんと
We have to fight to avoid any more casualties.	これ以上、犠牲を増やさぬため戦わなければならないのではないか？
We'll do it next time, OK?	次がんばろうや、な？
Yeah.	そうだな
They've had their fun, but it's over as of now! There isn't gonna be any more suffering.	これ以上、やつらの思い通りにはさせない。もう、悲しみは増やさない
CLOUD… What should I do?	CLOUD、私……どうしたらいいの？
TIFA…	TIFA……
…	……
CLOUD I wonder what's going to happen?	CLOUDかどうなっちゃうんだろ
Y'know, worryin' only tires you out. Why don't you take it easy?	気にしすぎたらしんどいだけやで。もうちょい楽にしいや
You've got no choice but to take it for now.	今は耐えるほかはないな
Oy, such a bitter pill to swallow.	ちっ、しょっぺえなあ
This ain't no joke, Jack.	ちょっと冗談じゃすまねえぜ、こりゃ
Oh man, this is real bad.	ああ、かなりやばいぜ
Things don't seem too favorable.	あんまりいい状態じゃないね
I told you I'm not kidding!	もともと冗談じゃないんだよ！
If this were a joke it'd be one thing, but this's the truth.	冗談ですんだらええけどこれはほんまのことや
This is a rather harsh reality.	かなりきびしい現実だな
Fort Condor	コンドルフォート
Hello. I'm sorry but we're not selling anything now. We're using everything we have for ourselves.	いらっしゃい。でも今は、売れないんだよ。なんせ、自分たちで使うからね
Hello. Do your best. We will, too.	いらっしゃい。がんばってよ。あたしたちもがんばるから
Sorry, but I can't sell you anything now.	すまんが、今は売れないな
You hang in there!	おう、がんばってくれよ
Hmmn, now this is something, I never thought anyone would ever climb up here.	ほう、珍しいなこんなところまで登ってくるとはな
…Your eyes are different. Well, anyhow. Any minute now, this will be a battlefield against Shinra.	……　変わった目をしているな。 まあ、関係ないか。 ここはもうすぐ神羅との戦場になる。 
You'd better get down before you get involved.	まきぞえにならないうちに、降りなさい
Hmmn, now this is something, I never thought anyone would ever climb up here.	ほう、珍しいな。こんなところまで登ってくるとはな
Any minute now, this will be a battlefield against Shinra. You'd better get down before you get involved.	ここはもうすぐ神羅との戦場になる。まきぞえにならないうちに降りなさい
Shinra? The hell those jackasses doing here?	神羅だって？こんなところへ何しにくるんだ
You mean Shinra?	神羅ですって？
What do you mean, a battlefield'?	どういうこと？戦場って
The Shinra…	神羅か……
Shinra again.	また、神羅だよ
The Shinra? Here too?	ここも、神羅かよ
…	……
What do you mean by that?	どういうことだ？
A battlefield? We can't overlook that.	戦場たあ、聞きずてならねえな
It appears you have a problem with Shinra, too. After all, you climbed up here.	あなたがたも、神羅とは何かあるらしいな。せっかく、ここまで登ってきたんだ。
Why not listen to what I have to say for a moment?	ちょっとだけ話を聞いていかないか？
…	……
I guess so	いいだろう
Not interested	やめておこう
Oh, by all means.	ええ、ぜひ
All right, talk on!	おうよ、言ってみろよ
The hell you talkin' about!? They're all fightin' the Shinra too! You gonna ignore that!?	なに言ってやがんだ！ここの連中も神羅と戦ってるんだぞそれを見すてるのか！
CLOUD, let's listen to what they have to say.	CLOUD、聞きましょう
After all, we came all this way, CLOUD	せっかくここまで来たんだから、ね？CLOUD
I know, I know, CLOUD. But let's listen for a bit.	まぁまぁ、CLOUDさんちょっとくらい聞きましょうや
There's no harm in listening to them.	話くらい聞いてもよかろう
Is this about the jewels?	お宝の話かい？
Man, she sure's cold.	ほんと、人情のねえ奴だぜ
Do you know what's at the top of this mountain?	この山の上になにがのっているかわかるかな？
Huh? Something's up there?	ん？なにかあったか？
A huge bird.	おっきな、鳥さん
Come on, let's get it together.	もう、しっかりしてよ
Look close, old man.	しっかり見てろよおっさん
Yeah, come to think of it there was something.	そういやなんやおったな
The reactor and the Condor.	魔晄炉と、コンドルだな
That's the reactor and the Condor.	あれは、魔晄炉とコンドルね
That's the reactor and the Condor.	あれは、魔晄炉それと、コンドルだな
That's the reactor. And the Condor.	あれは、魔晄炉だよ。それと、コンドルだね
Come to think of it, there was a reactor. But I've never seen anything shaped like it…	そういえば、魔晄炉があったな。見たことのない形だったが……
No matter how you look at it, that's a reactor. And on top of it, is that the Condor?	ありゃどうみても魔晄炉だなその上にいるのはコンドルか？
I can see you're very perceptive. Yes, it's a reactor and a Condor.	ほう、よくわかったな。確かに魔晄炉とコンドルだ
That's right, on that mountain is a Condor and a reactor.	確かに、山の上にあるのはコンドルと魔晄炉だ
It seems the Shinra doesn't like the idea of having a Condor on top of the reactor.	神羅は、魔晄炉の上にコンドルがいることが気にくわないらしい
Damn, that's one big bird! But why are they trying to get rid of it with weapons?	ちょっと大きな鳥だろ？なんでまた武力まで使って排除しようとするんだ？
What's so wrong with having a Condor on top of the reactor?	魔晄炉の上にコンドルがいちゃダメなのかしら？
Why?	ど～して？
It's not very logical.	理由がわからないな
The logic eludes me.	理由、わからないよ
I'm certain there must be state-of-the-art Materia inside the reactor. Am I right?	きっと、魔晄炉の中にすんごいマテリアでもあるんじゃない？
…That's too much.	……おおげさすぎるな
Huh? I don't get it.	あん？よくわかんねえぞ
Huh?…	ん～……
It seems there's some type of special Materia in the reactor above us.	どうやら、この上の魔晄炉にはなにやら、特別なマテリアがあるらしい
And because the Condor came, the Shinra rushed troops here.	そこへコンドルがきたので神羅は、あわてて軍を送ってきた
The military wants to get the Condor and all the villagers off this mountain.	軍の目的は、コンドルとこの山に住むわたしたちの排除だ
The Condor is now warming its egg, which hatches only once every few years.	今、コンドルは、数年に一度しか生まないタマゴを温めている
We would like to protect the Condor from being harmed.	わたしたちは、神羅の手からコンドルの営みを守ってやりたい
New lives…	新しい命か……
I'll do it! I'll protect them from Shinra!	オレがやってやるぜ！神羅から守ってやるぜ！
Condor's egg A real work of nature.	コンドルのタマゴ生命の営み
We've got to protect the life of the Planet.	星の命守らなくちゃ
We must protect the condor egg, right?	コンドルのタマゴ、守らないと、ね？
So, to protect the egg, are you gonna protect the reactor?	タマゴを守るために魔晄炉を守るのか…
We're going to protect the reactor in order to save the egg.	タマゴを守るために魔晄炉を守るんだ…
Special Materia, huh? Well, well, things are getting interesting.	特別なマテリアかへへへ、おもしろそうだね
I'm gonna leave it up to you all.	どないするかはみなさんにまかしますわ
…and come out in one piece?	命を消さないようにか……
You guys, what are ya gonna do?	どうすんだ？おめえらよう
Unfortunately, we don't have the ability to fight Shinra ourselves.	残念ながら、私たちには直接、神羅と戦うだけの能力はない
That's why we have hired soldiers to help us.	兵を雇って、いっしょに戦ってもらっている
As our sponsor, you can help us with a contribution or by fighting alongside of us…	スポンサーとして、ギルの援助でもいいいっしょに戦ってくれるのでもいい…
What do you think? You want to join us in our fight?	どうだろういっしょに戦ってもらえないか？
…	……
What's there to think about? We gotta do it!	なにを迷う！オレたちがやるんだよ！
CLOUD…	CLOUD……
CLOUD, why are you still worrying about it?	CLOUD何、迷ってるの？
You decide what we're going to do.	どうするかは君が決めたまえ
What are we going to do?	どうするの？
If things go right, we might even be able to pray to that special Materia.	うまいこといきゃその特別なマテリアってのをおがめるかもよ
I'll leave it up to you so please do as you see fit.	まかしますから好いたようにどうぞ
It's difficult to get back what you've lost…	失ってしまったものを取りもどすのは難しい……
Don't be so wishy-washy. Hurry and make up your mind.	グジャグジャ言ってねぇでさっさと決めちまえよ
…	……
All right	わかった
Not interested	興味ないな
What's wrong with you? And you call yourself a human!?	なに考えてんだ、おまえはそれでも人間か！
Well…	そう……
What a jerk. I'm disappointed in you.	なーんだ。ガッカリ
Now we lost the Materia.	マテリア、損したかもね
Have no regrets for what's already past.	後悔しないことだな
If you've made up your mind, let's just do it.	決めたんならさっさと行動しようぜ
CLOUD, thanks.	CLOUD、ありがとう
Everyone, listen to what I have to say.	みんな聞いて
I can't possibly leave these people like this.	私には、この人たちを放っておくなんてできないの
Let's do whatever we can to help them. All right?	できるかぎりのことをしたいの。みんな、いいわよね？
