Under Junon	アンダージュノン
What kinda place is this?	ここはどんなところだ？
Did you see a man with a black cape?	黒いマントの男を見なかったか？
Are you all right now?	もう、だいじょうぶなのか？
That's all right.	かまわないよ
Hey!!	オッ、オイ！
Wait a second!	ちょっと、まてよ！
What happened to this town? It's so run-down…	なんだ、この村は？やけにさびれているな……
What's that music? It sure sounds lively.	この音楽は何だ？ずいぶんにぎやかじゃねえか
Rufus!? I gotta pay my respects.	ルーファウス！？これはあいさつに行かなくちゃな
We gotta get to the town up there… Mebbe we could climb the tower?	なんとかして上の街に行きてぇな。柱でもよじのぼるか？
Yeah, I'd like to take a good look at the new President of Shinra, Inc.!	神羅の新しい社長さんの顔をおがんでみたいぜ
Seems like something's goin' on up there!	なんだか上のほうがさわがしいな
High voltage tower…	高圧電流の柱ねぇ……
I guess this means CLOUD'll have to do it.	こういうことは、CLOUDがうまくやってくれるのよね
Don't you just hate this?	いやよね
Doesn't it seem a little strange? Everything getting so noisy all of a sudden?	ねっ、何だか様子が変でしょ？きゅうに、さわがしくなって
Maybe…he dropped some from the North Caves into the Lifestream…	たぶん……北の大空洞からライフストリームに落ちて……
Sir, do you know where the Lifestream runs through?	おじぃさん、ライフストリームが通っている場所を知ってる？
CLOUD might have drifted from there.	もしかして、CLOUDはそこから流されたかもしれないの
You think Rufus is thinking about crossing the ocean from here, too?	ルーファウスもここから海をこえるつもりなのかな？
What? Does that mean Sephiroth already crossed the ocean?	あれっ？それじゃ、セフィロスはもう、海を渡っちゃったってこと？
Yeah, better leave it to CLOUD!	そうね、あの子のことはCLOUDにまかせましょ！
You're probably right.	そうよねぇ
I heard that girl regained consciousness.	女の子が目をさましたらしいの
CLOUD, didn't you finish Rufus off?	CLOUDよ、ルーファウスにとどめをささなかったのか？
We're counting on you, CLOUD.	まかせたぞ、CLOUD
That looks like a Shinra soldier.	向こうにいるのは神羅の兵だな
Does this have something to do with the Shinra?	このさわがしさは神羅と何か関係があるのかもな？
Aren't you going to follow her?	あの子について行かないのか？
What's this loud music? It's giving me a headache!	なんだい、この音楽は？うるさくて頭にくるよ！
Priscilla	プリシラ
Umm…thanks for helping…	あのぅ……助けてくれてありがとう……
I'm sorry, I mistook you for one of those Shinra, Inc….	神羅のやつらとまちがえちゃってごめんね……
I heard they're rehearsing the reception for the new Shinra president.	これは神羅の新しい社長の歓迎式のリハーサルだと思う
Grandpa and Grandma told me this beach was beautiful when they were small.	ここはね、じいちゃんばあちゃんが子供のころにはとてもきれいな海岸だったって
But after the Shinra built that city above, the sun stopped shining here, and the water got polluted…	でも神羅が上の街をつくってから日も当たらなくなったし海も汚れちゃって……
I was raised on that story and hate Shinra so much, I could die!	そんな話を聞いて育ったからわたし、神羅がにくらしくてしょうがないの
No! No! There's a high voltage current running underneath the tower. Don't wander near it, it's dangerous!	ダメダメ！柱の下は高圧電流が流れてるのむやみに近づいたらキケンよ
But…you might be able to if Mr. Dolphin helps you. Follow me!	でも……イルカさんの力をかりればなんとかなるかな。ちょっと来て
I'll give you something SPECIAL!	おにいちゃんにイイものあげる！
It's an amulet. Take good care of it, OK?	海のお守りなのよだいじにしてね
It's at my house, so come by later to pick it up, OK?	家の中においてあるから取りにきてね！
If you want to get on the elevator that badly, give me 10 gil!	そんなにエレベータに乗りたいんなら１０ギル払え！
Okay, I guess	しかたない
No way!	イヤだ！
Hurry up and get in!	さっさと、乗れ！
You're such a cheapskate.	しけたヤツだなぁ
HEY! This is Shinra, Inc.'s elevator. Don't be snooping around here!!	コラッ！神羅カンパニーのエレベーターだ。ウロウロするな！！
What? It's not time for our shift, yet. Just relax.	えっ？まだ、交代の時間じゃないはずだぜ。ゆっくり休んでおけよ
That's not enough! Can't let you get on…	足りないじゃないか！乗せてやれないな
Uh…yeah…	おっ、おう……
Who are you people? Where did you come from?	なんだね、あんたたち？どこから来たんだい
Hmm… I've never seen that feller before.	さあ……そんな人とんと見かけんねぇ
There's nothing here now… But it used to be a busy port.	ここはな～んにもないよ。むかしは、にぎやかな港だったけどねえ
Sorry, CLOUD. Priscilla needs to rest for a while.	すまんな、CLOUDくん。プリシラは、すこし休ませなくちゃいかんのじゃ
I just saw some Shinra soldiers all huddled together discussing something.	さっき、向こうに神羅の兵隊が集まって何か話しておったんじゃ
