Costa del Sol Harbor	コスタ・デル・ソル港
Damn! Sure is hot here!	カッ～！！あついな、ここは！
But I sure feel better now that I can say good-bye to this sailor suit.	だがよ、せいせいしたぜ！これで、ちっこいセーラー服とおさらばだからな
Yo listen up!! Y'all be sure to mingle like regular folks here!	いいか！！こっからは一般人として行動しろ！
Oh, too bad. I liked BARRET's sailor suit. He looked so cute.	あら残念、BARRETの水兵姿。かわいかったのに、けっこう
…What'ya mean 'cute'?	……かわいいだと
Right…well, uh…	うんうん
BARRET, why don't you use that sailor suit for pajamas?	BARRET、あのセーラー服パジャマにしなさい
Right, CLOUD?	ね、CLOUDもそう思うでしょ？
Keep your mind on Sephiroth	そんなことよりセフィロスを
Remember, this isn't a vacation. We're here after Sephiroth.	俺たちはバカンスで来たんじゃない。セフィロスを追うんだ
I'm going on ahead.	先を急ぐぞ
Hmmph, CLOUD. You're the one who's always hangin' around wastin' time.	ケッ！！　CLOUDさんよ。道草が好きなのは、おまえさんだろ
I'm going to skip this resort!	こんな場ちがいなリゾート地はすっ飛ばしていくぜ！！
Ahhh… You look like a bear wearing a marshmallow.	ああ…マシュマロかぶったクマみたいでぴったりだったな
The hell's that supposed to mean!? This happens to be the most comfortable, so shu'up!	なにっ！！　よけいな世話だ！オレはこの一張羅がいちばん落ちつくんだ
…puff…puff…	ゼェゼェ……
Would you kindly hurry? The heat here is drying my nose.	すまないが、少し急いでくれないか。ここは暑い、私のアカハナがかわいてしまう
Yeah, mine, too!!	あたしもっ！！
All right. We'll take a break and then head off.	わかった。小休止の後、出発する
Don't wander too far off.	あまり、遠くへは行くな
I'll wander wherever I damn well want! Who made him the leader?	チッ！すっかりリーダー気取りだな
It looks like my mane got messed up.	じまんのけなみがみだれてきたようだ
I'm going to rest somewhere cool.	すずしいところで休んでいるよ
I think I'll go swimming.	およぎにいっちゃおうかな
Sounds good to me!	そうしよっか？
Hmm? CLOUD, are you thinking of anything in particular?	んん……？　CLOUD君いまなんか想像しちゃったかな？
Your cool exterior's cracking…	クールな顔がくずれてますよ～
Well then, let's go!	さ、いこいこ！
Maybe I should get a tan for a change.	たまには日焼けでもしちゃおっかな
Which do you like, CLOUD?	CLOUDはどっちが好み？
I like fair complexions	はだは白いほうが好きだ
Maybe a healthy tan is nice	元気に焼けてるほうがいいかな
Got it. I'll remember that.	ハイっ、参考にしとくね
Don't bother looking for me!	さがさないでくれよっ！
What a long boat ride that was!!	長時間の船旅おつかれさまです！！
Hmmm… Good work everyone…	ウム……ごくろう……
Gya, Haa, haa…ha!! Hurry up with that!	ガハハハハ！！スキッフの準備を急げ！
Yes, sir!!	ハッ！！
I heard Sephiroth was on board.	セフィロスが乗っていたらしいな
Yes.	……はっ
And it seems CLOUD and the others were on board, too.	CLOUDたちも乗っていたらしいな
