Ropeway Station	ロープウェイ乗り場
Welcome to the Gold Saucer.	ようこそゴールドソーサーへ
Are you together? A single pass is 3000 gil, or you can purchase a lifetime pass for 30000 gil.	団体様ですね？　入園チケットは１回３０００ギルです何回でも入園できるゴールドチケットは３００００ギルになります
Pay 3000 gil	３０００ギル払う
Pay 30000 gil	３００００ギル払う
Don't pay	払わない
Thank you very much.	ありがとうございます
If you leave Gold Saucer, your tickets become invalid.	チケットは一度ゴールドソーサーからでますと、無効になりますのでお気をつけ下さい
If you have a Gold Ticket, you can come and go freely into the park…as long as you don't lose it.	ゴールドチケットはお客様がお無くしならない限り何度でも入園できます
I'm sorry, you don't have enough money.	もうしわけありませんがお金がたりないようです
Please enjoy yourselves.	どうぞ、心行くまでお楽しみください
Please buy your ticket here.	お客様こちらでチケットをお買い下さい
Here at the Gold Saucer, there are many places where you must pay with GP.	ここゴールドソーサーでは料金を『ＧＰ』でお支払いただくものが多数あります
Just think of 'GP' as money that you can only use at the Gold Saucer.	『ＧＰ』はゴールドソーサーでのみ使うことの出来るお金だと思っていただければ、けっこうです
GP can only be redeemed at the games in Wonder Square and at the Chocobo Races.	ＧＰはワンダースクェアの各種ゲームとチョコボレース場でのみお求めいただけます
Your GP limit is 10000, so please be careful.	それとＧＰの個人の所有は１００００までとなっておりますのでお気をつけ下さい
Would you like to change gil into GP? 1 GP is 100 gil.	ギルをＧＰに換金しますか？１ＧＰは１００ギルです
Yeah	ああ
No	いや
GP	ＧＰ
gil	ギル
Is this okay?	ギルだがいいな？
Yeah	ああ
No	いや
Hey, how 'bout it, change your gil into GP?	おっ、兄ちゃんたちどうだい、俺がギルをＧＰに変えてやろうか？
Yeah	ああ
Not interested	興味無いな
Hey, thanks 1 GP is 100 gil.	へへっ、毎度１ＧＰ１００ギルでいいぜ
Hey, you don't have enough.	なんだよ、兄ちゃん金がたりねぇぞ
No, no. It's suspicious if you have more than 10000 GP.	ダメダメ１００００以上もっててもあやしまれるだけだ
If you want some more later, I'll be around now and then.	また欲しくなったら来なおりゃあ、たまにここにいるからよ
[Save Point]	【セーブポイント】
Access the Menu and select [SAVE] to save your game…but, each transaction will cost 5 GP here.	メニューを開いて【セーブ】を選ぶとゲームの状態を保存できます……、がここでは　５ＧＰかかります。
No way!	払わない！
I guess I'm stuck. I'll pay	しょーがないから払う
Not enough GP…	ＧＰがたりません…
Current GP	現在の持ちＧＰ
GP	ＧＰ
Dio	ディオ
This way.	こっちだ、君たち
Dio	ディオ
I'm sorry, I'm gonna close this for awhile.	すまないが、しばらくは営業をひかえさせてもらう
I'm just debating if I should be in business at a time like this.	こんな時でも、経営を続けるかどうかを考えている所だ
Dio	ディオ
I thought about it, but there was only one solution.	考えぬいたが、結論は１つだった
I believed that because of the way things are, there's a need for a place like this.	こんなときだからこそこのような場所が必要なのかも知れんそう考えたよ
Dio	ディオ
Enjoy yourselves… Ha ha ha ha…	楽しんでいってくれたまえはははははっはははっ
Info Board	案内板
Event Square	『イベントスクェア』
An entertaining show awaits you.	楽しい演劇があなたを待っています
Chocobo Square	『チョコボスクェア』
Chocobo Racing takes you into the world of Virtual Reality!	チョコボレーシングが君をバーチャル空間へご案内
Wark! Wark!	クエっ！　クエっ！
Battle Square	『バトルスクェア』
Go to the limits in heated battles!	熱き戦いへ君をいざなう！
Try your hand at the special Gold Attack!!	いま必殺のゴールドアタック！！
Round Square	『ラウンドスクェア』
Take a tour of the Park and see the beautiful night scenery of Gold Saucer…	園内を一望できます 美しいゴールドソーサーの 夜景をあなたに……
Speed Square	『スピードスクェア』
A Shooting Roller Coaster is waiting to take you into the world of excitement.	あなたを興奮の中へ シューティングコースターが 君を待つ！
Wonder Square	『ワンダースクェア』
A number of Games await you here. Collect GP at Wonder Square and play some more!	数多くのゲームがあなたを待っています ワンダースクェアでＧＰをためて たくさん遊ぼう！
Ghost Square	『ゴーストスクェア』
Please come and stay at the hotel… Ha ha ha…	こちらにはホテルがございますお泊りのさいはこちらへ……ひょひょひょひょひょっ
Now in: Gold Gate	『現在地・ゴールドゲート』
Let's try all of the Attractions! 	様々なアトラクションへレッツ　アクセス！
Welcome to Gold Saucer!	ゴールドソーサーへようこそ！
Many attractions await you here at Gold Saucer. 	ゴールドソーサーでは 様々なアトラクションが あなたを待っています。
You will be moved and excited, thrilled and terrified! Led from one zone to another… unlike anything you've ever experienced! Make your memories…today.	感動と興奮、スリル＆サスペンスあなたを未体験ゾーンへご案内！一生の思い出をあなたに……
Wow! Let's have fun!	うわ～！楽しまなくっちゃ！
I know this isn't the right time to do this.	そんな場合じゃないのはわかってるけど、ね
Hey, BARRET, cheer up!	ね、BARRETも元気だして！
…I ain't in a cheery mood. So jus' leave me alone.	……そんな気分にはなれねえ。オレのことは放っておいてくれ
Really? That's too bad.	そ～ぉ？仕方ないね
Let's go!	行こっ！
