Gongaga Village	ゴンガガ
Jungle	ジャングル
Meltdown Reactor	メルトダウン魔晄炉
Weapons Store	武器屋
Item Store	アイテム屋
Inn	宿屋
Residence	民家
Zack's Home	ザックスの実家
Mayor's Home	村長の家
Received "Titan" Materia!	『タイタン』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Deathblow" Materia!	『ひっさつ』のマテリアを手にいれた！
Received "X-Potion"!	『エクスポーション』を手にいれた！
Received "White M-phone"!	『ホワイトメガホン』を手にいれた！
You a traveller? Hey wait, that glow in your eye… Are you in SOLDIER?	旅の人かい……おんや？あんたのその目の輝きは……ソルジャーさんだね？
Grandma	おばあさん
Oh, you're right! Don't you know anything about our son?	あらあらホントだよ！あんたウチの息子を知らないかい？
Grandpa	おじいさん
His name is Zack.	ザックスっちゅう名前なんだが
Grandma	おばあさん
It's been close to 10 years since he left for the city, saying that he didn't want to live in the country…	こんなイナカじゃくらせないとか言い残して都会へいったままもう、かれこれ１０年近く……
Grandpa	おじいさん
He left saying he's going to join SOLDIER. You ever hear of a Zack in SOLDIER?	ソルジャーになるっちゅうて村を飛び出したんだあんた、知らないかい？ソルジャーのザックス
Hmmm…I don't know.	さあ……知らないな
Zack…	……ソルジャーのザックス……
Grandpa	おじいさん
Young lady, you know him?	娘さん、知ってるのかい？
Grandma	おばあさん
I remember he wrote us 6 or 7 years ago saying that he had a girlfriend. Could that have been you?	そういえば６、７年前に手紙がきてガールフレンドができましたって書いてあったけど、あんたかい？
…No, it wasn't.	……ちがいます
Zack…	ザックス……
Grandpa	おじいさん
Do you know him, young lady?	娘さん、知ってるのかい？
What a shock… I didn't know Zack was from this town.	……この村にザックスの家があるなんて知らなかったからびっくりしちゃった
You know him?	知ってるヤツか？
Didn't I tell you? He was my first love.	いつか話さなかった？わたし、初めて好きになった人
…	…………
Zack… SOLDIER First Class. Same as CLOUD.	ザックス……ソルジャー・クラス１ＳＴ。CLOUDと同じ
Strange, there aren't that many who make First Class, but I've never heard of him.	クラス１ＳＴなんて何人もいないはずだ。でも俺は知らないな
That's all right. It's all in the past now. I was just worried because I heard he's been missing.	別にかまわないの。むかしのことだしね。ただ、行方不明だから心配なだけ
Missing?	行方不明？
I think it was five years ago. He went out on a job, and never came back.	５年前かな。仕事で出かけてそれっきり
He loved women, a real lady's man. He probably found someone else…	女の子が大好きなヤツだったからね。どこかで知り合った子と仲良くなっちゃったのよ、きっと
Hey? What's wrong?	あれ？　どうしたの？
Poor guy	それは心配だな
(…jealous…envious…)	（やきもち……しっと……）
I don't really mind that I haven't heard from him. But I feel for his parents.	いいんだけど、べつに。でも、ご両親にくらい連絡すればいいのにね
Are you…jealous? Hmm?  Hmmm? Are you, CLOUD?	もしかして……やきもちやいてる？ん？　んん？どうなのかな、CLOUDくん？
I'm kidding. I'm sorry.	な～んて、ごめんね
I was hoping maybe you were…	そうだったらうれしい……かな
AERIS…	AERIS……
Let's go, CLOUD.	行きましょ、CLOUD
Zack…	ザックス……
