Cosmo Canyon	コスモキャニオン
I am home! It is I, Nanaki!	ただいま～！ナナキ、帰りました～
Hey, Nanaki! You're safe!	おお、ナナキ！無事だったか！
Come on, and say hello to Bugenhagen!	さあ、ブーゲンハーゲンさまにごあいさつを！
…Nanaki?	……ナナキ？
Welcome to Cosmo Canyon. Are you familiar with this land?	ようこそコスモキャニオンへ。この地のことはごぞんじですか？
No	知らないな
Welcome to Cosmo Canyon. Make yourselves at home.	ようこそコスモキャニオンへ。ゆっくりしていってください
You lied. That is something that is not treated lightly here in Cosmo Canyon.	ウソをつきましたね。このコスモキャニオンでは許されないことですよ
Let me explain.	では、語らせていただきましょう
People from all over the world gather here to seek the Study of Planet Life.	ここには世界中から『星命学』を求める人々があつまってきます
Wooooooooo!	うぉぉおおお！
I always wanted to come here!	来たかったぜコスモキャニオン！
Ummgah! I'm sorry it's full now, so I can't let you enter.	んが！今は定員いっぱいなので中には入れてあげられません
They helped me when I was on the road. Please let them in.	その人たちにはほんのちょっとだけ世話になったんだ。いれてあげてよ
…Oh, is that so? You helped our Nanaki? Please, come in.	……そうでしたか。ナナキがほんのちょっとだけ世話になりましたか。では、どうぞおはいり下さい
Who is Nanaki?	ナナキというのは？
Nanaki is Nanaki. That's his name.	ナナキはナナキ。かれの名前です
Leaving already? You should get some rest.	もう行くのか？少し休んでいけばいい
Since you're here, why don't you listen to Bugenhagen's story?	せっかくですからあなたがたもブーゲンハーゲンさまのお話をきいていかれては？
Leaving already? But it appears your friends still want to learn more about the Planet…	おや、もうご出発ですか？あなたのお友だちはまだ星について学びたいみたいですが……
Did you get to see Bugenhagen's contraption? If you haven't yet, you must!	ブーゲンハーゲン様のアレはごらんになりました？まだでしたら、ぜひどうぞ！
Hm? If you're looking for Bugenhagen, he went to the Sealed Door.	あれ？ブーゲンハーゲン様なら『無用の扉』のほうへ行かれましたよ
Remember, there's a steel door on the way to Bugenhagen's room.	ホラ、ブーゲン様のお部屋へ行くとちゅうのあの鉄の扉ですよ
What's that door there for anyhow? It's been closed forever…	ホントにあの扉なんの役にたつんでしょう？ずーっと閉じたままで……
Oh, it's you. This is terrible. The color of that unlucky star…	ああ、あなたたちですか。大変なことになってしまいましたね。あの不吉な星の色……
The children are all so scared that they won't even go outside.	子供たちなんか、こわがって外へ出てこようとしないんですよ
I'd rather not see it either…	できることなら、わたしだってあんなもの、見たくはないですがね……
Bugenhagen seems rather down ever since he returned from that trip.	あの旅から帰られてからというものブーゲンハーゲン様、あまり元気がないようなんです
I'm worried something might happen to Bugenhagen now of all times…	こんな時にブーゲン様にまでもしものことがあったら……しんぱいです
Nanaki, it's really bad. Ever since Bugenhagen returned from that last trip, he doesn't seem well.	おおナナキ、大変なんだ。あの旅から帰られてからというものブーゲンハーゲン様、あまり元気がないんだよ
Why don't you hurry and see Bugenhagen?	おまえも早くブーゲン様のところへ行ってあげておくれ
Bugenhagen is what keeps our hearts strong…	ブーゲンハーゲン様は今の私たちの心のささえです……
Here is where I was…I mean, …this is my hometown.	ここがオイラの……ちがうちがう！……ここが私の故郷だ
My tribe were protectors of those who appreciate this beautiful canyon and the Planet.	私の一族はこの美しい谷と星を理解する人々を守ってくらしてきた
My brave mother fought and died here, but my cowardly father left her… I am the last of my race.	だが勇ましい戦士であった母は死にふぬけの父は逃げだし一族は私だけになってしまった
Cowardly father?	ふぬけの父？
Yes. My father was a wastrel.	ああ。父は見下げたふぬけ野郎だ
And so the mission I inherited from my ancestors is to protect this place. My journey ends here.	だから、ここを守るのは残された私の使命だ。私の旅はここで終わりだ
Hey! Nanaki--! You're home!	お～い！　ナナキ～！帰ったのか～！
Coming, Grandpa!	いまいくよ！　じっちゃん！
Good timin'. Let's take a breather.	ちょうどいい。オレたちもここらで小休止といこうぜ
I got stuff I want to find out, too.	オレはいろいろ知りてえこともあるしな
That's perfect. Why don't we take a break too? We can meet back here in a while, OK?	ちょうどいいわ。私たちも一休みしない？しばらく自由行動ね！
Let's rest for a bit. There are some things I want to find out about anyway.	ね、ちょっと休んでこ。わたし、いろいろ聞いてみたいことあるし
Rest, rest, rest! I wanna rest! Ok! That's that!	休も休も休も！アタシたちも休もっ！よし、けってーい！
I'm just dead tired. Everyone, how 'bout some rest?	もうヘロヘロですわ。みなさん、ぼちぼち休みにしませんか？
Yaaay! Nanaki! Nanaki's back! It's all thanks to this flame!	わーい、わーい！ナナキが！ナナキが帰ってきたです！この炎のおかげなのです！
This fire is called 'Cosmo Candle'. It has burned for generations.	この火はね。『コスモキャンドル』なのです。むかーしむかしからもやされつづけてるのです
