What!?	え～っ！！
This was all burnt down, wasn't it?	燃えちゃったはず、だよね？
…I thought so.	……そのはずだ
Then why… My house is still here too…	それなのに、どうして？私の家もある……
The hell's goin' on!? This a dream or somethin'?	どうなってるんだよ！おまえ夢でも見てたのか？
…Something's strange?	……なんだか、変？
I wonder what's going on…	どういうことなんだろう……
CLOUD, maybe you were just dreaming…?	CLOUDさん、夢でも見とったんとちゃいますか？
Hey, it isn't like what you told me!	聞いてた話とちがうぜ！
What the…?	なになに！？
You said the whole town burnt down, right?	おまえ、この村は全部燃えちまったって言ってたよな
This is Nibelheim, right? But the town's all here.	ここ、ニブルヘイムだよね？村、ちゃんとしてるよ
This is Nibelheim? I heard it burnt down.	ここがニブルヘイム？燃えて全滅って聞いてたけど
The whole town was destroyed by Sephiroth. At least that's what I heard…	セフィロスのせいで村は全滅。そう聞いてましたけど……
Didn't you say that your hometown burned down?	おめえ、故郷は燃えてなくなったとか言ってなかったか？
I thought someone said this town burnt down!	村、なくなったって誰かから聞いたよ！
You tryin' to fool us?	おまえ、オレたちをだましやがったのか！？
Hey, what's going on?	ね、どうなってんのかな？
CLOUD… Did you lie to us?	CLOUD……オイラたちにウソついた？
CLOUD, did you make up that story just to get our support?	CLOUDさん同情でもひこ思て、つくり話ですか？
Yo, CLOUD. It's not good to lie.	CLOUDよう。ウソはいけねえぜ
What happened?	どしたの？
I'm not lying!	俺はウソなんか言ってない
I remember…the intense heat of the flames…	俺はおぼえてる……あの炎の熱さを……
Wooow… He's…calling…Sephiroth… is…calling…	うぁぁぁあああ……呼んで……る……セフィロスが……呼んでる……
The…Great…Se…phi…roth… is…near..."	セフィ……ロス……さま……ちかくに……いる……
In…side…inside…the Mansion… Urrrrrrrgh…the great…Sephi…roth	……屋敷……の……なか……おおぉぉぉ……セフィ……ロス……さま
Great…Sephi…roth… …left us…	セフィ……ロス……さま…………行って……しまった……
Over…mountains… …gone…	山……こえて……行って……しまった……
What is it?	なんだい、あんた？
Nothing	なんでもないんだ
I lived in this house until I was 14…	俺はこの家に１４歳まで住んでいた……
No, but this town was burned down.	いや、それよりこの村は全部燃えたはずだ
You're sick, saying such things…	なにをネボケたこと言ってるんだい！
Get out of here!	顔あらってからおとといおいで！
Oh, really. Then, it'll help me too.	そうかいそうかい。そりゃぁ、私も助かるよ
What's going to happen to this Planet!? What the hell's Shinra doing!?	この星はどうなっちまうんだい！神羅カンパニーは何をしてるんだい！
A man with a black cape!?	黒マントの男！？
He has a tattoo of the number '11'…	『１１』のイレズミがある……
…Must…go… …Reun…ion…	……行かな……くては…………リユニ……オン
…Must…get…it… and bring…to…Se…phi…roth…	あれ……を……手にい……れセ……フィロスに……とどけるの……だ
Then…become…one… with…Se…phi…roth…	そ……して……おぉ……セフィ……ロスと……ひとつ……に
This guy's number '5'…	この男はナンバー『５』……
CLOUD… CLOUD was playing.	CLOUD……CLOUDが弾いてた
I wonder what…this is?	なんだろう……これ
Received "Elemental" Materia!	『ぞくせい』のマテリアを手にいれた
It looks like Materia, but I can't hold any more.	マテリアみたいだけど、もうもてない
TIFA's secret savings, 1 gil came out of the keyboard.	ピアノのけんばんの間からTIFAのへそくり１ギルがでてきた
I've heard this melody somewhere before. I played it well.	どこかで聞いたメロディ。なんとなくうまく弾けた……
I have the sheet music for that song.	その曲なら、がくふがあるわ
Huh? Wait a minute! There's something inside the music sheet.	あれ？　ちょっと待って！がくふの間に何かはさまってる
TIFA, what's happened to our town? Was it all an illusion, or just a dream? No, it was neither. I remember trying to get people out of the flames, but not having the strength… Burning with anger, I went to the reactor to kill Sephiroth.	TIFAよこの村はいったいどうなっているのだ？あれは幻、それとも夢だったのか？いや、そんなはずはない。私ははっきりと覚えている。炎の中から無事な者を救いだそうとしたが力およばず……怒りに燃えた私はセフィロスを倒すべく魔晄炉へ向かった。
But he was nowhere to be found.	セフィロスの姿は見えなかった。
Instead, I found you, collapsed inside. 	そのかわり魔晄炉の中で倒れていた TIFA、おまえをみつけたのだ。
I felt saving you was far more important than going after Sephiroth.	セフィロスを倒すよりも おまえの命を救う方が大切だと私は考えた。
There were several others that were still alive inside, but I was only able to save you.	魔晄炉の中には他にも何人かまだ息のある者がいたのだが救うことができたのはおまえだけだった
