Wilderness	荒れ地
Wait, wait, wait, wai----t!!	待った待った待ったーっ！！
AERIS	AERITH
What!? What happened all of a sudden?	なになに！？どうしたの、とつぜんあわてたりして？
BARRET	BARRET
What!? The hell happened all of a sudden!?	な、なんだなんだ！？急にどうしたってんだ？
TIFA	TIFA
What the--? Did something happen?	な、なによとつぜん！？何かあったの？
RED XIII	RED XIII
What happened all of a sudden? Don't scare me like that!	ど、どうしたんだよ急に！？ビックリするじゃないかよ！
CAIT SITH	CAIT SITH
Wh, wh, what is it, all of a sudden!? Don't scare me like that!	わ、わ、わ、なんや急に！？おどかさんといて～な
CID	CID
What the HELL is it! Shoutin' out and jumpin' in front of me all of a sudden!	な、なんでえなんでえ！急にデカイ声出して飛びだすんじゃねえよ！
VINCENT	VINCENT
What happened all of a sudden? Did something happen?	突然、どうしたというのだ？何かあったのか？
YUFFIE	YUFFIE
I know this area pretty well.	アタシ、ここいらあたりはちょっとくわしいんだ
It gets pretty tough past here. Better get ready…	この先ってさあ、かなりキツイんだよね。だからね、いろいろ準備を……
AERIS	AERITH
…Hmmm… Something's fishy…	……ふ～ん……なんかアヤしいな～
You're not planning something sneaky again, are you?	また何かイケないこと考えたりしてない？
AERIS	AERITH
……Hmmm… Something's fishy…	……ふ～ん……なんかアヤしいな～
You're not planning something sneaky again, are you?	何かイケないこととか考えたりしてない？
BARRET	BARRET
Hah, I know what you're thinkin'. And you sayin' that just now means you're up to somethin'! Right!?	……ハハーン、よめたぞ。そんなこと言っておまえまた何かたくらんでるんだろ！　ちがうか！
BARRET	BARRET
…You serious? And you sayin' that just now means you're up to somethin'! Right!?	……ホントか？そんなこと言っておまえ何かたくらんでねえか？
I don't trust you.	ハッキリ言ってどうも信用できないんだよな、おまえ
TIFA	TIFA
…Really? Somehow, I don't believe it.	……本当に？な～んとなく、信用できないんだけどな
Are you trying to con us again?	また私たちをダマそうとしてるんじゃ……
TIFA	TIFA
…Really? Something tells me I shouldn't trust you.	……本当に？な～んとなく、信用できないのよね
Are you going to trick us again?	ひょっとして私たちをダマそうとしてるとか……
RED XIII	RED XIII
Hmm… Smells fishy.	クンクン……ウサンクサイにおいがするよ
Are you going to trick us again?	まさか、またオイラたちをだしぬこうとか……
RED XIII	RED XIII
Hmm… Smells fishy.	クンクン……ウサンクサイにおいがするよ
My nose never lies!	オイラのハナはウソをつかないからね！
CAIT SITH	CAIT SITH
You serious? I can't trust you.	ホンマか～？この人なんや信用でけんのや
But then again, I guess I shouldn't talk.	ま、それはボクもいっしょやけどね
CID	CID
Hey! You serious?	オウオウオウ！おめえ、それ本当だろうな？
If you're trying to con us, you won't get away with it!	このオレ様をだまそうったってそうはいかねえぞ！？
VINCENT	VINCENT
Further down? I don't see any signs of danger…	ここから先が？そんな気配は感じられないが
There's something unnatural in the way YUFFIE's acting…	それにYUFFIEの態度にもどこか不自然なものが……
YUFFIE	YUFFIE
No! It's REALLY tough…	ちちちがうって！ホントのホントに大変なん……
There they are, catch 'em!!	いたぞ、つかまえろ！！
CLOUD	CLOUD
Shinra!?	神羅ッ！？
TIFA	TIFA
Shinra!?	神羅ッ！？
AERIS	AERITH
The Shinra!?	あっ、神羅の……！？
BARRET	BARRET
The Shinra!!	神羅かっ！！
CAIT SITH	CAIT SITH
That's Sh…Shinra's…	し、神羅の……
CID	CID
What, the Shinra!?	なにいっ、神羅だと！？
RED XIII	RED XIII
It's Shinra!!	神羅のッ！！
VINCENT	VINCENT
The Shinra!	神羅……！
Shinra Soldier	神羅兵
Hey, that's not them! These are the other guys from before!!	おい、違うぞ！　ヤツじゃない！こ、こいつら、例の！！
AERIS	AERITH
YUFFIE, did you by any chance…	YUFFIE、あなた、もしかして……
BARRET	BARRET
YUFFIE, so you're…	YUFFIE、おまえ、やっぱり……！
TIFA	TIFA
YUFFIE, you're not…	YUFFIE、あなたまさか……！
RED XIII	RED XIII
So you were, YUFFIE!!	やっぱりYUFFIE……！！
CAIT SITH	CAIT SITH
Not bad, YUFFIE, not bad at all.	YUFFIEさん、なかなかやりますなぁ
CID	CID
YUFFIE! You sure got some nerve, kid!	YUFFIE！おめえいい度胸してんじゃねえか！
VINCENT	VINCENT
So what does this mean? You will explain later.	これはどういうことか……後でじっくり説明してもらおうか
YUFFIE	YUFFIE
I didn't know! I had nothing to do with this one!	知らない知らない！これはアタシとカンケーないって！
AERIS	AERITH
This one? What do you mean 'THIS one'?	これ『は』？これ『は』って、何？
So you WERE up to something!	YUFFIE、あなたやっぱりイケナイこと考えてたでしょ！
