Weapon seller	武器職人の小屋
Huh? Oh another customer. You sure picked an out of the way place but…	ん？　また客かこんな、ヘンピな所によくもまあ
But if it's the 'Keystone' you're looking for, you're too late. Don't have it.	けど、ひと足遅かったな『キーストーン』ならもう、ねぇよ
Keystone?	キーストーン？
What? You didn't come here for that?	なんだ、お前らあれ目当てで来たんじゃないのか？
The 'Keystone' is the key that unlocks the gate to a very old temple somewhere.  “You're not going to believe your ears,	『キーストーン』ってのはこの世界のどこかにある古～い、神殿の扉を開けるカギよ
but I heard it was the Temple of the Ancients!!	聞いておどろけ、その神殿とはなんと古代種の神殿だ！！
The Temple of the Ancients?	古代種の神殿……
Ha, hah, hah, hah…	ゲラゲラゲラゲラ
Don't take it seriously. It's just a legend!	本気にすんなよただの言い伝えなんだからよ
Huh? What?	ん？　なんだ？
Where is the Temple?	神殿はどこだ？
Let's change the subject	他の話
Never mind	何でもない
I sold it already. Yeah well, to tell the truth, I didn't really want to sell it but…	売っちまったよ。いや～よ、俺も売る気は無かったんだけど
That guy had a way about him that made you feel like it may not be a good idea NOT to sell it to him…	ど～も、あの人のウムも言わさぬ迫力に負けちまってツイ…
Who did you sell it to?	どこのだれに？
The manager of the Gold Saucer. think his name was 'Dio'. Said he was going to put it in his museum, then he took off out of here.	ゴールドソーサーで園長をやっている『ディオ』だよ。なんか展示室にかざるって言ってたから行ってみな
Come on…it's only a legend. But if it were true, that sure would be something, huh?	だから、言い伝えだってまぁ、けど本当にあったらおもしれぇな
Now that you mention it, I've heard of something called Ultimate Destruction Magic It's supposed to be hidden somewhere in the Temple of the Ancients.	そういやぁ、こんな話聞いたことあるぜ古代種の神殿には『究極の破壊魔法』が隠されてるとかなんとかな…
Ultimate Destruction Magic…?	究極の破壊魔法……
Come on! I said don't take it seriously!	だ・か・ら！本気にするなって言うの
Hey, don't just come bargin' in here!	おいおい、勝手に開けないでくれよ
You again? All right, what is it?	また、来たのかい？まぁ、いいけどな
Huh? What? If it's the Keystone you want I already sold it!	ん？　なんだ？キーストーンなら売っちまったよ
All the weapons you see here I made myself. But lately I haven't been able to get materials…	ここの武器はぜ～んぶ、オレ様の作品だ。けど、最近は材料が手に入らなくてなぁ
Hey you wouldn't happen to have any Mythril on you, would you? I'll trade you something good if you could spare some.	そうだ、あんたたちミスリルは持ってねぇか？もし、ゆずってくれるなら何かプレゼントするぜ
All the weapons you see here I made myself. But lately I haven't been able to get materials…	ここの武器はぜ～んぶ、オレ様の作品だ。けど、最近は材料が手に入らなくてなぁ
Give him some	ゆずる
Forget it	ゆずらない
Hey thanks! All right you can help yourself to either a big or small box.	ありがてえじゃあ、大きいハコか小さいハコか１つ選んで持ってっていいぜ
Yeah? Well, guess that's that.	そうかいまぁ、しょうがねぇな
Received "Gold Armlet"!	『金の腕輪』を手にいれた！
Received "Great Gospel"!	『大いなる福音』を手にいれた！
…No one's here. We'll come back later.	誰もいないようだ……後で、また来てみよう
What? You want to rest?	なんだ？やすみてぇのか？
Yep	そう
Nope	そうでもない
Oh all right. You can use that bed.	しょ～がねぇなベット使っていいぜ
Keystone	『キーストーン』
Star Cup	『星杯』
Weekend Clock	『週末の時計』
Laugh Sapling	『笑うなえぎ』
Slayer's Pot	『スレイヤーのつぼ』
Chisa's Mask	『チサのカメン』
Dio's Portrait	『ディオ画』
D Type Equipment	『Ｄガタ装備』
Kleine's Pot	『クラインのつぼ』
Calling Gourd	『呼びかけるひょうたん』
Zauger's Cup	『ゾウゲの杯』
It's the Keystone…	キーストーンだ……
Dio	ディオ
Heh, heh, heh. Long time no see, boy. Hmm? You like that, huh?	はっはははははは久しぶりだな少年よん？　それが、気に入ったかね？
Dio	ディオ
I got it from the guy in a little shack south of here, past the 'River'.	それは、ここから『川』をはさんで南にある小屋にすんどる男からゆずってもらったのだよ
Dio	ディオ
If you want to know more, go there and talk to him.	それについてくわしい話を聞きたいのならばそこに行きたまえ
Can you let me borrow this?	これを貸してもらえないか？
Dio	ディオ
Heh, heh, heh. Sorry, but it's not for rent.	はっはははは残念だが、貸し出しは禁止だよ
Dio	ディオ
Hmm.	ふ～む
Since you've been good to me in the past, I CAN let you have it on one condition.	しかし、話によってはゆずらないこともない君たちには、かりもあるしねぇ
One condition?	条件は？
Dio	ディオ
Heh, heh, heh. Entertain me!	はっははははは！わたしを楽しませてくれたまえ！
What do I gotta do?	何をすればいい？
Not in the mood.	そんな気分じゃない
Dio	ディオ
Hoo boy!	そうこなくては！
Dio	ディオ
I see… Then let's pretend that this never happened.	そうか……では、この話はなかったことにしよう
Dio	ディオ
Heh, heh, heh! So! You want the Keystone, right? How 'bout entertaining me first?	はっはははは！　やはりキーストーンが欲しいのだろう？わたしを楽しませてくれるのかな？
What do I gotta do?	何をすればいい？
Not in the mood.	そんな気分じゃない
Dio	ディオ
Heh, heh, heh. Nothing all that difficult.	はっははははそうむずかしいことではないよ
This is the Battle Arena. Show me your fighting skills. Just you, boy. I'm expecting a good fight!	ここは、闘技場だ。少年のその力わたしに見せてくれたまえ。少年１人でな。期待しているぞ！
Dio's Museum	ディオの展示場
Dio	ディオ
That's the best you could do? Well, a promise is a promise. Go ahead, take it.	ふ～む、こんなものか。まぁ、よかろう約束だ。もっていきたまえ
Dio	ディオ
Hmm, you did pretty well, young man!	なかなか、やるではないか少年！ 
Good, it's a promise, so go ahead and take it. I'll give this to you too.	よかろう、約束だもっていきたまえ。ついでに、こいつもやろう
Dio	ディオ
Heh, heh, heh! Well done, young man! And, as I promised, you can take it. Oh, and I'll give you this too.	はっはははは！やるな、少年よ！よし、約束だもっていきたまえ。そうだ、これもやろう
Received Key Item "Keystone"!	キーアイテム『キーストーン』を手に入れた！！
Received "Protect Vest"!	『防弾チョッキ』を手に入れた！！
Received "Choco Feather"!	『チョコボのはね』を手に入れた！！
Dio	ディオ
We shall meet again! Heh, heh, heh.	では、またあおう少年！はっはははは
With this, We can get into the Temple of the Ancients. Let's go, CLOUD!	これがあれば古代種の神殿、はいれるね。行こ！　CLOUD
With this Key Materia, We can get in to the Temple of the Ancients. Let's go, CLOUD!	このキーマテリアで古代種の神殿にはいれるわ。行きましょう、CLOUD
This'll get us into the Temple of the Ancients, right?	これで、古代種の神殿とかに入れるんだろ？
Staff	係員
Excuse me, sir.	あっ、お客さん
Staff	係員
I'm sorry. The Tram is out of order right now.	申し訳ございません。ロープウェイが故障してしまいまして
…So?	……ということは？
Staff	係員
I'm really sorry!	申し訳ございません！
Staff	係員
I'm afraid you won't be able to leave until it's fully repaired.	修理が終わるまでここから出られないのです
What's wrong?	どないしたんですか？
Too bad. It happens, though.	しゃあないな～。ときどきあるんですわ
I know! Let's stay at the hotel! They know me here. I'll go talk to them.	せや！　ここのホテルに泊りましょ！ちょっと、顔きくんですわ話つけてきます～
Staff	係員
I will let you know once the repairs are completed.	修理が終わりしだい連絡させていただきます
Are you thinking of just us going back?	わたしたちだけ、もどるの？
Hey, CLOUD, Are we going back without the others?	ちょっと、CLOUD。私たちだけでもどるの？
Are we leaving the others?	みんなを置いてもどるの？
CLOUD! Are we just going to leave the others?	CLOUD！アタシたちだけでもどってどうするんだ？
We don't usually get the chance to be together like this, huh?	そういや、全員そろうのはめったにありませんな
CLOUD, how 'bout it? Can you tell me what's happened so far?	CLOUDさん、どうやろう。このへんでここまでのまとめやってもらえませんか？
I don't really know what's goin' on because I wasn't here in the beginning.	ボクは、途中参加やからよぉわからんとこあるんです
Yeah! I'm for that!	おっ！　賛成だぜ！
Good idea.	それはいい考えだ
I been here since the beginnin', an' I still don't know what the hell's goin' on either.	オレは最初からいるけどよくわからなくなっちまった
CLOUD, the hell's goin' on? C'mon, tell us!	CLOUD、何がどうなってんだ？まとめてくれ！
I'm tired…	つかれてるからイヤ
All right, I'll give it a shot…	やってみよう
All we have to do now is sleep! You're still young! What're you complaining about?	あとはねるだけじゃねえか！若いくせになに言ってんだよ！
Phew…	ふう……
We are going after Sephiroth.	俺たちはセフィロスを追いかけている
Sephiroth must be in search of the Promised Land.	セフィロスは約束の地をめざしているはずだ
The Promised Land?	約束の地だぁ？
A land full of Mako energy. …Or at least that's what the Shinra believe.	魔晄エネルギーに満ちあふれた豊かな土地。……これは神羅の考え方だ
I don't know if it actually exists.	じっさいにはどんなところなのかどこにあるのかすらわからない
The Cetras will return to the Promised Land. A land that promises boundless happiness.	セトラの民は約束の地へ帰る。至上の幸福が約束された運命の土地
Cetra? That some kinda disease?	セトラノタミ？　なんだ、それ？
That's what the Ancients call themselves.	古代種は自分たちのことをそう呼んでいたの
Hey, didn't you listen to the elders at Cosmo Canyon?	ねえ、コスモキャニオンで長老たちの話、聞かなかったの？
…You don't 'know' where the Promised Land of the Ancients is.	……古代種も約束の地、どこにあるか知ってるわけじゃないってこと
You search and travel, until you feel it. Then you just know that you've found it.	求めて、旅をして、感じるの。ああ、ここが約束の地だ、ってね
AERIS…can you feel it too?	AERISも……わかるのか？
I think so.	たぶん、ね
So Sephiroth is traveling the world because he's searching for the Promised Land? Is that it?	セフィロスが世界のあちこちを歩き回ってるのは約束の地をさがしてるのね
He's searching for that, and one other thing.	それだけじゃない、きっと。ほかにも探してるものがある
The Black Materia?	黒マテリア……だな
I heard from Dio that a man in a black cape was lookin' for the Black Materia.	ディオさんから、聞きましたで。黒マントの男が黒マテリア探してるって
I've never heard of Black Materia…	その黒マントもわからないわ
How many men with black capes and number tattoos are there?	数字のイレズミがある黒マントの人たち。何人いるのかしら？
…You know, of course, my tattoo is number 13.	……あのさ。オイラのイレズミは１３なんだけど
How did you get that tattoo?	そのイレズミは……どうしたんだ？
…Hojo put it on me. The rest are just war scars, but the number was done by Hojo.	……宝条にやられたんだ。他のは戦士の魔除けだけど数字だけは宝条がやったんだよ
So there are at least 13!?	最低でも１３人！？
You know…	……あのね
I think Hojo did something to those men in the black capes.	黒いマントの人たちは宝条に何かをされた人たちだと思うのね
But I don't know what it has to do with Sephiroth though…	セフィロスとの関係……それ、よくわからないけど
That's why I think we should just go after Sephiroth himself.	だから、セフィロス本人だけ追いかければいいんじゃないかな？
Yeah, me too! It's all just too damn confusin'.	それ、賛成だぜ！ややこしくてしょうがないからな
And…	それにね……
I'm sorry, forget it!	ゴメン、なんでもない！
I think I'm tired. I'm going to bed now.	わたし、つかれちゃった。部屋、行くね
What was that, all of a sudden!?	なんやねん、急に！
What!? That's it? I'm goin' to bed!	おっ！　おわり？アタシもねるよ！
Is that all? How 'bout the Black Materia?	もう、おしまいですか？黒マテリアの話は、どうなったんです？
You wouldn't understand even if I told you.	話したって何もわからないさ
Now all we gotta do is take action! We're startin' tomorrow!!	行動あるのみ、だぜ！明日だ、明日！
CLOUD…	CLOUD……
I'm number 13. Am I going to go mad too?	オイラ、ナンバー１３だ。オイラもおかしくなっちゃうのかな？
I don't know what Hojo did to you, but you've been all right so far, right?	宝条が何をしたのかわからないけどいままで、だいじょうぶだったんでしょ？
But…	でも……
Be strong.	弱気にならないで
But, I…	でも、オイラ……
Stop it, RED XIII! Be strong!	しつこいわよ、RED XIII！ウジウジしないで！
TIFA?	TIFA？
You're not the only one who's worried!	不安なのはあなただけじゃないのよ！
I don't know what's goin' on, but we're in a bad situation…	なんやしらんけどへんなことになってしまいましたな～
Hey CID, let's go back to our rooms.	おい、CID部屋にもどるぞ
…zzzz…zzzz…	グー……グー……
