Crater	クレーター
An old crater…	大昔にできたクレーターか
Something fell out of the sky and crashed down here…	かつて空から何かが落ちてきてここにぶつかった……
Leaving a scar on the Planet.	星に傷ができたんだ
Sephiroth took that energy and is trying to use Meteor.	セフィロスはあの大切なエネルギーを奪ってメテオを使おうとしている
Next time the wound won't be so small.	こんどは、この程度の傷ではすまない……
So all this energy's gathered here for the Planet to heal itself?	ここのスゲエ量のエネルギーは星の傷を治すために集まってるわけか
So the Planet has gathered all this energy here to heal itself?	この傷を治すためにたくさんのエネルギーがここに集まっているのね
The energy of the Planet is concentrated here.	星のエネルギーがここに集まっているんだね
It is slowly healing its old wound.	大昔にできた傷を長～い時間をかけて治してるんだ
Even I know what's going on. The energy's bein' gathered here to heal the gash.	……アタシにもわかるよ。傷を治すためにエネルギーが集まってきたんだ、ここにさ
Damn, this's somethin'. It's gathered all that energy to try an' heal itself.	すんげえもんだな。その傷を治したくってエネルギーがここに集まってきたんだ
It's trying to heal its wound by gathering all that energy here.	その傷を治そうとしてこんなにたくさんのエネルギーが集まってるわけでんな
It's amassed a vast amount of energy to heal itself.	傷をいやすためにエネルギーが大量に集まってきたわけか
…bback…to…Sep… …i…roth…	……セ…セフィ…ロスのも…と……へ…
OK, let's go…	しかたない……
The rest is up to you!	あとは、まかせたぜ！
CLOUD, wait for me!!	CLOUDまって～！！
Please take me with you. You're going after Sephiroth, aren't you?	私も連れていって。セフィロスと決着をつけるんでしょ？
I've lost a lot because of Sephiroth too. So please take me along.	私もセフィロスのせいでいろいろ……無くしたんだから
Don't say no. OK?	ダメって言わないでね……
You're going after Sephiroth, aren't you?	セフィロスと決着をつける時がきたのね
I've lost a lot because of Sephiroth.	私もセフィロスのせいでいろいろ無くしたわ……
Let's go!	いそぎましょう！
I'm going to call everyone.	みんなを呼びに行ってくるよ
Man, I sure am thankful. Wanna rest a while?	ありがたいぜ、ひと休みするか
Are you saying you don't like me?	アタシじゃ気に入らないってのかい？
I'll gather everybody, so you go on ahead.	みんなを呼びに行きますよって先に行っとくんなはれ
Keep on your guard… Sephiroth may be near.	ゆだんするなよ……セフィロスは……近くにいるのかもしれない
Whirlwind Maze	竜巻の迷宮
That's…!!!	あれは！！
Rufus is coming here, too?	ルーファウスもここに来るのか？
Received "Neo Bahamut" Materia!	『バハムート改』のマテリアを手にいれた！
So, I finally found you.	ついに見つけたな
Kyaa haa hah.	キャハハハハ！
Kyaa haa hah.	キャハハ……
haa hah	ハハハ……
haa…hah	ハァ……ハァ……
