…ding…	…ぶ…しい……
Huh?	あんっ？
The glare…	まぶしいね……
You'll be okay soon. You've been asleep a long time.	しばらくのしんぼうだ。ずっと眠ってたからな
I'm…hungry…	おなか……すいたね……
About him?	アイツのことをよ
…I'm scared.	…………こわいから
Don't worry. I don't know what happened to CLOUD either.	それなら安心してくれ。オレもCLOUDがどうなったのかはわからねえ
Guess I shouldn't tell you not to worry…	安心してくれってことはないか……
They don't know if he's alright either.	他のヤツらもよ無事かどうかさえわからねえんだ
Is he still…alive?	きっと……生きているよね
How long…was I asleep?	私……どれくらい眠ってた？
Let's see now… Must've been about 7 days.	え～と……あれから７日たってるはずだぜ
What about Sephiroth?	セフィロスは？
It ain't over yet. Remember that huge light, in the Northern Cave?	まだ復活はしていねえみたいだな。あの大きな光は覚えているか？北の大空洞の？
Well now the crater's surrounded by a huge light barrier.	あの後、クレーターは光の大きなバリアでつつまれちまった
Everyone knows Sephiroth sleeps in there protected by the barrier.	セフィロスはバリアに守られながらあの大穴で眠ってやがるって話だ
We can't do a damn thing about it. We just gotta wait till he wakes up.	オレたちには手も足も出せねえ。ただ目覚めの時を待つってだけさ
On top of that, some huge monster called Weapon's been on the rampage.	しかもよ、ウェポンとかいう巨大モンスターがあばれてやがる
…Weapon?	……ウェポン？
Remember that huge monster with Sephiroth, at the bottom of the crater?	クレーターの底でセフィロスのまわりにいたバケモノを覚えてるか？
Well it's up here now. They say it's some legendary monster from the past.	あれが地上に出てきたんだ。古代に生きていた伝説の巨獣だって話だぜ
Weapon…is protecting Sephiroth?	ウェポン……はセフィロスを守っているの？
Dunno. But he's been goin' around tearin' stuff up.	わからねえ。でも、とにかくそいつらが現れて世界を襲い始めた
Right now that Rufus is fightin' it. I hate to admit it, but he's got guts.	ルーファウスはそいつと戦ってるのさ。気にくわねえがたいした奴だよ
We shoulda been the ones to destroy it, but there ain't no time…	本当は俺たちが倒してえところだが時間がねえ……
Time…	時間……
… Hey! How about Meteor?	……そう！　メテオは？
Do we have to give up?	あきらめなくちゃならないのかな？
…Dunno.	……さあな
Rufus	ルーファウス
I thought CLOUD would show up to save you all…	おまえを助けるためにCLOUDがあらわれると思っていたが……
Professor Hojo wanted to check up on CLOUD, too.	宝条博士もCLOUDを調べたがっていてな
What are you going to do to CLOUD?	CLOUDをどうするつもり！
Rufus	ルーファウス
Sephiroth's alter ego…	セフィロスの分身……か
Rufus	ルーファウス
Meteor has been summoned… Essentially, it's all but over now.	メテオを呼んでしまった今となってはおはらいばこのようだな
Rufus	ルーファウス
So, there's no need for you now.	というわけで、おまえたちにももう用はない
Rufus	ルーファウス
No, maybe there is an important task for you…	いや、大切な仕事が残っている……かな
Heidegger	ハイデッカー
President! Preparations for the public execution are complete.	社長！処刑の準備がととのいました
Execution!?	処刑だぁ！？
Rufus	ルーファウス
You are to be executed for causing this situation.	おまえたちはこの事態を引き起こした者として処刑される
I take back the good things I said bout this damn jackass!	この野郎をチラッとでもほめたのは取り消すぜ
Rufus	ルーファウス
Well, enjoy your last moments together.	ま、最後のひとときを楽しむが良い
Heidegger	ハイデッカー
I'll tie your arms now.	腕をしばらせてもらおうか
Heidegger	ハイデッカー
Hey! Walk straight!	こら！　まっすぐ進め！
Scarlet	スカーレット
Is everyone here? These are the ones who brought this madness to the world!	みなさんお集まりになった？この者たちが世界をこんな混乱に落としめた張本人たちよ！
The hell are these people?	何だこいつらは？
Scarlet	スカーレット
We will be broadcasting your miserable deaths live on national television.	あなたたちのぶざまな死にざまをテレビで全国中継するのよ
Scarlet, why a public execution in this day and age?	スカーレットさん。なぜ今回はこのような公開処刑を？
Scarlet	スカーレット
With the chaos resulting from the Meteor reports, we desperately need to rally public support… it's better that we punish somebody, anybody.	メテオで混乱した民衆をまとめるには誰か一人、悪者をつくるのがベストなのよね
You make me sick…	悪趣味……
Scarlet	スカーレット
Ha, ha, ha, ha !	キャハハハハハ！
They'll never admit it, but everyone loves this stuff!	口には出さないけどみんな本当はこういうのが大好きなのよ！
Scarlet	スカーレット
We'll start with this girl.	さ、まずはこの娘からよ
If you've gotta do it…take me first!	やるんならまずオレからやれ！
Scarlet	スカーレット
Camera, this way! Make sure you get this, the audience just eats up tearful goodbyes!	ほらほら、カメラさん、こっち！こういうお涙ちょうだいしばいが最高にウケるのよね！
Scarlet	スカーレット
This is my special gas chamber. Take your time and enjoy a slow painful death.	私の特製ガスルームよ。じっくり時間をかけて思う存分苦しんでちょうだいね
“”	「」
Scarlet	スカーレット
Stuck up ^%$#&!!	なまいきね！！
What are you doing!?	何するのよ！
Scarlet	スカーレット
What'd you do? Hey! Open it!	どうしたの？こら！　あけなさい！
First you lock me in this weird place, and now you're telling me to come out? Make up your mind!	自分でこんな変な場所入れておいて今度は出てこいですって？勝手なこといわないでよ！
Scarlet	スカーレット
Don't make me pry it open!	こじあけてやるわ！
Gas!!	ガス！！
Gas!!	ガス！！
BARRET, help!!	BARRET助けて！！
Hold your breath! Hold on as long as you can!	息をとめてろ！少しでも長くガマンするんだ！
Come on! I can't hold on forever!	むちゃ言わないで！とめるって言っても限界があるわ！
Move your feet and arms, then use your	手足を動かし、頭を働かせて
head to get out of the chair.	何とかイスから脱出しろ
[MENU]…(Head)	△ボタン　…　【頭】
[SWITCH]…(R Arm)[OK]…(L Arm)	□ボタン　…　【右手】　　○ボタン　…　【左手】
[CANCEL]…(Legs)	×ボタン　…　【足】
Try different patterns.	ワンパターンではだめ
Try and combine two movements at once.	２つの行動を同時に組み合わせろ
Which button stops the gas?	ガスをとめるボタンは……？
Open it---	開いてぇぇぇーーーーー……
Scarlet	スカーレット
Well now, the show's about to begin. Ha, ha, ha !	さ、楽しいショウが始まるわよ。キャハハハハ！
Emergency! Emergency!	緊急警報！緊急警報！
Weapon's approaching! Attention all military personnel: take your positions!	ウェポン襲来！総員戦闘配備！
Oh no! It's Weapon!	うわぁ！ウェポンだ！
Run!	逃げろ！
Scarlet	スカーレット
Hey, hey, all of you!	ちょ、ちょっとあなたたち！
Scarlet	スカーレット
Damn! Why now?	ちっくしょう～こんないい時に！
How does it feel now, Scarlet?	スカーレットさん、今のお気持ちは？
Scarlet	スカーレット
Hmm, so you didn't run? I'm impressed. How do I feel? Right now…	おや、お前は逃げないでいたの？感心感心……なに？　気持ち？今の気持ちねえ……
Scarlet	スカーレット
Nngaaaaaahhhh!	ンガーーーッ！
Huh!? Sleeping gas?	なにっ？！　さいみんガス？
Weirdo!!	くせもの！！
I'm here to help!	助けに来ましたで
Why you… Ain't you part of Shinra?	どうしておまえが……神羅の人間だろ？
Let's just say I'm against capital punishment. Besides…I hate this broad. Come on, we gotta help TIFA.	死刑には反対なんです。この女も嫌いやし。さ、はよTIFAさん助けんと
I'll keep watch at the entrance.	入口、見張っときますから
It won't open!	あかないぜ、こりゃ！
#$*&!	クッソー！
The Gas Room's probably locked from a different room!	多分別の部屋からガスルームのとびらをロックしてるんだ！
Hmm, we gotta go with a different plan. Let's get out of this room first.	しゃあない、作戦チェンジですわ。いっぺんこの部屋から出ましょ
TIFA! I'll help you, I promise!	TIFA！かならず助けてやっからな！
Let's run to the airport!	エアポートまで走るで！
The airport?	エアポートだぁ？
Trust me, trust me.	ええから、ええから
Scarlet	スカーレット
…Fools… I've already pushed the switch…	……ばか……め……もうスイッチは……押しちゃったわよ……
You can't pass.	ここから先は立入禁止だ
Where you goin'? The airport's the other way.	どこいくねん？エアポートは逆やで
No! They locked this too!	しまった！ここのカギも閉められた！
Scarlet	スカーレット
Fools. Now, you can't save the girl.	おバカさんたちね。これでもう、この娘は助けられないわよ
Scarlet	スカーレット
Ha, ha, ha, ha !!	キャハハハハハハハ
Goddammit!!	チックしょーー！！
OK, OK time for Plan B. Let's run to the airport!	むむぅ～、またまた作戦チェンジですな。エアポートまで走るで！
Why the airport? An' leave TIFA there?	エアポートだぁ？TIFAを放っといて、なんでそんな所へ？
Trust me, trust me. We gotta take a chance.	ええから、ええからこないなったらイチかバチかや
Damn, man!	たいへんだぜ！
I know you're in a hurry! But, may have a word…	お急ぎのところすみません！ちょっとインタビューを……
Shu'up!! I'm in a hurry!	うるさい！！　オレは急いでるんだ！
Kiiiiin…	きぃぃーーーーーーーーん……
Don't make so much noise. It's me, ME! YUFFIE!	大きな声ださないでよ……アタシよ、アタシ！　YUFFIEよ！
The hell you doin' here!?	なんでこんなところに！？
I'll explain later! Now we gotta get to the airport!	説明はあと！さ、エアポートへ急いで！
Heidegger	ハイデッカー
It's Weapon.	ウェポンです
Rufus	ルーファウス
There's been so many attacks lately. Can we handle it?	最近やけに多いな。防げるか？
Heidegger	ハイデッカー
I believe so. Your orders?	なんとか。攻撃の許可は？
Rufus	ルーファウス
No need to ask.	聞くまでもない
Heidegger	ハイデッカー
We'll give it a shot from our big cannon.	じまんの大砲を一発くらわせます
Heidegger	ハイデッカー
Open cannon doors!! Activate cannon. Target: Weapon!!	全砲門ひらけ！！キャノン砲修正、目標ウェポン！！
The cannon…	キャノン砲……
Fire----!!!	発射ーーーーーーーーーーーーーーーーー！！！
Ready!	準備ととのいました！
Rufus	ルーファウス
Did we get 'em?	やったか？
Heidegger	ハイデッカー
Seems so…	おそらく……
Weapon approaching!	ウェポン接近！
Speed, 50 Knots!	速度５０ノット！
It's heading right toward us!	まっすぐこちらに向かってきます！
Heidegger	ハイデッカー
It can't be! We hit it dead on!	ばかな！　確かに命中したはず！
Rufus	ルーファウス
How about the cannon?	キャノン砲は？
Heidegger	ハイデッカー
It'll take time to reload.	準備に時間がかかります
Rufus	ルーファウス
Then use regular fire power in the meantime!	それまで通常兵器で時間をかせげ！
Heidegger	ハイデッカー
Yes sir! Open all artillery doors! Target: Weapon! Don't let it land!	は！　全砲門開け！目標ウェポン！　陸にあげるなよ！
Speed, 70 Knots!	速度７０ノット！
Weapon, closing in!!	ウェポン、なお接近中！！
Not good! It's attacking!	ダメです！衝突します！
Yo! You sure this is the right way? It's a dead end!	おい！　本当にこっちでいいのか？行き止まりだぞ！
Uh oh? Did I make a wrong turn?	あれぇ？道、まちごうたかな？
You damn cat! What the hell're we gonna do now? They all be comin' soon!	ばっかやろーーー！どうすんだい？もうすぐ大勢やってきちまうぜ！
Yo, better watch my back till the end…partner!	最後までもってくれよ……あいぼう！
Scarlet	スカーレット
Our little game of hide and seek ends here.	オニごっこはここまでよ
Scarlet	スカーレット
The execution may have been unsuccessful, but your death by falling and crashing into the water below might still be pretty exciting.	ガス処刑は無理だったけどここから落ちて水面にたたきつけられて死ぬってのもス・テ・キ、かもしれないわね
Scarlet	スカーレット
Stuck up to the end!	最後までなまいきね！
Scarlet	スカーレット
How can you!?	やったわね！
What!?	なによ！
Scarlet	スカーレット
You!!	こいつ！！
Pay back!!	お返し！！
Scarlet	スカーレット
That hurts!	いたいわね
Stop it!	やめてよ！
Scarlet	スカーレット
That's enough!	いいかげんにしなさい！
Same to you!!	そっちこそ！！
[OK]…Slap	○ボタン　和手うち
Quit slapping me! You old $*&^%!!! (Push [OK]!)	さっきからパンパンいたいのよ！この年増女！！！！（○ボタンを押せ！）
Scarlet	スカーレット
Take her away.	さ、連れていきなさい
Scarlet	スカーレット
God! I can't stand it!	キ～～～ッ！くやしい！
Scarlet	スカーレット
Why are you still standing there!? Catch her and take her away!	何をぼやぼやしているの？！つかまえて連れていきなさい！
Scarlet	スカーレット
Now it's time to pay up. Calm down or I'll drop you!	さあ、ねんぐのおさめどきよていこうすると本当に落とすからね
Scarlet	スカーレット
Kya, ha, ha, ha !	キャハハハハハハ！
Run…	はしれ……
Run to the end of the Cannon!!	砲の先に向かって走れ！！
Highwind	ハイウインド
You okay?	だいじょうぶか？
My cheeks hurt a bit.	ちょっとホッペタ痛いけどね
Forget it, what's all this about?	それより、これ、どういうこと？
Well, I'll catch the details later.	まぁ、くわしい話はあとで適当に聞いといてくださいな
In any case, the airship, Highwind, is now yours.	とにかく飛空艇ハイウインドはみなさんのモンですわ
Ha! Ha…urk!	ハァハァ……ウップ
Well…I'm glad you're safe.	ハァ……無事で良かったね
I'm going to stay up here a little longer.	アタシ……もすこし、ここにいるから
…Urk…I get sick on ships either in the air or water.	……ウップ……海でも空でも船はダメなんだよ、アタシ--
I wonder where you're taking me?	どこへ連れていってくれるのかな？
fship_4	ハイウインド
Highwind	てめえ、飛空艇が使えるんなら最初っから言えよな！
Dammit! Why didn't ya tell me you could fly an airship!?	オレはよ……TIFAともサヨナラかと思ったぜ
I thought… TIFA was gone for good.	すんませんな～でも、敵をあざむくにはなんとやら、ですわ
Sorry, but I had to do something to trick the enemy.	さ！　みなさん待ってますから！
Come on! Everyone is waiting!	みんな！？みんないるのね！
Everyone? Everyone's here?	おい！　CID！
Yo, CID!	準備ができしだい【コレル魔晄炉】へ出発だ！急げよ、リーダーさん！
When you're ready, we're headin' for the Corel Reactor. C'mon Leader-man, let's hurry.	CID……パシリ？
CID????	……ウップ…………負けないぞォ
…Urk… …I'm not down yet.	ハイウインド
Highwind	す、すいません！一度CID艇長とお話を！
Sorry!! Go speak to Captain CID!	TIFAさんごくろうさまです！
TIFA, thank you for a job well done!	CIDさんごくろうさまです！
CID, thank you for a job well done!	ごくろうさまです！手をはなせないので、このまま失礼します！
My hands are full, so I'll excuse myself here!	飛空艇操作
Fly Airship	雑談でも
Chew the fat	【決定ボタン】　　　前へ進む
[ASSIST] to move ahead	【キャンセルボタン】着陸
[CANCEL] to land	【メニューボタン】　ブリッジを呼ぶ
[MENU] to call the bridge	【方向キー　上】　　高度を下げる
[Directional button:up] lower altitude	【方向キー　下】　　高度を上げる
[Directional button:down]  raise altitude	【方向キー　左】　　左へ！
[Directional button:left]  move left	【方向キー　右】　　右へ！
[Directional button:right]  move right	【Ｌ１ボタン】　　　左へ！
[PAGEUP] arc Left	【Ｒ１ボタン】　　　右へ！
[PAGEDOWN] arc Right	【ＳＥＬＥＣＴ】　　地図ＯＮ／ＯＦＦ
[ASSIST] toggle map	【ＳＴＡＲＴ】　　　地図ＯＮ／ＯＦＦ
[START]  toggle map	だいたいこんなカンジになってますね。ビャーッと飛びたい時はブリッジのパイロットに話しかけて下さい
So things have come to this… When you want to take off, just tell the pilot on the bridge.	…………えっとえっと、えっと、何話そうかな
…Well… Um, what should I talk about?	あ、ボクたちの反乱の話をさせてください
Wanna hear why we rebelled?	聞かせて
Listen	聞きたくない
Don't care	ボクたちハイウインドのクルーは毎日毎日ハイデッカーにコキ使われていました
Working on the Highwind, we spent every day slaving under Heidegger.	あの人、社長にしかられるとすぐにクルーにやつあたりするんです
Whenever he got yelled at by the President, he'd immediately take it out on the crew.	ボクたちは、ず～っとガマンしてました。なぐられてもなぐられても
We put up with this all the time, even when he beat us.	あこがれのハイウインドのクルーになれたのにそんなことでやめるのは悔しいですからね
I mean, I finally made it on the crew of the famous Highwind, and there's no way I was going to quit over him.	そんなある日……たしか、７日前でしたよね。北の大空洞行きの任務の時です
Let's see, it must've been a week ago…it was my shift and we were heading towards the North Cave.	社長やスカーレット部長といっしょにみなさんが乗りこんできたわけです
Everyone, including the President and Scarlet, got on.	その中に伝説のパイロットCIDさんの姿が！
And with them, I saw CID, a legendary pilot!	CIDさんはなつかしそうに船内を見てまわってまして……
And he was looking around the inside of the ship looking really, y'know, nostalgic…	なんとボクたちにも声をかけて下さったんです
He even talked to us.	感激！　感激！　感激です。ウワサどおりの熱いハートの人でした
I couldn't believe it! I was so impressed! He was every bit as warm-hearted as we'd always heard.	CIDさんはハイウインドがあれば旅が楽になるとおっしゃりました
CID said that if he had the Highwind, things would be a lot easier.	なんと、星を救う旅だそうですね。ホント、感動しちゃいましたよ
And now here we are off to save the Planet. It's true. He really overwhelmed me.	それで、ボクたちは協力することにしたんです
And that's why we decided to help.	大空洞からジュノンに着いたときボクは火事だ火事だと騒ぎました
After the North Cave, we went to Junon, and I started screaming 'Fire! Fire!'	そのどさくさにまぎれてCIDさんとボクたちは船を神羅から盗んだんです
In the middle of all the commotion, we stole this ship from the Shinra.	これがボクたちの反乱の話です。……上司へのささやかな反乱ですけどね
That's how it happened. Just a minor mutiny against our leaders.	でも、BARRETさん、TIFAさんがハイデッカーにつかまってしまって……
But BARRET and you were captured by Heidegger…	７日間、救出のチャンスをうかがってついに実行に移しました
We waited seven days for a chance to rescue you guys before we finally could.	ですから、TIFAさん……作戦成功、お会いできてうれしいです！
So thanks to our successful mission, we were able to see you again.	長い話、聞いて下さってありがとうございました！
I hope I didn't bore you too much with that long story.	あれっ？　CIDさんってば忘れちゃったんですか？あ、ボクが覚えてるかどうかテストしたんですね！
