Old man's house	オヤジ小屋
…zzzz…zzzz…	ぐー、ぐー
What're you groping around for?	なに、勝手にさわってんじゃ！
…	……………
…zzzzz…zzz…	ぐー、ぐー…
Who're you?	なんじゃ、お前さんは
Hmph. I guess it was fate that I woke up and met you here!	ふん、じゃがワシが起きたとき会ったのもなにかの縁じゃわい。ほれ！
Received "Mythril"!!	『ミスリル』を手にいれた！！
Received "Bolt Ring"!!	『雷の指輪』を手にいれた！！
Come on. You already escaped  times. …zzz…zzzzzzz…	けしから～ん回も逃げてんじゃな～いぐー、ぐー
You've already fought  times… …zzzzz…zzzzzzzz…	回も戦っとるのかぁ…ぐー、ぐー
Large Materia needs high level Materia…  …zzzzzz….zzzzzzz…	大っきいマテリアはレベルが高～いマテリアが欲しいのかぁ……ぐー、ぐー
Mystery House	？？？の家
Chocobo Sage's House	チョコボせんにんの家
Wark!	クエっ！
Ho ho. It's unusual for people to come to such an out of the way place…	ほーほっほこんなヘンピな所に人が来たのは……
I can't remember how long it's been since my last guest.	何年ぶりじゃろうなおぼえておらんわぁ
Who are you?	あんたは何者だ？
Who are you?	あなたは、だれ？
Who are you?	おまえ、何もんだ？
Me? I'm…	わしか？わしは……
I don't know.	誰じゃったかのぉ？
You don't know who you are?	はぁ？あんた自分のことだろ？
Wha? You don't know who you are?	えっ？自分が誰だかわからないの？
Huh? You're sayin' you don't even know who you are?	あ？　おめぇってば　自分のこともわかんねぇのかよ？
Been a while since I gave it any thought…	長いこと考えておらんかったしのぉ……
What was it they used to call me?	なんて、呼ばれておったかのぉ
Oh yeah!! They used to call me the 'Chocobo Sage'. That's right!!	そうじゃ！！人は私を『チョコボせんにん』と呼んでおった！！
Right, that was it, The Chocobo Sage!!	そうじゃ、そうじゃ『チョコボせんにん』じゃ！
(No one would forget that)	（忘れるなよ、そんなこと）
(Who would forget that?)	（普通、忘れないわよね……）
(The hell's wrong with this guy?)	（なに、考えてんだコイツ）
Chocobo Sage	チョコボせんにん
Now what can I do for you?	さて、この私になんのようかのぉ？
Sell me something?	なんか売って
What about that Chocobo?	あのチョコボは？
Nothing	なんでもない
Sell me something?	なんか売って
You remember anything?	何か思い出した？
Nothing	なんでもない
Chocobo Sage	チョコボせんにん
That Chocobo? Well that one is…	おお、あのチョコボか？あのチョコボは……
Chocobo Sage	チョコボせんにん
Let's see now, I don't quite remember…	なんじゃったかのぉ思い出せんのぉ…
Chocobo Sage	チョコボせんにん
I remember now! That's the one they call…	おお、思い出したぞ！あのチョコボはのぉ
It's a Mountain Chocobo. And like the name says, he can cross any mountain.	『山チョコボ』じゃ。名の通り、山も越えられるチョコボじゃて
There is another one that can cross rivers, too. They call him a 'River Chocobo'.	他にも川を越えられる『川チョコボ』とかもおったのぉ
Where can we catch one?	どこで捕まえる？
Where can we find one?	どこで捕まえられるの？
Where can I get one of those Whatdyacallem Chocobos?	どこにいるんだその何とかチョコボってのは？
Chocobo Sage	チョコボせんにん
There aren't any around now.	いやいや、今はおらんよ
… That's one right there, isn't it?	………いるだろ、そこに
What about that one right there?	ちょっといるじゃない、そこに
What're you flappin' about? There's one right there!	ふかしこいてんじゃねぇよいるじゃねぇか、そこに
Chocobo Sage	チョコボせんにん
Wha? I wonder what he's doing there?	はて？なんでいるんじゃろうのぉ
Chocobo Sage	チョコボせんにん
Can't remember for the life of me…	思い出せんのぉ…
Chocobo Sage	チョコボせんにん
Oh, oh yeah! That Chocobo…	おお、思い出したぞ！あのチョコボはのぉ
…was bred from a Great Chocobo' and a Good Chocobo'.	生まれたんじゃ。『すごくいいチョコボ』か『いい感じのチョコボ』にのぉ
If you give them "Carob Nuts" during breeding, there's a chance you'll get one of these Chocobos.	『カラブの実』を使ってタマゴを生ませると生まれる時があるんじゃ
So where's this Chocobo?	それで、そのチョコボはどこにいるんだ？
So where can I get some of these 'Carob Nuts'?	それと、その『カラブの実』はどこで手に入る？
So where can I find those Chocobos?	それで、そのチョコボはどこに行けば捕まえられるの？
…And what about those 'Carob Nuts'?	それと、その『カラブの実』ってどこに行けば手にはいるの？
So where is this Chocobo?	で、そのチョコボはどこにいるんだよ
And what about those nut things?	それと、その実ってのはどこにあるんだ？
Chocobo Sage	チョコボせんにん
Huh? Where? Where was that?	はぁ？　どこで？どこじゃったかのぉ
And what was that nut?	それに、実ってなんじゃったかのぉ？
Chocobo Sage	チョコボせんにん
Oh, OK. I remember! That Chocobo…	おお、思い出したぞ！あのチョコボはのぉ
…Is on an island southeast of here, In a place called Mideel surrounded by greenery.	こっから、ずぅっ～と南東にある島か。緑にかこまれたコレルじゃったかのぉ
You should be able to catch one just west of Mideel. And some Carob Nuts', too.	そこと、コレルから西の方で捕まえられるんじゃ。それと『カラブの実』はのぉ
There used to be some monsters just south of here that had them. Or you might…	こっから南におるモンスターがよくもっとるぞ。さらにじゃなぁ
… Funny…I forgot What I was saying just now.	……………。おかしいのぉ何、言おうとしたのかのぉ
Chocobo Sage	チョコボせんにん
Oh right!	おお、思い出したぞ！
It was about the Mountain Chocobo and the River Chocobo I told you about.	こないだ教えた『山チョコボ』と『川チョコボ』じゃがなぁ
When you mate these two together…	この２つのチョコボになぁ タマゴを生ませると
…You get one that can cross rivers AND mountains.	山も川も越えられるチョコボになるんじゃ
And… And…uh, what was I saying?	さらにじゃなぁ…さらに……なんじゃろうのぉ
Chocobo Sage	チョコボせんにん
Oh, yeah! And also…	おお、思い出したぞ！さらにじゃなぁ
There's one that can cross oceans, too!	海もわたれるチョコボもおるんじゃ
You probably don't remember but…	また、忘れてるとは思うが……
How can I get one of those Chocobos?	そのチョコボはどうやって手に入れるんだ？
You probably forgot already but…	どうせまた忘れてると思うけど……
How can I get one of those Chocobos?	その、チョコボはどうすれば、手に入るの？
Great! I know you probably already forgot but,	ケッ！　どうせまた忘れてるんだろうけどよ
Where can I get one of those Chocobos?	その、チョコボはどこに行きゃあ手に入れられるんでぇ
Chocobo Sage	チョコボせんにん
Hey, don't talk like that! To get an Ocean-crossing Chocobo, you just…	バカにするでないぞ！海を渡れるチョコボはのぉ
Chocobo Sage	チョコボせんにん
Let's see now… …Nope. Don't remember a thing.	なんじゃったかのぉ…ぜんぜん思い出せんのぉ
Chocobo Sage	チョコボせんにん
Oh, I remember! The Ocean-crossing Chocobo is…	おお、思い出したぞ！海を渡れるチョコボはのぉ
The Mountain-and-River-crossing Chocobo is…uh… Oh, what was I saying?	山と川を渡れるチョコボにのぉ………………。なんじゃったかのぉ
Chocobo Sage	チョコボせんにん
Right, right! I remember! You take the Mountain-and-River-crossing Chocobo…	おお、思い出したぞ！山と川を渡れるチョコボにのぉ
Mate it with a 'Wonderful Chocobo' you can catch right around here… And you'll get…	このスグそばで取れるそれはいいチョコボとタマゴを生ませるとのぉ
A chocobo that can cross the ocean will be born. Oh, but for that to happen...	海を渡れるチョコボが生まれるんじゃ。おおっ、それにのぉ
You’ll need a certain type of nut. Just what type was it again...	『実』が必要じゃはて、なんの『実』じゃったかのぉ
Chocobo Sage	チョコボせんにん
Oh, right! You'll need a…	おお、思い出したぞ！その実はのぉ
'Zeio Nut'. Now let me see, as I remember, the Zeio Nut…	『ゼイオの実』じゃ『ゼイオの実』はのぉたしか……
Where was it you could find those things?	どこで手に入ったかのぉ
Chocobo Sage	チョコボせんにん
Oh yeah! Zeio Nuts…	おお、思い出したぞ！ 『ゼイオの実』はのぉ
Are the favorite of goblins. There's a small island east of here where the goblins have a bunch of them.	ゴブリンの好物じゃ。ここから東の小島におるゴブリンがもっておるわ
Chocobo Sage	チョコボせんにん
I think…	もう、たぶん
…that's all I'm gonna remember.	教えられることはないと思うのぉ
Chocobo Sage	チョコボせんにん
Oh!	おお！
That's it…	なんにもないのぉ…
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Enemy Skill" Materia!	『てきのわざ』のマテリアを手にいれた！
Materia Cave	マテリアの洞窟
Over the course of many years, Mako energy will crystallize into Materia…	長い年月を経て魔晄エネルギーがマテリアの結晶になっている……
Received "Mime" Materia!	『ものまね』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
Over the course of many years, Mako energy crystallizes into Materia…	長い年月を経て魔晄エネルギーがマテリアの結晶になっている……
Received "HP<->MP"!	『ＨＰＭＰいれかえ』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
Over the course of many years, Mako energy crystallizes into Materia…	長い年月を経て魔晄エネルギーがマテリアの結晶になっている……
Received "Quadra Magic" Materia!	『まほうみだれうち』のマテリアを手にいれた！
You cannot take on more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
Over the course of many years, Mako energy crystallizes into Materia…	長い年月を経て魔晄エネルギーがマテリアの結晶になっている……
Received "Knights of the Round" Materia!	『ナイツオブラウンド』のマテリアを手にいれた！
You cannot take on more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Not even a Chocobo could make it across. Isn't there a more powerful vehicle?	ここはチョコボでも渡れないか…もっとパワーのある乗り物なら…？
How to ride a Chocobo	チョコボの移動
Buggy's can cross shallow rivers and deserts	バギーは、【川のあさい部分】や【サバク】を移動することができます。
You can even enter costa del sol and Junon by Buggy by hitching a ride on the cargo ship	コスタ・デル・ソルやジュノンにはバギーに乗ったまま入ることができ、【運搬船】で運ぶことができます。
How to fly the tiny bronco.	タイニー・ブロンコの移動
press the [Circle] button to get on	【決定ボタン】乗る
press the [Cancel] button to get off	【キャンセルボタン】降りる
Tiny bronco can cross shallow waters and rivers	タイニー・ブロンコは、あさせを移動できます。
players can get on and off at the beach	[NOT FOUND]
How to drive the submarine	潜水艦の移動
Press the [Circle] button to get on or move forward	【決定ボタン】乗る・前進
press the [Cancel] button to get off	【キャンセルボタン】降りる・潜行＆浮上
Players can get on and off at bays like this one	このような入りえでプレイヤーの乗り降りができます。
What the?	な、なんだ！？
What're you tryin to do? Break the Highwind? Let's fight on the ground	お、おい！ハイウインドを壊す気か？地上で迎え撃とうぜ！！
What energy! Damn you think I'm just gonna give up?	ちくしょう、なんてエネルギーだ！クソツ！あきらめてたまるかってんだ！
What the hell was that! That came Buzzin past here like a powerhorse	な、なんだ今のは！？スゲエ勢いではしかれたぜ！
