Dolphin Shores	イルカの海辺
Old man…	ジジイ……
Yo!! Junon airport?	おう！！ジュノンエアポートだろ！
Just in time!	助かったね！
Come on! Let's go to the airport!	さ！エアポートにいきましょ！
Ugh. It's salty! Let's go to the airport!	しょっぱいよう！エアポートにいこうよ！
God!! I'm drenched!	クソッ！ずぶぬれだぃ！
Hurry up! Let's get to the airport!	いそげぃ！エアポートだっ！
Phew… The air up here's great!	ふぅっ～！！地上の空気はおいしいよ！
Hey! Let's go to the airport!	ほらっ！エアポートにいこう！
Let's go to the airport!	エアポートにいきましょか！
Looks like we made it. You'll probably head for the airport, right?	たすかったようだな。エアポートへむかうのだろ
Hmm…Junon.	ジュノンか……
I'd love to get my hands on a submarine right now.	なんとか、潜水監も手に入れておきたいところだな
Yeah! I could go for that! Let's go to the submarine dock under Junon!	おう！！　おもしれえ！ジュノン地下の【潜水監ドック】にもよってくか！
There should only be a few guards now.	いまなら警備もうすいわ
It might be safe to go to the submarine dock under Junon.	ジュノン地下の【潜水監ドック】によってくのもいいかもね
I would like to ride it! Let's get one from the submarine dock beneath Junon!	オイラ、のりたいな！ジュノン地下の【潜水監ドック】！とりにいこうよ！
You want it? Then you got it! They're down at the submarine dock underneath Junon! You gotta get what you want while you can!	ほしいならしかたねぇ！ジュノン地下の【潜水監ドック】！とれるときにとっとけ！
…Yeah!!	ええっ～！！ジュノン地下の【潜水監ドック】！ぬすむのはいいけどさ！
The submarine dock underneath Junon!  I can steal a sub easy enough, but I can't pilot it!	乗るのはえんりょしとくよ
Security's pretty light now! The submarine's at the submarine dock!	潜水監はジュノン地下の【潜水監ドック】にありますんや！
It should be alright.	悪くなかろう
Let's go…	いくか……
I sure was scared when Weapon attacked. It gives me the creeps knowing there's still two of them left.	ウェポンの襲撃にはビビッタよな。あんなヤツがまだあと２匹いるかと思うとゾッとするよ
Oh yeah? Well, I'm ready to fight mankind's worst enemy like a real warrior. It's not everyday you get to fight in an inter-planetary war.	そうかい？俺は人類最大の敵を目の前にして武者ぶるいしている。惑星規模の闘いなんてめったに経験できないぜ
The President is gathering up all the Huge Materia on the planet. He wants to shoot it at Meteor in the rocket.	社長はこの星に存在するヒュージマテリアを全てあつめ、ロケットでメテオにぶつけるつもりだ。たいした社長だよ
President Rufus is different from the older generation. He'll protect the planet with all of Shinra's state of the art technology.	ルーファウス社長は先代と違う。神羅の持つ科学力を総動員してこの星を守っている
Protect it? No, I don't think so. The President isn't the type to do anything so heroic. It's all just a game to him a question of winning or losing.	守る？いや、違うな。そんなきれいな使命感は社長にはない。社長にとってはただの勝ち負けの間題。ゲームと同じさ……
They've finally started collecting the Huge Materia from the Junon Underwater Reactor.	とうとう、ここジュノン【海底魔晄炉】のヒュージマテリアも回収作業に入ったか
After they get it, they'll take it to the airport and will transport it to Rocket Town by Gelnika. Don't let your guard down!	回収後、このエアポートにヒュージマテリアが集められ、ゲルニカでロケット村へ送られるてはずになってる。気をぬくな！
Whew…I hope everything goes all right until we get to Rocket Town. Then, our mission is nearly complete.	ふう……無事に【ロケット村】まで到着してくれよ。これでミッションもひと段落だな
Not so fast. We still have one major task… we still have to transport the stuff…	まだまだ。もうひとつ大仕事が残ってるぜ。アレを運ぶミッションがな……
The stuff…	アレか……
Oh no! The Huge Materia…	しまった！ヒュージマテリアを……
Oh no! The Huge Materia…	しまった！ヒュージマテリアを……
Let's go after it!	追いかけるぞ！
Can't we go after it?	後を追えないの？
Can we get there before they do?	あれの目的地に先回りできるかな？
Grrrrgh! Just barely! We're goin' after it!	ぐぅわぁぁ！タッチのさだ！おいかけるぞ！
Let's go after it.	追いかけよう
How 'bout us getting there beforehand and stealing it back?	先回りして奪い返しませんか？
Let's get there before they do and catch 'em!	先回りしてとっつかまえちゃおうよ！
But where to?	でもいったいどこに？
Where are they headed?	どこへ向かったのかな？
Where's their destination?	行き先はどこかな？
Where's that thing headed?	あれの行き先は……
Where is their destination…?	あれは……どこへ向かっている？
Where is it flying to?	どこ飛んでくんやろ？
Hey, where? Where? Where are they headed?	ね、どこどこ？　行き先は？
Rocket Town, of course.	決まってるさ。ロケット村だ
I may be mistaken, but… doesn't it feel like we're missing something?	気のせいかもしれないけど……何かものたりなくないか？
All I wanted was to become a pilot! I used to be speechless watching the Highwind in the sunset!	オレ、むかしはパイロット志望でさ！ゆうやみに浮かぶハイウィンド！いつ見てもしびれちゃうやね！
Finished loading the Huge Materia! All we have to do now is to ready the cargo ship, Gelnika', for departure and we're done!	ヒュージマテリアの積みこみは完了！後はエアポートでゆそうきのゲルニカの離陸を見送れば、任務は終わりさ
It's kinda lonely at the airport without the Highwind, isn't it?	ハイウインドなしのエアポートはさびしいもんやね！
I miss that bikini girl on the side of the plane.	オレ、あの機体の水着の女の子のファンだったのに
Right now the Shinra's using it to gather the Huge Materia from the Corel Reactor and from the Fort Condor Reactor.	今、神羅軍は【コレル魔晄炉】と【コンドルフォート魔晄炉】のヒュージマテリア回収ミッションにかりだされてんだ
The Gelnika's flying all over the place! The only one that's not busy, is probably me!	ゲルニカもいそがしく飛び回ってるよ！ひまなのは、オレひとりぐらいさ！
The Shinra's collecting Huge Materia at the Junon Underwater Reactor! When they're done, they'll bring it to this airport.	今、神羅軍は、ここ、ジュノン海底魔晄炉のヒュージマテリア回収ミッション中でさ！無事回収したらこの空港に運びこまれるんだ
Get out of here before you get in the way!	じゃまにならないうちにはやく立ちさりなよ！
What…me? I'm gonna be watching from here, so that I don't get in their way either!	えっ……オレ？オレもじゃまにならないようにここで見物ですよ！
I'm glad we got Gelnika to Rocket Town safely.	無事ロケット村までゲルニカを送り出してほっと一安心
But they sure think big. Looks like they're going to use the Huge Materia to break up Meteor…	でも、スケールのでかいこと考えるよな～。ヒュージマテリアの破壊力を利用してメテオを壊そうだなんて……
The Shinra Army's gathered at Midgar. Now it's just a matter of time Sephiroth's dead.	神羅軍の軍事力はすべてミッドガルに集中した。もはやセフィロスでさえも死ぬのは時間の間題…
What…me? I don't mind. I'll just wait here. My life is important to me.	えっ……オレ？オレはいいよぅ。ここで待機してますよ、命おしいですからねえ
I finally got orders to join the Great Sephiroth Plan. I even get to go on the Gelnika too…	ついにオレにもセフィロス大作戦への参加命令がくだっちまいましたよ。あこがれのゲルニカにも乗れるんだけど……
But, I'm just gonna ignore them. I wanna live to see the end of the world.	けどね、てっていして無視してやりますよ。オレはしぶとく生き抜いて世界の最後をみとどけてやります
If I'm lucky… There'll be a good place for me in the New World.	もし運がよけりゃね……新しい世界がオレを必要としてくれるかもしれないしね
Doesn't it bother you? Flying around knowing that you could die at any moment?	いやじゃないですか？死ぬかもしれないって不安な気持ちで空を飛ぶなんて
If that's the case, might as well live on the edge, I say. But before I can do that, I gotta get a license first.	どうせならスカーッと生きてるよろこびに興奮しながらね。でも、その前に運転めんきょですけど
Junon Path	海底魔晄炉への通路
Only authorized personnel are allowed past this point!	この先は、関係者以外立入禁止！
You know too, right? About Junon Navy's important classified information.	あんたも知ってるだろう？ジュノン海軍の重要機密
A new submarine has almost been completed using Shinra's top technology.	神羅技術のすいを集めた新型潜水監がもうじき完成するんだ
A new version of submarine. I'll be sailing on it. Man, I can't wait!	新型の潜水監。俺も乗船することになってんだ。うっ～、まちどおしいぜ！
Man… Keeping watch is so boring at the Underwater Reactor.	ふぁぁぁぁ……海底魔晄炉の見張りはたいくつだよ
OK! Back to work!! Back to work!!	さぁっ！　お仕事っ！！お仕事っ！！
Yawn…I'm sleepy!!	ふぅぁ～……ねぶそく！！
For Junon!!	ジュノン万歳～！！
Damn, Shinra dogs!!	神羅のイヌめ！！
We'll take that submarine!! Out of our way!!	潜水監は俺たちがいただく！！そこをどけ！！
This is the Junon Submarine Dock!	こちら、【ジュノン潜水監ドック】になっとります！
If you want to enter, please talk to my dog.	はいりたければぼくらのワン公（ガードハウンドちゃん）に話しかけてください
That's all the instructions you're going to get! Let's go!!	道案内は終わりだ！いくぞ！！
Junon Path	ジュノン・通路
What is it? The elevator's out of order for an inspection.	なんだい？いま、定期点検中なんでエレベーターは動かせないよ
You know, right under us is a Submarine Dock and the Underwater Mako Reactor.	ちなみに……この下には潜水監ドッグと海底魔晄炉があるんだけどね
Mako energy puts a lot of wear and tear on the machinery.	魔晄エネルギーは機械のしょうもうがはげしいからね
A lot of problems can pop up. So it's necessary for close inspections and maintenance.	あちこちガタがくるのがはやいんだ。まめな点検と整備がかかせないのさ
Hey!! Civilian!! Stay out of our training!!	こりゃ！！　一般人！！くんれんのじゃまをすな～！！
Go around them! And stay out of their way!!	はしっこをちいさくなって進め～！！
All right!! Let's see how hard you trained!	うっし！！くんれんの成果をみせちゃれ！
Attention! Charge!!	全員、とっつげき～！！
He…hey!! That's the Underwater Reactor!! Come back!!	こ、こりゃ～！！そっちは、海底魔晄炉！！逃げんな～！！
Our forces are in the process of gathering the Huge Materia from the Corel and the Fort Condor Reactors!	我が友軍は～　現在【コレル魔晄炉】と～【コンドルフォート魔晄炉】の～ヒュージマテリア回収大作戦を実行中だ！
Once these two missions are completed, the Underwater Reactor will be our next target!	その２つのミッションが終われば次はここの地下の海底魔晄炉が大作戦の対象にな～る
Till then, we do nothing but train, train, train!	それまでは、いっしょうけんめいくんれん、くんれん、くんれんだ！
Elevator	エレベーター
…gulp… Going do---wn.	ドキドキ……したへまいりま～す
This floor is the Submarine Dock…	こちらには潜水監ドックがございま～す
Those of you visiting the Underwater Reactor, please proceed through the connecting tunnel.	海底魔晄炉へおこしのお客様はここから先、連絡通路をお通りください
…gulp… Going u---p.	ドキドキ……うえでございま～す
Returning to Junon.	ジュノンの街にもどりま～す
…gulp…  We're here…	ドキドキ……あの……つきましたでございま～す
…gulp… (Great…there went two perfectly good men!)	ドキドキ……（キッ～～！　よくも……わたしのファンを減らしたわね！）
How 'bout, whoever stays alive, gets to take her out?	生き残ったほうが彼女とデートできるってのはどうだ？
All right, you're on!!	よし、のった！！
But… What if both of us…	でもよ……二人ともやられた場合は…
Whoa!! Don't even talk about that!	おっと！！そりゃいいっこなしってやつだ！
Junon Path	海底魔晄炉への通路
Junon Path	海底魔晄炉への通路
Elevator	エレベーター
Locked	ロックされている
You, you're CLOUD!!	き、きさまはCLOUD！！
You are NOT getting this Huge Materia!!	ヒュージマテリアは渡さん！
So you WERE after the Huge Materia!	やはりヒュージマテリアをねらって来たか！
!? The Huge Materia!	！？ヒュージマテリアが！
Hey! A Crane Game!	あ～！ゲーセン・キャッチャー！
Damn, just missed it!	ひとあし遅かったか！
They're gonna take it on that submarine!	さっきの潜水監で運ぶつもりよ！
That's what you think! ^%$@#&$#!	そうはトンヤがおろすかってんだ！このヤロウ！
We were too late…	出遅れたな……
There's the submarine dock just ahead.	ちょっと先に潜水監のドックがあるんですわ
If we take a short cut, we might just make it!	先回りすれば間に合うかも……！
Did we make it!?	間に合ったか！？
Reno	レノ
What are you doing? Help load.	何してる、と。お前も積みこみを……
Reno	レノ
CLOUD!?	CLOUD！？-
We're gonna help transport the Huge Materia…Reno!	ヒュージマテリアの運搬なら、オレたちがやらせてもらうぜ。レノさんよ
Help?	手伝えって？
I refuse…	断わる……
You know I don't work cheap!	オレ様のギャラはち～とばかり高いぜ
Looks like we barely made it.	ギリギリ間に合ったってとこね
I'm SURE! You want me to do manual labor?	アタシ、肉体労働なんかや～だ～
Either give it to us or else.	俺たちに渡すか、ルーファウスに届けるか……
…which is it gonna be?	どうする？
Reno	レノ
Unfortunately, I don't have time to deal with you.	あいにく、きさまらと遊んでいるヒマはない、と
Reno	レノ
My priority is the Huge Materia!	今はヒュージマテリアが最優先だ、と！
Damn! The submarine!	し、しまった！　潜水監が！
Oh no! It left the dock…	あぁ～あ行ってしもた～……
Damn! So they was just buyin' time!?	チッ！時間かせぎだったのか！？
Huge Materia…! Wait…!	ヒュージマテリア～！
We have to go after it!	は、早く追わないと！
But it's already in the water!	でも、相手はもう海の中だよ
There is a way…	手段は……なくもないな……
Hold on to your horses! Let's take it from 'em!!	あわてなさんなって！あいつを、ちょうだいしちまおうぜ！
Y, you!	お、おのれ……！
You're not taking over this ship!	監はわたさんぞ！
Hey, hey, hey! Where do you think you're goin'?	おいおいおい！どこ行こ～ってんだよ！
Wait a sec! What about the Huge Materia---?	ちょ～っと～！ヒュージマテリアはど～すんのよ～！
Hey you! Where ya goin'?	ちょっと、あんた！どこいくんや！？
CLOUD--! We have to go after Rude!	CLOUDー！ルードを追わなくちゃ！
