Oh, here!!	お！　あったあった
Put this on.	これに着替えろよ
It smells a little, but don't complain.	ちょっとにおうけど　ま、ぜいたくは言うな
You look pretty good with that.	けっこう似合ってるぞ
Yo! Old guy! We at Midgar yet?	おい！　おっさん！　ミッドガルはまだか？
Shaddap! You're lucky I even gave you a ride!	うるさい！乗せてやっただけでもありがたく思え！
Hah!	チッ…
What're you gonna do once we get to Midgar?	なあ、ミッドガルに着いたらおまえ、どうする？
I know what I'm gonna do.	俺はあちこちにあてがあるんだ
I got a place I can crash for a while…	みんなの世話んなって……
No wait, the mother lives there too.	あ、どの女の子も親といっしょに住んでるのか……
Guess that's out.	そりゃマズいよな～あ？
Yep…gotta change my plans!	ダメだ…作戦チェンジ！
Hmm…	う～ん……New
No matter what I do, I need some money first…	何をどうするにしてもとりあえず金だよな……
…Hey, wanna start a business? Now what could we do?	……商売でもはじめるか
Hey, CLOUD.	な、Cloud。
Think there's anything I'd be good at?	俺にできる商売ってあると思うか？
Hey old guy!	なあ、おっさん！
What do you think I'd be good at?	なんか俺にできるような商売知らないか？
What're you yappin' about? You're still young ain't ya?	なに言ってんだ。若いんだろ？
Young folks should try everything!	何でもやってみろ！若いうちは何でもやってみるもんだ
You gotta pay your dues while you're young. Go out and look for what you really want.	若いうちにいろいろ苦労してなぁ。自分の道ってやつを探すのよ
Yeah, whatever…	……なんでもやってみろ？
Find my own way?	……自分の道だぁ？
Try everything… That's easy for him to say.	なんでも、だってよ。そんなこと言われたってな…
Of course!	そうだよな！New
I got more brains and skill than most other guys!	俺は他のやつらが持ってない知識や技術をたくさん持ってるんだよな！
That settles it!	俺、決めたぞ！
I'm gonna become a mercenary!	俺は『なんでも屋』を
Hey…didn't you even hear a word I said?	あんた…オレの話、ちゃんと聞いてたのか？
Yeah! Thanks Pops!	おう！ありがとよ、おっさん！
No, wait…you got it all wrong.	だから…そうじゃなくて
Listen, I'm gonna become a mercenary and that's that.	おい、俺はなんでも屋になるぜ
Boring stuff, dangerous stuff, anything for money.	面倒なこと、危険なこと報酬しだいでなんでもやるんだ
I'm gonna be rich!	こりゃ、もうかるぞ～
So, CLOUD? What are YOU gonna do?	な、Cloud。おまえはどうする？
U…uhhh…	う…ぁぁあ…
Just kidding… I won't leave you hanging like that.	……冗談だよおまえを放り出したりはしないよ
We're friends, right?	……トモダチ、だろ？
Mercenaries. CLOUD. That's what you an' me are gonna be.	はははは……照れるぜ
Mercenaries. CLOUD. That's what you an' me are gonna be.	なんでも屋だ、Cloud。俺たちはなんでも屋をやるんだ
Understand, CLOUD?	わかるか、Cloud？
What do you want to do with him?	こいつ、どうします？
…Ah…ughhhh…	ああ……うあぁぁぁ……
Commander	指揮官
Forget it. Just leave him.	……これはダメだな。放っておけ
uh…uhhh…Za…Zack…	うぅ……あぁああ……ザ……ザッ……クス
