Release insects and frogs by pushing [OK].	一度つかんだ虫やカエルは【決定ボタン】を押すことによって手放すことができます。
Insects and frogs react differently depending on where you release them, so try many different places.	はなした場所によってリアクションが違いますのでいろんな場所でためしてください。
Push [SWITCH] to give up. You will return to the Entrance.	ギブアップする時は□ボタンを押してください。入口までもどされます。
If you learn the special qualities of the animals in the (Old Forest), there'll be nothing to fear. Do you want to hear more?	【古えの森】の生き物はその特性を知れば怖くはないのよ。知りたい？
Yeah, tell me	ああ、教えてくれ
Not now	今は聞く気分じゃない
What do you want to know about?	何の事を知りたい？
About Pitcher Plants	ウツボカズラの事
About Scent Balls	くす玉草の事
About Big Eaters	大喰らいの事
About Inchworms	しゃくとり虫の事
It's a strange plant that hangs down from above. It's mouth is usually open to catch insects.	上からぶら下がっている不思議な植物ね。普段はフタが開いているけどあれは虫を食べるためなのよ
When an insect gets in, it closes its mouth, trapping it. It's lid's stronger than it looks. It's big enough to hold a human. But it's really picky and spits out lots of stuff.	いったん虫を取りこむとフタがしまるの。あのフタ、見た目よりも頑丈なのよ。人が乗れるくらいにね。でも好き嫌いが激しいからはきだす事もあるわ
Be really cautious with this flower. It'll snap at anything. If you're going to go through here… do it the instant it closes its mouth.	この花だけは気をつけてね。なんでもガブって食べちゃうわよ。もしここを通り抜けるとしたら……口を閉じている一瞬だけね
It may not look it…or maybe it does, but this insect is really timid. If you go near it, it'll run away… If you touch it, it'll just turn in to a ball…	みかけによらず……いや、みかけ通りかな？おくびょうなのよ、この虫。近づくと逃げちゃうし……さわるとかたまっちゃうし……
