Highwind‚on deck	ハイウインド・甲板
Northern Cave Crater	大空洞火口
Inside Northern Cave	大空洞内部
Received "Mystile"!	『ミスティール』を手にいれた！
Received "Tetra Elemental"!	『テトラエレメンタル』を手にいれた！
Received "Save Crystal"!	『セーブクリスタル』を手にいれた！
Jump down	飛び降りる
Jump across	飛びうつる
Climb up	よじ登る
Go down	下におりる
Push [OK] to jump down.	【決定ボタン】で飛び降ります
Push [OK] to climb up.	【決定ボタン】でよじ登ります
Welcome! Everyone's waiting for you.	おつれさまです！皆さんが、中でお待ちです
Looks like we can only slide down.	すべり降りるしかなさそうだな
Alright, let's go!	よし、行くぞ！
Let's get ready first	準備をしてからにしよう
Looks like we can get back to the Highwind.	ハイウインドへ戻れそうだな
Let's go back to the Highwind	ハイウインドへ戻ろう
Let's get off again	もう一度降りてみよう
Received "Shield" Materia!	『シールド』のマテリアを手にいれた！
Received "Counter" Materia!	『コマンドカウンター』のマテリアを手にいれた！
Received "W-magic" Materia!	『Ｗまほう』のマテリアを手にいれた！
Received "Imperial Guard"!	『インペリアルガード』を手にいれた！
Push [OK] to jump.	【決定ボタン】でジャンプします
The road splits into two. We'll split into two groups.	道が別れているな。ここは二手に別れるか
Another fork in the road…	また、別れ道か……
Well, which way?	さてどっちに行こう……
Left	左
Right	右
CLOUD, which way you goin'?	CLOUDおまえは、どっちを選ぶんだ？
CLOUD, which way should we go?	CLOUDどっちに行く？
Which way are we going, CLOUD?	どっちに行くんだいCLOUD？
CLOUD, which way are you goin'?	CLOUD、あんたはどっち行くの？
What do we do now, CLOUD?	CLOUDさんどないします？
What are you going to do, CLOUD?	どうするんだCLOUD……？
Which you gonna choose, CLOUD?	どっちにすんだいCLOUD？
All right, then I'll go…	そうか。　それじゃ、オレは……
Then, I'm going…	じゃあ、私は……
All right, then I'll go…	よし、オイラは……
I'm going…	アタシはね～……
Then, I'll head…	ほんなら、ボクは……
Then, I will go…	ならば、私は……
All right! I'm headin'…	よっしゃ！　オレ様は……
Well… which way should I go…?	さて……どっちに行こう……
Up	上
Down	下
Which way are we headed, CLOUD?	どっちに行くんだい？CLOUD
What now, CLOUD?	どうするCLOUD……？
Now don't any of you die on me. …	死ぬなよ、みんな。ヤツの……
Gotta get through to Sephiroth!	セフィロスのもとにたどりつくまで……！
This will be the end of it!	これで……これで終わりにするんだ！
Well…looks like this is our last big job!	さーて、BARRETさん最後の大仕事だぜ！
Let's all go back alive, okay?	生きて帰ろうね……絶対に！
All life on this Planet, indeed the very life of this Planet, is in our hands…	この星のあらゆる生命いや、この星すべての命運はオイラたちに、かかってるんだね
Oh man… Materia Hunter YUFFIE' sounds like the last chapter of Materia Forever.'	あ～あ～。『マテリア・ハンター　YUFFIE』最終回『マテリアよ永遠に……』ってカンジ
I'm so happy to have met you all, really! …sniff…	みなさんに、あえてほんまによかったわ……！
It's all over now. With this…	終わるのだな。これで……
I'll destroy that Sephiroth before anyone gets to him!	ひとあしお先に、オレ様がセフィロスのヤロウをぶっちめてやるぜ！
Ain't no way I'm gonna die until I stick this into that guy.	こいつを、ヤツにブチこむまで死んでたまるかよ
After this, we can go home. All of us…	帰れるよね。私たち……
We're not the only ones fighting.	戦っているのはオイラたちだけじゃない
The Planet's fighting too!	この星も戦っているんだ！
If I knew THIS was gonna happen, I'd have bailed out sooner!	こんな事なら、も少し早いトコで抜け出しとくんだったな～
There's nothing to worry about. We're all in this together!	コワいことなんかあらへん。みぃ～んな、おるんやから
Let's go…	行くぞ……
Sephiroth's probably crapping his pants right about now…	ヘッ！今ごろセフィロスのヤロウビビりまくってんじゃねーか？
Wait! Sephiroth…	待っていろ。セフィロス……
We'll leave this to BARRET.	こっちは、BARRETにまかせるか
We'll leave this to CID.	こっちは、CIDにまかせるか
We'll leave this to RED XIII.	こっちは、RED XIIIにまかせるか
We'll leave this to CAIT SITH.	こっちは、CAIT SITHにまかせるか
We'll leave this to VINCENT.	こっちは、VINCENTにまかせるか
We'll leave this to YUFFIE.	こっちは、YUFFIEにまかせるか
We'll leave this to TIFA.	こっちは、TIFAにまかせるか
We'll try to go down from the other side.	向こうがわから降りてみるか
Empty!	からっぽ！
Received "Magic Counter" Materia!	『まほうカウンター』のマテリアを手にいれた！
Received "MegaAll"!	『すべてぜんたいか』を手にいれた！
Hey, were you thinking of leaving me?	ちょっと、私をおいてくつもり？
Yo, we're a bit late?	よう、チト遅れちまったか？
Don't leave us, CLOUD.	おいてかないでよ、CLOUD
I can't let you guys go by yourselves, you'll make me worry.	おまえたちだけじゃ心配で行かせられねぇな
I finally got here, so I'm not leaving…	せっかく、ここまで来たんだから先はこさせないよ
You sure are hasty.	せっかちなヤツだ
You're so cruel, CLOUD.	はくじょうやなぁ、CLOUDさん
Where's TIFA?	TIFAは……？
Where's BARRET?	BARRETは……？
Where's CID?	CIDは……？
Where's RED XIII?	RED XIIIは……？
Where's CAIT SITH?	CAIT SITHは……？
Where's YUFFIE?	YUFFIEは……？
Where's VINCENT?	VINCENTは……？
Where're TIFA and the others?	TIFAたちは……？
Where's BARRET and the others?	BARRETたちは……？
Where's CID and the others?	CIDたちは……？
Where's RED XIII and the others?	RED XIIIたちは……？
Where's CAIT SITH and the others?	CAIT SITHたちは……？
Where's YUFFIE and the others?	YUFFIEたちは……？
Where's VINCENT and the others?	VINCENTたちは……？
Bottom of Northern Cave	大空洞最下部
This is the center of the Planet?	ここが、星の中心……？
Sephiroth is beyond here?'	この先にセフィロスが？
CLOUD, look.	あっ、CLOUD、これ
Received "Hero Drink"!	『えいゆうのくすり』を手にいれた！
This is it.	いよいよね
Here, CLOUD.	ほらよ、CLOUD
Received "Guard Source"!	『ガードアップ』を手にいれた
Alright, this's the last dance!	よし、最後の大暴れだ！
CLOUD, I found this…	CLOUD、オイラこんなもの見つけたんだけど
CLOUD… Seems like you got too much Materia.	CLOUD……マテリアがいっぱいみたいだよ
We finally made it here.	ついにここまで来たね
Hey, CLOUD, I found this on the way.	おう、CLOUD。途中でひろったぜ
Let's just get this over with!	ウダウダしてねぇでさっさと行こうぜ！
Hey, CLOUD, I found this.	ほれ、CLOUDさんこんなん見つけましたわ
Well, shall we get goin'?	ほな、チャッチャッといきましょか
Hold on to this.	とっておけ
Received "Mythril"!	手にいれた！
No, first organize your Materia. You have too much.	『すべてぜんたいか』のマテリアを手にいれた！
Hmm… Being with you all isn't so bad.	いや、そのまえにマテリアを整理しろ。持ちすぎだ
… Wh…what?	フッ……おまえたちにつきあうのも悪くはないな
By the way YUFFIE, didn't you find something?	…………な、なんだよ
Oh yeah, YUFFIE, didn't you find somethin'?	そういえばYUFFIE何か見つけてなかった？
By the way YUFFIE, didn't you find something on the way?	そういえばよ、YUFFIE。おまえ、何か見つけてなかったか？
Yeah, YUFFIE, didn't you pick up something on the way?	そういえば、YUFFIEさあ。途中で何かひろってなかった？
By the way, YUFFIE, didn't you pick up something?	そういや、YUFFIEよ。おめぇ何かひろってなかったか？
YUFFIE, just let CLOUD have it.	そういや、YUFFIEさんなんかひろとったような…
Oh, all right.	YUFFIE、いいからCLOUDにあずけるのだ
Received "Megalixir"!	けど、それアタシが見つけたんだから終わったら返しなよ
Received "Vaccine"!	おっ！？マテリアがいっぱいじゃん！じゃあ、いらないね
Let's get going	ついに、来るとこまで来たって感じ？
(No, not yet…)	そろそろ行こう
All right, everyone, let's mosey.	（まだ、やめておこう…）
Damn! Again!	よし、行こうよ、みんな
Stop sayin' it like a wimp!	カーーッ！　またかよっ！New
Can't you say Move out!' or somethin'?	やめてくれよその気の抜けた言い方New
Move out!!	『行くぜ！！』くらい言えねぇのかよ
What?	行くぜ！！
%#@^! They're comin' out in full force!	すごい数だ……
CLOUD! You go first!	チッ！　みなさん総出でおでむかえかよ！
OK, I'm going alone.	CLOUD！おめぇは先に行け！
Shu'up! It won't do us no good wit' everyone back here!	俺もここで戦う
BARRET's right.	バ～カ！　こんなところで全員グダグダしててもしょーがねぇだろ
You take two of us with you and go first. The rest'll catch up with ya later.	だな、BARRETの言うことももっともだぜNew
Is this like a practice run before the final battle?	CLOUD、おまえさんはあと２人くれぇ連れて先に行ってろ。残ったこっちもスグおいつくからよ！
Yeah, a major practice run…	ま、本番前の準備運動ってところかしら？
I'm fine with that. (It's probably more fun than meeting Sephiroth down there.)	なんやえらい準備運動やなぁ…
Hmm, this might be fun to pass time.	へへ、アタシはへっちゃらだよ。（下でセフィロス相手にするより楽かもしれないし）
They're coming! They're already on the floor next to us!	フッ、ヒマつぶしにはもってこいだな
CLOUD! Hurry up and make up your mind!	来る！もう、となりのフロアまで来てる！
All of you!	CLOUD！はやく決めろ！
Later!	みんな！
Yeah, later.	あとでまた！
Yup! Later!	ああ、あとでな
We'll meet up later.	ヘッ！　あとでな
Inside the Planet	うん、あとでまた会いましょう
Where are we?	星の体内
What's that!?	ここは……？
What?	なんだ！？
What the hell?	なに！？
Wha…what?	なんだ、なんだ！
What? What?	な、なんや！
What's this?	なに！　なに！
Jenova?	これは！？
It's coming!!	ジェノバ…！？
????	来る！！
A light…	ひ……かり……
Is this…	光だ……
Is this light…Holy?	これが……
CID!?	この光が……ホーリー？
BARRET!?	CID！？
Goddammit… So we're all here?	イテテテ……
Oww…damn, man!	なんだコンチクショウ……けっきょく全員集合かよ……
Owwww…	なんだオイ……けっきょくみんなそろっちまったのか……
CLOUD… So are we all together?	アイタタタ……
…And, where the hell's that?	CLOUD……やっぱりいっしょになっちゃったね……
Uuuugh!!	……それで、いったいどこにいやがるんだ？あの……
Sephiroth!!	ウグッ……！！
Ugh! Is this… Sephiroth's power?	……セフィロスッ！！
My…my body… I can't control my body… Uuugh!?	グッ……！これが……本当のセフィロスの力だってのか！？
Sephi…roth! Not yet… I'm not…Uuuuraagh!	か、体が……言うことをききやがらねえ……ウオッ！？
My front legs…my hind legs… my tail's about to rip off!!	セフィ……ロス……！まだだ……まだ俺は……ウァァアア！
This is definitely not good… He's way outta our league…	前足が……後ろ足が……シッポがちぎれそうだ！！
I, I don't know if I can…go on.	アカン……やっぱりケタちがいや……
CLOUD… CLOUD…	ア、アタシもうダメ……かも……
Ugh…ugh…	CLOUD……CLOUD……
…There…	ウ……ウ……
It's…there…	……こに……ある……
CLOUD?	そこに……あるんだ……
Holy Materia is shining… AERIS's prayer is shining!	……ホーリーが……ホーリーがそこにある……
Holy… AERIS…	ホーリーが輝いてる……AERISのいのりが輝いてる……！
It's not over yet… This isn't the end yet!!	ホーリー……AERIS……
Uuuuuaaaaagh!!	まだ終わりじゃない……終わりじゃないんだ！！
Eeeyaaaa!!	ウワアァーッ！！
Let's go, everyone!	キャアアァーッ！！
Just a moment!	いくぞ、みんな……！
AERIS's memories… Our memories…	もう１度だけ……！
We came…to tell you…our memories… Come Planet! Show us your answer!	AERISの想い……俺たちの想い……
And Sephiroth!! To the settling of everything!!	その想い伝えるために……俺たちは……来た……さあ、星よ！　答えを見せろ！
Not only AERIS…	そしてセフィロス！！すべての決着を！！
Holy is the prayer of AVALANCHE… Of Marlene and Dyne… And everyone on the Planet!	AERISだけじゃねえ……
AERIS is here… everyone is here… CLOUD is here with us!	ホーリーはアバランチの……マリンやダインの……この星の人間のいのりだ！
There's still a lot for us to do… I'm not giving up!!	AERISがいる……みんながいる……CLOUDがいてくれる！
I'm going to see it through to the end. For our future… And that of the Planet…	私たちにはまだできることがある……！私、あきらめない！！
I understand now, Grandpa. This is my mission!	オイラはみとどける。みんなのこれから……この星のこれから……
I won't let the Lifestream… or the Planet wither away!!	今ならわかるよ、じっちゃん。それがオイラの使命だ！
Hoo-ok! I can't be foolin' around in this hell hole…	ライフストリームを……星の命を、かれさせはしない！！
I still have lots of stuff to do with my life!	ヘッ……！こんな穴ぐらの底でいつまでもはいつくばってられるかよ……
We noticed a little late the trouble we were getting in…	オレ様はよ……オレ様にはよ！まだまだ、やりてえことがあるんだよ！
But, there's still time… We can still get out of it! Even if we can't get EVERYTHING back to normal!	まちがいにきづくんがちぃ～と遅かったんかもしれん……
We should be able to protect what's most important!!	それでも、まだ……まだやり直せるはずや！ぜんぶ元にはもどせんかもしれんけどな！
Maybe…maybe I shouldn't have come…	いちばんだいじなモンを守ることはできるはずや！！
I don't need…Materia……any…	や……やっぱりくるんじゃなかったかも……
Nope, I still want it!! This an' that an' everything…MINE! And I'm never gonna give any up!!	もう、マテリアなんか……マテリアなんか……
I was frozen in time… But now I feel as though my time is finally beginning!	やっぱり欲しいッ！！アレもコレも、みんなみんなアタシのもの！アンタなんかにやるもんか！！
Sephiroth, now it's your time to sleep for the ages!!	あの時に凍りついた私の時間が、今ふたたび動きはじめる……！
G…ugh…	セフィロス、今度はおまえが時のはざまで眠りにつく番だ！！
…We're not gonna lose!!	ウオオォッ！！
…No way we're gonna lose!!	……負けないっ！！
This ain't nothin'!!	……負けるもんか！！
We're not losin'!!	ケッ、へでもねえぜっ！！
I don't like it!!	負けへんでェ！！
Damn…!	もうイヤ～ッ！！
It's all over…	……終わった……
…everything…	終わったんだ……
Everyone…everything…	……なにもかも……
all finished…	なにも……かも……
Now everything	終わりをつげ……
will begin anew…with me!!	そしてこの私から
This is all we could do.	すべてがはじまる！！
Wait! What about Holy? What's gonna happen to the Planet?	俺たちにできるのはここまでだな
That…I don't know. Isn't the rest up to the Planet?	ちょっと待てよ！ホーリーは！？星はどうなる？
…You're right.	それは……わからない。あとは星が決めることだろ？
We've done all that we could do.	……そうねNew
All right, everyone.	私たち、できることはぜんぶやったものね
We did our best.	さあ、みんな
That's it.	もう、考えてもしようがないNew
Let's go home proud.	不安やなんかはここに置きざりにしてさ
What happened?	胸を張って帰ろう
What…	……感じる……
He is still…here.	えっ……
Still…	あいつは……まだいる
CLOUD!?	まだ……
CLOUD!	わ、笑ってる……
…. I think I'm beginning to understand.	……ライフストリム？
What?	….わかったような気がする
I think I can meet her … there	星からの容え….約束の地….
Yeah, let's go meet her.	そこで….会えると思うんだ
Hey, where is everyone?	うん、会いに行こう
Heeeey!	そうだ、みんなは？
I'm glad you're all safe!	おーーーーい！
They all seem to be safe, too.	良かった！みんな無事みたい
But… now what're we going to do?	どうやら向こうも無事らしいな
Holy should be moving soon,	でもよ、これからどうするんだ？
and that means this place will…	もうじきホーリーが動き出すんだろ？
Oh, Lady Luck don't fail me now…	そうなったら、ここは……
Shit!!	あ～あ、、　運命の女神さんよぉ、、
The flower girl?	何とかなんねェのかよ～
Wait a damn minute!	ちくしょー！！
What's gonna happen to Midgar?	お花のおねえちゃん？
We can't let that happen!	おいおいおい！ミッドガルどうなるんだ？
I had everyone take refuge in the slums,	まずいんじゃねえのか？
but the way things are now…	みんなスラムに非難してもろたんやけど
It's too late for Holy.	このままやったら、もう……
Meteor is approaching the Planet.	きっとホーリーが遅すぎたんだ
Holy is having the opposite effect.	メテオが星に近づきすぎてる
Forget Midgar, we've gotta worry about the Planet,	これじゃせっかくのホーリーも逆効果だ
What's that!?	ミッドガルどころか星そのものが……
What the hell IS that…….?	あれは！？
…….. Lifestream.	なんなんだ……？
It's coming.	……ライフストリームだ
Five hundred years later…	来る
