“Who goes there!?”	「なんだ、おまえたちは！」
“C'mon newcomer.	「行くぞ、新入り！
Follow me.”	オレに続け！」
Biggs	ビッグス
“Wow! You used to be in SOLDIER all right!	「さすが、ソルジャー！
…Not everyday ya find one	でもよ、反神羅（しんら）グループ【アバランチ】に
in a group like AVALANCHE.”	ソルジャーが参加するなんてスゲエよな！」
Jessie	ジェシー
“SOLDIER? Aren't they the enemy?”	「その話って本当だったの？
	ソルジャーって言ったら
	私たちの敵でしょ？」
Jessie	ジェシー
“What's he doing with us in AVALANCHE?”	「どうして、そのソルジャーが
	私たちアバランチに協力するわけ？」
Biggs	ビッグス
“He WAS in SOLDIER, Jessie.”	「早とちりするな、ジェシー。
“But he quit and is with us now.”	元、ソルジャーなんだってさ」
	「今はもう神羅（しんら）をやめちまって
	俺たちの仲間ってわけさ」
Biggs	ビッグス
“Didn't catch your name…”	「まだ名前聞いてなかったよな。
	教えてくれ」
CLOUD	CLOUD
“…CLOUD.”	「……CLOUDだ」
Biggs	ビッグス
“CLOUD, eh? I'm…”	「CLOUDか、おれは……」
CLOUD	CLOUD
“I don't care what your names are.	「あんたたちの名前なんて興味ないね。
Once this job's over…I'm outta here.”	どうせこの仕事が終わったらお別れだ」
“The hell you all doin'!?	「なにやってんだオマエたち！
I thought I told you never to move	かたまって行動するなって
in a group!”	言ってんだろ！」
“Our target's the North Mako Reactor.	「ターゲットは壱番魔晄炉（まこうろ）。
We'll meet on the bridge in front of it.”	魔晄炉前のブリッジに集合だぞ」
“Ex-SOLDIER, huh?	「元ソルジャー……。
I don't trust ya!”	チッ、信用できねえな」
BARRET	BARRET
“Press the Directional buttons while	「【キャンセル】ボタン（初期状態では×）を
pushing [CANCEL]	押しながら方向ボタンを押せば速く走ることができる。
to run.”	遅れずについてこい！」
Wedge	ウェッジ
“I'll secure our escape passage.	「俺は脱出口を確保しておくっす！」
You concentrate on the mission,	
CLOUD.”	
Wedge	ウェッジ
“Geez, we're really gonna blow	「しっかし、この大きな魔晄炉（まこうろ）を
this huge furnace up?	爆破するなんて……みものっすね！」
This'll be somethin' to see!”	
Switch On.	スイッチオン
Jessie	ジェシー
“Push that button over there!”	「さ、そこのボタンを
	押して！」
BARRET	BARRET
“Now let's go into the reactor!	「さあ、魔晄炉（まこうろ）の中へ！
From here on out, you stick with me.”	ここからはオレのそばに
“Leave this to me!”	いてもらうぜ」
“Don't mess up SOLDIER-boy!”	「ここはまかせとき！」
	「たのんだぜソルジャーさんよ！」
“Bring BARRET back alive!”	「BARRETをよろしくな！」
BARRET	BARRET
“Yo! This your first time in a reactor?”	「……おい。
	おまえ魔晄炉（まこうろ）は
	初めてじゃないんだろ？」
CLOUD	CLOUD
“No. After all, I did work for Shinra, y'know.”	「まあな。
	ソルジャー……
	神羅（しんら）カンパニーの人間だったからな」
BARRET	BARRET
“The Planet's full of Mako energy.	「この星は魔晄（まこう）エネルギーに満ちている。
People here use it everyday.”	住民はその魔晄エネルギーを使って
	日々生活している」
“However, nobody knows the truth about Mako.	「でも誰も魔晄の本質を知らねえんだ。
Do you know?”	おまえ、知ってるか？」
BARRET	BARRET
“It's the life blood of this Planet.	「魔晄はこの星を流れる血だ。
But Shinra keeps suckin' the blood out	それを神羅（しんら）って会社は
with these weird machines.”	ガンガン吸い出していやがる。
	このへんちくりんなスクラップでな……」
CLOUD	CLOUD
“I'm not here for a lecture.	「能書きはいい。
Let's just do it.”	先を急ごう」
BARRET	BARRET
“@#&^%$!”	「クッ……」
“From now on you come with me.”	「よし、ここからはオレといっしょに
	行動してもらうぜ」
BARRET	BARRET
“Little by little the reactors'll drain out	「魔晄炉（まこうろ）のせいで、この星の命は
all the life.	毎日けずられていく。
Then that'll be that.”	そしていつの日か……ゼロだ」
BARRET	BARRET
“The planet's dyin', CLOUD!”	「星が死んじまうんだぞ。
	えっ、CLOUDさんよ！」
CLOUD	CLOUD
“It's not my problem.”	「悪いけど興味がないな」
CLOUD	CLOUD
“The only thing I care about is finishin' this job	「俺が考えてるのは、さっさと仕事を
before security and the Roboguards come.”	終わらせたいってことだけだ。
	警備兵やガードロボットが来ないうちにな」
BARRET	BARRET
“…”	「…………」
Jessie	ジェシー
“Code deciphered”	「コード解除」
Biggs	ビッグス
“Code deciphered”	「コード解除」
“Can't decipher code	「ビッグスがいないと
without Biggs”	コード解除できない」
“Can't decipher code	「ジェシーがいないと
without Jessie”	コード解除できない」
CLOUD	CLOUD
“You all right?”	「だいじょうぶか？」
Jessie	ジェシー
“My leg got stuck.”	「うかつ！！　足がはさまって……」
Jessie	ジェシー
“Thanks!”	「サンキュー！」
Biggs	ビッグス
“I only let my guard down for a minute…	「敵に後ろをとられて……
And someone got behind me…”	油断しちまった」
Jessie	ジェシー
“Biggs and I got the code for this door.”	「私とビッグスがここのドアロックの
	暗号を手にいれたの」
Biggs	ビッグス
