“Wark!”	「クエっ！」
“Wark?	「クエっ？
Warkwark wark?”	クエクエクェ　クエ？」
Wark	クエっ
Warrrk	クエエ
“Wark--”	「クエェ～～」
“Wark!! Wark!!”	「クエっ！！　クエエっ！！！」
Received "Choco/Mog" Materia!	「『チョコボ＆モーグリ』のマテリア
	を手にいれた！」
“They tried to give you something	「『なにかをくれようとしたのだが
but you couldn't get it.”	もらうことが出来なかった』」
Chocobo farm	チョコボファーム
Received "Chocobo Lure" Materia!	『チョコボよせ』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Choco Bill	グリン
“Thinking of crossing the marshes?”	「お客さんたち、この先の
	湿地帯をこえるつもりですか？」
Yeah	ああ
Not interested	興味ないね
Choco Bill	グリン
“Hmm, then it'll probably be	「ふむ、それならチョコボを
safer for you to get a Chocobo.”	手に入れたほうが安全ですな」
Choco Bill	グリン
“That way you can zip through	「チョコボで湿地帯を
the marshes with the Chocobo.”	イッキにかけ抜けるわけです」
“It's the only way to avoid being attacked	「これがミドガルズオルムに
by the Midgar Zolom.”	襲われない方法」
Choco Bill	グリン
“Midgar Zolom…?”	「ミドガルズオルムとは…」
Choco Bill	グリン
“It's a serpent-like creature	「身のたけ１０メートルにならんとする
over 30 feet tall!!”	ヘビのバケモノ！！」
Choco Bill	グリン
“It detects the footsteps of	「湿地帯を進む
anyone in the marshes.”	ズボズボ音を聞きつけ…」
Choco Bill	グリン
“And then, BAM!! It attacks!!!”	「ウギャーッとおそいかかる！！！」
Choco Bill	グリン
“To avoid that, buy a Chocobo at	「そうならないためにも！
me and Choco Billy's Chocobo Farm.”	グリン＆グリングリン牧場の
	チョコボをお買い上げください」
“To purchase a Chocobo,	「チョコボのお買い上げは
please talk to my grandson.	向かって一番右の建物
He's in the Chocobo stables at	チョコボ小屋におります孫に
the far right end of the farm.”	お申し付け下さい」
Choco Bill	グリン
“By the way, there was another person	「そういえば少し前に
heading towards the Marshes.”	【湿地帯】に向かった人が
	いたんですよ」
“Without a Chocobo, the Midgar Zolom	「チョコボなしで湿地帯なんて
probably got him.	きっとミドガルズオルムに
It was a man in a black cape.”	やられちまったでしょうな。
	真っ黒なマントの人でしたがね」
Choco Bill	グリン
“Welcome.”	「いらっしゃいませ」
Choco Bill	グリン
“How 'bout a Chocobo Lure Materia?”	「どうですか？
	チョコボよせマテリアは？」
“Each level it increases,	「あの、マテリアは
makes it easier for you to	レベルがあがるほどチョコボに
find a Chocobo.”	会いやすくなるんですよ」
Choco Bill	グリン
“Hmm, then, I guess that's that.”	「ふむ、それなら、関係ないですな」
Choco Bill	グリン
“Still want to cross the Marshes?”	「やはり湿地帯を
	こえるつもりですか？」
Yeah	ああ
No	こえない
Choco Bill	グリン
“Looking for an Inn?”	「宿をお探しですか？」
Yeah	ああ
Not interested	興味ない
Choco Bill	グリン
“Looking for an Inn?”	「宿をお探しですか？」
Yup	うん
Nope	いいえ
Choco Bill	グリン
“Looking for a place to stay?”	「宿をお探しですか？」
Right	そうだ
Nope	探してない
Choco Bill	グリン
“How about 100 gil a night…?”	「どうでしょう一泊　１００ギルで…」
All right	泊まる
I'm in a hurry	先を急ぐ
Choco Bill	グリン
“Thank you for your patronage.”	「まいど、ありがとうございます」
Choco Bill	グリン
“…	「…………
Ummm, you don't have enough…”	あの～、お金が足りませんが…」
Please    for a second.	後はちょっとまってね♥
Chocobo farm	グリン＆グリングリンの家
Choco Bill	グリン
“Oh, what is that?”	「あっ、お客さん方
	いや、なんですな」
“What has this world come to?	「空から星が落ちてくるとかなんとか
Stars falling, what's next?”	大変な世の中になってしまいましたね」
Choco Bill	グリン
“With things the way they are now,	「こんな、ご時世です、どうでしょう
how 'bout raising a Chocobo?”	チョコボなど育ててみては？」
“No, I'm not trying to persuade	「いえいえ、商売っ気をだしているんでは
you for money. It's just because	なくてですな。
of the way things are in the world.”	こういう時だからこそ！」
“I thought that it would be a	「こう、建設的にですな
healthy thing for you	チョコボを育てるのも
to raise some Chocobos…”	お客様のためではないかと……」
Choco Bill	グリン
“Hmm…You just happen to be in luck!”	「テヘヘヘヘ……
	お客さんは運がよろしい！」
“It just so happens that we aren't	「今はぐうぜんにも、うちの牧場には
taking care of any Chocobos	他のお客様からおあずかりしている
for anyone else, so…”	チョコボもいませんし」
Choco Bill	グリン
“I could take care of 6 Chocobos right now,	「今なら、１匹　１００００ギルで
for 10000 gil per Chocobo.	６匹までおあずかりできますが
How 'bout it?”	どうでしょう？」
Take care of my Chocobos	チョコボをあずかってくれ
Tell me something else	他の話が聞きたい
How do you raise them?	育成の話が聞きたい
Nothing	なんでもない
Could you take care of the Chocobos?	チョコボあずかって
I'd like to hear about something else	他の話が聞きたいな
Tell me how you raise them	育成の話聞かせて
That's all	なんでもないの
Take care of my Chocobos	チョコボをあずかってくれや
I wanna hear about something else	他の話を聞かせろよ
How do ya raise 'em?	育成の話が聞きてぇな
That's enough	なんでもねぇ
Choco Bill	グリン
“To raise a Chocobo, you'll need a	「チョコボをお育てになるには
