Marshes	湿地帯
	
CLOUD	CLOUD
“Did Sephiroth…	「セフィロスが……
do this?”	やったのか……」
TIFA	TIFA
“Amazing…”	「すごい……」
AERIS	AERITH
“Our enemy is someone that	「こんなことやっちゃう人が
could do this?”	わたしたちの相手……」
BARRET	BARRET
“This Sephiroth guy's	「とんでもねえ強さだな。
pretty strong, I'd say.”	セフィロスってやつは」
RED XIII	RED XIII
“It's a power that we should respect…”	「恐るべき力……だな」
YUFFIE	YUFFIE
“Geeeeez, Louise!”	「ウヒャ～！」
Mythril Mine	ミスリルマイン
	
Received "Hi-Potion"!	『ハイポーション』を手にいれた！
Received "Tent"!	『テント』を手にいれた！
Received "Long Range" Materia!	『えんきょりこうげき』のマテリアを手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
	
BARRET	BARRET
“Hey CLOUD.	「おいおい、CLOUDさんよぉ。
If we keep going,	このまま行くと、カームの町とは
we'll never get to Kalm.”	似ても似つかぬ場所に着く事になるぜ」
AERIS	AERITH
“CLOUD!	「CLOUD！
“CLOUD!	CLOUD
If we continue this way,	このまま進むと、カームの町から
we'll get farther and	どんどんはなれるだけ、よ」
farther away from Kalm.”	
TIFA	TIFA
“Hey, CLOUD.	「ねぇ、CLOUD。
Wasn't Kalm right before	カームの町は、この洞窟の手前に
this cavern?”	あるんじゃなかったかしら？」
RED XIII	RED XIII
“…We won't get to Kalm if we go	「……この洞窟を通り抜けても
through these caverns.”	カームの町には着かないぞ」
BARRET	BARRET
“Yo, wassup?	「おいおい、しっかりしてくれよ。
Can't SOLDIER-man	天下のソルジャーさまが
even lead the way?”	道案内ひとつできねぇのか？」
AERIS	AERITH
“CLOUD!	「もう、CLOUD！
Are you lost!?”	道に迷っちゃったの！？」
TIFA	TIFA
“Kalm should be closer to Midgar.”	「カームの町は、もっと
	ミッドガル寄りの位置にあるはずよ」
RED XIII	RED XIII
“If we're planning to meet at Kalm,	「カームの町でおちあうつもりなら
we should go back and look again.”	もどって探し直すべきだな」
Rude	ルード
“Just a second!”	「ちょっと待った！」
Rude	ルード
“…”	「………………」
Rude	ルード
“Do you know who I am?”	「おれが、だれだかわかるか？」
The Turks, right?	タークスだろ？
Not interested	興味ないね
Rude	ルード
“…I'm from the Turks.	「…………タークスだ。
And don't you forget it.”	覚えておいてくれ」
Rude	ルード
“Well if you know,	「知っているのなら
then this won't take long.”	話は早い……」
Rude	ルード
“It's difficult to explain	「おれたちタークスの仕事を
what the Turks do…”	説明するのは難しい……」
CLOUD	CLOUD
“Kidnapping, right?”	「人さらいだろ？」
Rude	ルード
“To put it negatively…	「悪意に満ちた言い方をすると
you could say that.”	そうなる……」
Rude	ルード
“…But, that's not all	「……しかし
there is to it anymore.”	いまはそれだけではない」
Elena	イリーナ
“It's all right, Rude!	「ルード先輩！
I know you don't like speeches,	しゃべるの苦手なんだから
so don't force it!”	ムリしないで下さい」
Rude	ルード
“Then explain, Elena.”	「……イリーナ、たのむ」
Elena	イリーナ
“I'm the newest member of	「私、タークスの新人のイリーナ。
the Turks, Elena.	レノがあんたたちにやられて
Thanks to what you did to Reno,	タークスは人手不足」
we're short-handed.”	
Elena	イリーナ
“…But, because of that,	「……おかげで私、タークスに
I got promoted to the Turks…”	なれたんだけどね……」
Elena	イリーナ
“Anyhow, our job is to find out	「ま、それはともかく
where Sephiroth is headed.”	私たちの任務はセフィロスの
	行方をつきとめること」
“And to try and stop you	「それから
every step of the way.”	あんたたちの邪魔をすること」
Elena	イリーナ
“Wait a minute,	「あ、逆だったか。
it's the other way around…	私たちの邪魔してるのは
You're the ones that are	あんたたちだもんね」
getting in our way.”	
Tseng	ツォン
“…Elena.	「……イリーナ。
You talk too much.”	しゃべりすぎだぞ」
Elena	イリーナ
“Sorry…Tseng.”	「すいません……ツォンさん」
Tseng	ツォン
“I thought I gave your orders.”	「お前たちには、別の任務を
	与えてあったはずだ」
“Now go.	「行け。
Don't forget to file your report.”	定時連絡を価かすなよ」
Rude	ルード
“…Reno said he wanted to	「……レノが言ってた。
see you after the injuries	きみたちに負わされたケガが
you gave him healed.”	治ったらあいさつしたいと」
“He wants to show	「親愛なるきみたちに
his affection for you all…	新しい武器を見せたいそうだ」
with a new weapon.”	
Tseng	ツォン
“Well, then…”	「さて……」
Tseng	ツォン
“Where's AERIS?	「……AERITHは？
Isn't she with you?”	一練ではないのか？」
Tseng	ツォン
“Oh…	「そうか……
Then give her my regards.”	よろしく伝えておいてくれ」
Tseng	ツォン
“AERIS…	「AERITH……
Long time no see.”	久しぶりだな」
Tseng	ツォン
“Looks like you're safe	「しばらくの間、君は神羅からは
from the Shinra for a while,	自由の身だ。
now that Sephiroth reappeared.”	セフィロスが現れたからな」
AERIS	AERITH
“What are you saying?	「……なに、言いたいの？
That I should be grateful to Sephiroth?”	セフィロスに感謝しろって？」
Tseng	ツォン
“No…”	「いや……」
“I won't be seeing much of you,	「あまり会えなくなるが
so take care.”	元気でな」
Tseng	ツォン
“Well then,	「では、諸君。
stay out of Shinra's way.”	できれば神羅の邪魔はしないで
	もらいたいものだな」
CLOUD	CLOUD
“AERIS isn't with us.	「AERITHはここにはいない。
She's with the others.”	別行動をとっている」
BARRET	BARRET
“Wh, who are you!?”	「き、キサマは！？」
AERIS	AERITH
“By any chance, are you…?”	「あなた、もしかして？」
TIFA	TIFA
“Who are you?”	「あなたは？」
RED XIII	RED XIII
“…	「……
I hoped I'd never see you again…”	見たくもない顔に会ったな」
“Sir!”	「先輩！」
Elena	イリーナ
“Mr. Tseng!?”	「ツォンさん！？」
Tseng	ツォン
“No need to tell them	「我々の任務を、彼らに
about our orders.”	教えてやる必要はない」
Rude/Elena	ルード＆イリーナ
“Yes sir!”	「はっ！」
AERIS	AERITH
“…Strange, hearing	「……あなたに、そんなこと
that from you.”	言われるなんて、不思議」
Elena	イリーナ
“Oh! Right!”	「あっ！　そうでした！」
Tseng	ツォン
“…Elena.	「……イリーナ。
You don't seem to understand.”	私の言葉の意味が
	わからなかったようだな」
Elena	イリーナ
“Oh!>	「あっ！
I'm, I'm sorry…”	す、すいません……」
Tseng	ツォン
“…Go.	「……行け。
Don't let Sephiroth get away.”	セフィロスを逃がすなよ」
Elena	イリーナ
“Very well, Rude and I will	「それでは、私とルード先輩は
go after Sephiroth, who's heading	【ジュノンの港】へ向かった
for Junon Harbor!”	セフィロスを追いかけます！」
Base of Fort Condor	コンドルフォートふもと
“We've been fighting the Shinra	「ここは長い長いあいだ
on this battlefield for a long time.”	神羅軍と闘ってきた戦場」
“We've still settled in for	「いまもじっくりとコシをすえて
a long war with them.”	彼らと闘っている」
“Could you spare some time,	「もしあんたらの旅に余裕があるならば
and help us fight them?”	我々に協力してくれ」
“We don't want to sound pushy,	「でも無理にとはいわん。
so if you're busy with something,	急ぎの用があるのならそちらをすまして
why don't you finish that first?”	からのほうがよいだろう」
Where is Junon?	ジュノンの街はどこにある？
We'll help you	協力してもいいが
“We don't want to sound pushy,	「でも無理にとはいわん。
so if you're busy with something,	急ぎの用があるのならそちらをすまして
why don't you finish that first?”	からのほうがよいだろう」
Like to help but…	残念だが
I guess we'll help	協力してもいいが
“We don't want to sound pushy,	「でも無理にとはいわん。
so if you're busy with something,	急ぎの用があるのならそちらをすまして
why don't you finish that first?”	からのほうがよいだろう」
I'm sorry…really	残念だけど
All right, we'll help	協力してもいいけど
“Let's see…head north along the coast,	「そうか…　ジュノンの街は
keep going a ways and	ここを海ぞいに北へ、ずっと行ったところだ。
you'll run into Junon.”	
“But be alert because	小高い丘の影になっているから気をつけてな」
it sits in the shadows of	
a small hill.”	
“All right then…	「そうか…
Take care of yourselves…”	気をつけてな」
“Really!? Then go on up and	「そうか！　それなら
they'll fill you in on the details.”	上に登ってくわしい話をきいてくれ」
Entrance to Fort Condor	コンドルフォート入口
CLOUD	CLOUD
“What happened?”	「どうなったんだ」
TIFA	TIFA
“Where are all the villagers?”	「村のみんなは？」
CID	CID
“God! What the hell happened here!?”	「ダ～ッ！　どうなったんだよ！？」
BARRET	BARRET
“He's still alive.”	「まだ生きてるぜ」
AERIS	AERITH
“Where is everybody?”	「みんなは？」
RED XIII	RED XIII
“Where are we?”	「ここは？」
YUFFIE	YUFFIE
“Oh good, they're still alive.”	「よかった、生きてるよ」
CAIT SITH	CAIT SITH
“Oy!	「ありゃ？
What on earth happened?”	どないなったんや？」
VINCENT	VINCENT
“It seems we survived.”	「私たちは生き残ったようだな」
CLOUD	CLOUD
“You mean to tell me	「俺たちだけが
we're the only ones who made it?”	助かったのか……」
TIFA	TIFA
“I couldn't do anything.	「私、なにもできなかった。
It was just too much.”	あまりにも……」
CID	CID
“Damn!!	「チックショ～！！
I can't stand this!”	やってらんねえぜ！」
BARRET	BARRET
“Oh man…	「ケッ……
You look like hell.”	なんてザマなんだぁ？」
AERIS	AERITH
“I…	「わたし……
I couldn't save anyone…”	命、救えなかった……」
RED XIII	RED XIII
“…not enough strength.”	「……力不足だ」
YUFFIE	YUFFIE
“Well, I'm just glad	「まあ、生きてるだけ
we're all alive.”	よかったよね」
CAIT SITH	CAIT SITH
“Things sure didn't go smoothly.”	「うまくいきませんなぁ」
VINCENT	VINCENT
“We might have underestimated	「私たちは
the situation.”	あまかったのかもしれないな」
CLOUD	CLOUD
“You mean to tell me	「俺の力はこんなものだったのか？
that's the extent of my powers?”	
“So that's as good as it gets?	この程度なのか……
At this rate I'll never beat	これじゃ神羅にも……セフィロスにも……」
the Shinra…let alone Sephiroth…”	
BARRET	BARRET
“Yeah, ain't no way you gonna win.”	「ああ、勝てねぇよな」
“But if we give up now,	「でもよ、このままやめちまったら
what's gonna happen to Fort Condor?”	コンドルフォートの連中に
	もうしわけねえぜ」
TIFA	TIFA
“No, CLOUD.	「ダメよ、CLOUD
You mustn't give up.	あきらめちゃダメ」
Survivors never give up.”	「生き残った私たちが、がんばらなくちゃ」
AERIS	AERITH
“CLOUD…	「CLOUD……
You won't find the answer	自分責めても、答え、見つからないよ」
by blaming yourself.”	
“Things are the way they are…	「現実は現実……
But you can't blame yourself	でも、思いつめてもしかたない……ね？」
for that, right?”	
RED XIII	RED XIII
“Don't be too hard on yourself,	「あんまり悩まないで、CLOUD。
CLOUD.	先のこと、考えようよ」
Let's think about	
what we should do next.”	
YUFFIE	YUFFIE
“No use crying over spilt milk.	「ま、やっちゃったことは
Right?”	しょうがないよね」
CAIT SITH	CAIT SITH
“Geez, you don't pull any punches do you?	「きっついなぁ。
We'll just try not to fail next time.”	次、失敗せんようにせんと」
VINCENT	VINCENT
“We have to fight to	「これ以上、犠牲を増やさぬため
avoid any more casualties.”	戦わなければならないのではないか？」
CID	CID
“We'll do it next time, OK?”	「次がんばろうや、な？」
CLOUD	CLOUD
“Yeah.”	「そうだな」
“They've had their fun,	「これ以上、やつらの思い通りにはさせない。
but it's over as of now!	もう、悲しみは増やさない」
There isn't gonna be	
any more suffering.”	
TIFA	TIFA
“CLOUD…	「CLOUD、私……
What should I do?”	どうしたらいいの？」
BARRET	BARRET
“TIFA…”	「TIFA……」
RED XIII	RED XIII
“…”	「……」
YUFFIE	YUFFIE
“CLOUD	「CLOUDか
I wonder what's going to happen?”	どうなっちゃうんだろ」
CAIT SITH	CAIT SITH
“Y'know, worryin' only tires you out.	「気にしすぎたらしんどいだけやで。
Why don't you take it easy?”	もうちょい楽にしいや」
VINCENT	VINCENT
“You've got no choice	「今は耐えるほかはないな」
but to take it for now.”	
CID	CID
“Oy, such a bitter pill to swallow.”	「ちっ、しょっぺえなあ」
CID	CID
“This ain't no joke, Jack.”	「ちょっと冗談じゃすまねえぜ、こりゃ」
BARRET	BARRET
“Oh man, this is real bad.”	「ああ、かなりやばいぜ」
RED XIII	RED XIII
“Things don't seem too favorable.”	「あんまりいい状態じゃないね」
YUFFIE	YUFFIE
“I told you I'm not kidding!”	「もともと冗談じゃないんだよ！」
CAIT SITH	CAIT SITH
“If this were a joke it'd be one thing,	「冗談ですんだらええけど
but this's the truth.”	これはほんまのことや」
VINCENT	VINCENT
“This is a rather harsh reality.”	「かなりきびしい現実だな」
Fort Condor	コンドルフォート
[Save Point]	【セーブポイント】
Access the Menu and select	メニューを開いて「セーブ」を選ぶと
[SAVE] to save your game.	ゲームの状態を保存できます。
	
“Hello.	「いらっしゃい。
I'm sorry but we're not	でも今は、売れないんだよ。
selling anything now.”	なんせ、自分たちで使うからね」
“We're using everything	
we have for ourselves.”	
“Hello.	「いらっしゃい。
Do your best. We will, too.”	がんばってよ。
	あたしたちもがんばるから」
“Sorry, but I can't sell you	「すまんが、今は売れないな」
anything now.”	
“You hang in there!”	「おう、がんばってくれよ」
“Hmmn, now this is something,	「ほう、珍しいな
I never thought anyone	こんなところまで登ってくるとはな」
would ever climb up here.”	
“…Your eyes are different.	「……　変わった目をしているな。
Well, anyhow.	まあ、関係ないか。
Any minute now, this will be	ここはもうすぐ神羅との戦場になる。
a battlefield against Shinra.”	まきぞえにならないうちに、降りなさい」
“You'd better get down	
before you get involved.”	
“Hmmn, now this is something,	「ほう、珍しいな。
I never thought anyone	こんなところまで登ってくるとはな」
would ever climb up here.”	「ここはもうすぐ神羅との戦場になる。
“Any minute now, this will be	まきぞえにならないうちに降りなさい」
a battlefield against Shinra.	
You'd better get down	
before you get involved.”	
BARRET	BARRET
“Shinra?	「神羅だって？
The hell those jackasses	こんなところへ何しにくるんだ」
doing here?”	
TIFA	TIFA
“You mean Shinra?”	「神羅ですって？」
AERIS	AERITH
“What do you mean,	「どういうこと？
a battlefield'?”	戦場って」
RED XIII	RED XIII
“The Shinra…”	「神羅か……」
RED XIII	RED XIII
“Shinra again.”	「また、神羅だよ」
YUFFIE	YUFFIE
“The Shinra? Here too?”	「ここも、神羅かよ」
CAIT SITH	CAIT SITH
“…”	「……」
VINCENT	VINCENT
“What do you mean by that?”	「どういうことだ？」
CID	CID
“A battlefield?	「戦場たあ、聞きずてならねえな」
We can't overlook that.”	
“It appears you have a problem	「あなたがたも、神羅とは何かあるらしいな。
with Shinra, too.	せっかく、ここまで登ってきたんだ。
After all, you climbed up here.”	
“Why not listen to	ちょっとだけ話を聞いていかないか？」
what I have to say for a moment?”	
CLOUD	CLOUD
“…”	「……」
I guess so	いいだろう
Not interested	やめておこう
TIFA	TIFA
“Oh, by all means.”	「ええ、ぜひ」
CID	CID
“All right, talk on!”	「おうよ、言ってみろよ」
BARRET	BARRET
“The hell you talkin' about!?	「なに言ってやがんだ！
They're all fightin'	ここの連中も神羅と戦ってるんだぞ
the Shinra too!	それを見すてるのか！」
You gonna ignore that!?”	
TIFA	TIFA
“CLOUD, let's listen to	「CLOUD、聞きましょう」
what they have to say.”	
AERIS	AERITH
“After all, we came all this way,	「せっかくここまで来たんだから、ね？
CLOUD”	CLOUD」
CAIT SITH	CAIT SITH
“I know, I know, CLOUD.	「まぁまぁ、CLOUDさん
But let's listen for a bit.”	ちょっとくらい聞きましょうや」
VINCENT	VINCENT
“There's no harm in listening to them.”	「話くらい聞いてもよかろう」
YUFFIE	YUFFIE
“Is this about the jewels?”	「お宝の話かい？」
CID	CID
“Man, she sure's cold.”	「ほんと、人情のねえ奴だぜ」
“Do you know what's at	「この山の上になにが
the top of this mountain?”	のっているかわかるかな？」
BARRET	BARRET
“Huh?	「ん？
Something's up there?”	なにかあったか？」
AERIS	AERITH
“A huge bird.”	「おっきな、鳥さん」
TIFA	TIFA
“Come on, let's get it together.”	「もう、しっかりしてよ」
YUFFIE	YUFFIE
“Look close, old man.”	「しっかり見てろよ
	おっさん」
CAIT SITH	CAIT SITH
“Yeah, come to think of it	「そういやなんやおったな」
there was something.”	
CLOUD	CLOUD
“The reactor and the Condor.”	「魔晄炉と、コンドルだな」
TIFA	TIFA
“That's the reactor	「あれは、魔晄炉と
and the Condor.”	コンドルね」
RED XIII	RED XIII
“That's the reactor	「あれは、魔晄炉
and the Condor.”	それと、コンドルだな」
