…You all right?	……大丈夫か？
…Can you hear me?	……聞こえてるか？
CLOUD	CLOUD
“…Yeah…”	「…………ああ」
“Back then…	「あの時は……
I only got	ヒザすりむいただけで
scraped knees…”	すんだけど……」
CLOUD	CLOUD
“…What do you mean by 'back then'?”	「……あの時？」
What about now?	今度はどうかな？
Can you get up?	起きられるか？
CLOUD	CLOUD
…What do you mean by 'back then'?”	……あの時？
…What about now?	……今度は？
“…Don't worry about me.	「……気にするな。
Worry about yourself now.”	今は身体のことだけ」
CLOUD	CLOUD
“…I'll try.”	「……やってみる」
“…How about that?”	「……どうだ？」
“Take it slow now.	「ゆっくりな。
Little by little……”	少しずつ少しずつ……」
CLOUD	CLOUD
“…I know.”	「……わかってるさ」
CLOUD	CLOUD
“Hey…who are you?”	「なあ……あんた、誰だ？」
“Oh! It moved!”	「あっ！　動いた！」
“Whew…	「ふぅ……
What relief.”	良かったぁ」
“Hello, hello?”	「もしもし？」
“Hello, hello!”	「もしも～し！」
“You okay?”	「だいじょぶ？」
“You just fell from above.	「いきなり、落ちてくるんだもん。
You really gave me a scare.”	おどろいちゃった」
“This is a church in	「ここ、スラムの教会。
the Sector 5 slums.”	５番街よ」
CLOUD	CLOUD
“…I came crashing down?”	「……落ちてきた」
“The roof and the flower bed	「屋根と、花畑、クッションに
must have broken your fall.	なったのかな。
You're lucky.”	運、いいね」
CLOUD	CLOUD
“Flower bed…is this yours?”	「花畑……あんたの花畑？」
CLOUD	CLOUD
“Sorry about that.”	「それは悪かったな」
“That's all right.	「気にしないで。
The flowers here are quite resilient	お花、けっこう強いし
because this is a sacred place.”	ここ、特別な場所だから」
“They say grass and flowers	「ミッドガルって
won't grow in Midgar.”	草や花、あまり育たないでしょ？」
“But for some reason, they	「でも、ここだけ花、さくの」
have no trouble blooming here.”	
“I love it here.”	「好きなんだ、ここ」
“So, we meet again.”	「……また、会えたね」
“Don't you remember me?”	「……おぼえてないの？」
Yeah, I remember…	（会ったことがある……）
Never saw you before	（たしか、初対面だ）
CLOUD	CLOUD
“Yeah, I remember…”	「ああ、覚えてるさ」
You were selling flowers	花を売ってたな
You're the slum drunk	スラムの酔っぱらい
“Oh! I'm so happy!”	「あっ！　うれしいな～！」
“Excuse me, but you're really rude!”	「しつれいしちゃうわね！」
“…I guess you don't remember.	「……おぼえてないかぁ。
You were walking in a daze.”	あなた、ボーッと歩いてたしね」
“Thanks for buying my flowers.”	「あのときは、お花、買ってくれて
	ありがと」
“You didn't buy any flowers from me though.”	「でも、お花、買ってくれなかったね」
	
“But I forgive you,	「でも、お花、買ってくれたから
because you bought flowers from me.”	許してあげる」
“I don't remember a thing.”	「な～んにも覚えてないんだ」
“Well, that's okay.”	「まぁ、いっか」
“Say, do you have any Materia?”	「ね、マテリア、持ってるんだね」
“Yes, some.”	「わたしも持ってるんだ」
CLOUD	CLOUD
“Nowadays you can find Materia anywhere.”	「今はマテリアはめずらしくもなんともない」
“But mine is special.	「わたしのは特別。
It's good for absolutely nothing.”	だって、何の役にも立たないの」
CLOUD	CLOUD
“…good for nothing?	「……役にたたない？
You just don't know how to use it.”	使い方を知らないだけだろ？」
“No, I do…	「そんなこと、ないけど……
it just doesn't do anything.”	でも、役に立たなくてもいいの」
“I feel safe just having it.	「身につけてると安心できるし
It was my mother's.”	お母さんが残してくれた……」
“Say, I feel like talking.	「ね、いろいろ、お話したいんだけど
Do you feel up to it?”	どうかな？」
“After all,	「せっかく、こうして
here we are meeting again.”	また、会えたんだし……ね？」
I don't mind	ああ、かまわない
Got nothing to talk about	話すことなどない
“Wait here.	「じゃ、待ってて。
I've got to check my flowers.	お花の手入れ、すぐ終わるから」
It'll just be a minute.”	
“…Oh, I see.”	「………………なるほど」
“Ahhh. I wonder whose fault that is.	「あ～あ、誰のせいかな～。
It's not easy to grow them, you know.	せっかく、元気に育ったのにね～。
Poor flowers.”	お花さん、かわいそ」
“Just a little longer.”	「も～すこし待ってて」
“Oh!”	「あ！」
“Now that you mention it…”	「そういえば、まだだった」
“We don't know each other's names, do we?”	「おたがい、名前、知らないね」
“My name is…”	「わたしは……」
“I'm AERIS‚the flower girl.	【AERITH名前入力】
Nice to meet you.”	
“I'm AERIS, the flower girl.	「わたし、花売りのAERITH。
Nice to meet you.”	よろしくね」
CLOUD	CLOUD
“The name's CLOUD.”	「俺はCLOUDだ」
“Me?	「仕事は……
