“The hell are you?	「なんだお前は？
What're you doin' around here?”	こんなところで何をしている？」
Where's AERIS?	AERITHはどこだ！
…	…………
“AERIS?	「AERITH？
How did you know that name?	その名を知っているとは
You must be…”	お前まさか！？」
“AERIS,	「AERITHってあのコだろ。
you mean that kid.	受付の。
The receptionist? I was	じつはオレもあのコ
startin' to worry about her, too.”	気になってるんだよね」
“And so another rival	「ウーン、はやくも
appears on the scene, eh?”	ライバル出現……」
“You mean, she's not?	「え、そうじゃない？
It's someone else?”	なんだ、人違いか」
“Oh, I see.	「ハハーン……わかったぞ。
So you must be	さてはお前、アレだな？
that whatcha call it…”	いまウワサの……」
“Shinra, Inc. Repair Division!!”	「神羅カンパニー修理課　！！」
“You know, this building	「いや～、このビルも
looks like it's	そろそろあちこちに
starting to fall apart.”	ガタがきててなあ」
“This door was just pushed open.	「この階のドア
You ought to fix this right away.”	開きっぱなしなんだ。
	早く直してくれよな」
“Oh yeah, and take a look	「あ、そうそう
on the other floors, too.	いちおう他の階も
Here, take this.”	見回ってくれよ。
	これ、やるから」
Received Key Item "Keycard 62"!	キーアイテム『カードキー６２』を手にいれた！
“This door is stuck wide open.	「この階のドア
Better fix this right away.”	開きっぱなしなんだ。
	早く直してくれよな」
“This is the lounge floor.	「ここはリフレッシュ・フロア。
Above us are the special floors for	この上は、おえらがたがいる
the company big wigs.”	特別なフロアが多いからね」
“It's tough working under someone.	「その下ではたらく我々も
It wears you out.”	いろいろとつかれるんだよ。
	いろいろとね……」
“I thought I heard a ruckus	「さっき下の方が
downstairs a minute ago.	さわがしかったけど
Do you know what that was all about?”	何かあったのかしら？」
“No idea.	「さあな。
But no need to worry because	ま、６０階から上は
everything above the	何があっても安全だ。
60th floor is safe.”	気にすることもないって」
“What's keeping her?	「あいつ、遅いな……
Did she forget her keycard?”	カードキー忘れたかな？」
“Even employees can't access floors	「社員といえど
above the 60th	６０階から上は
without a keycard.”	カードキーがないと
	自由に歩けないからな……」
“I don't remember seeing your face before…	「あら、見かけない顔……
You new here?”	新しく配属されたのね？」
“Say, you're cute.	「いいわ、私がいろいろ
Let me teach you some…things.”	おしえてあげる♥」
Things?	い、いろいろ？
Um, I'm kinda in a hurry…	急いでいるもので……
“Oh?	「あら、そう。
That's too bad…”	ざんねんだわ……」
“Wipe that stupid look off your face.	「なーに、ヘンな顔して。
I was only going to teach you	教えてあげるのは、ここから
how to get to the next floor.”	上のフロアのことよ」
“The higher ups in the company	「６０階から上は、役員クラスの
use the floors above the 60th floor.	社員の多い特別フロア。
But you can't get there without	カードキーがないと入ることも
a keycard.”	許可されないの」
“Get a keycard and you can use	「カードキーがあれば
the elevators freely.”	階段もエレベーターも自由に
	使えるわ」
“…voila!	「エレベーターはホラ、私の
Hear that sound and	横にあるこのドアの前で
the door will open.”	【決定ボタン】　を押すの。
	そうすると……」
“Just remember there are	「……っていう音がして
different types of cards.	ドアが開くから」
One keycard alone won't	「でもね、カードキーにも何種類か
let you go everywhere.”	あって、１枚でどこでも、って
	わけにはいかないのよ」
“For example,	「そうね、たとえば
“'Keycard 60' only takes	『カードキー６０』なら６０階まで。
