Marshes	湿地帯
CLOUD	CLOUD
Did Sephiroth… do this?	セフィロスが……やったのか……
TIFA	TIFA
Amazing…	すごい……
AERIS	AERITH
Our enemy is someone that could do this?	こんなことやっちゃう人がわたしたちの相手……
BARRET	BARRET
This Sephiroth guy's pretty strong, I'd say.	とんでもねえ強さだな。セフィロスってやつは
RED XIII	RED XIII
It's a power that we should respect…	恐るべき力……だな
YUFFIE	YUFFIE
Geeeeez, Louise!	ウヒャ～！
Mythril Mine	ミスリルマイン
Received "Hi-Potion"!	『ハイポーション』を手にいれた！
Received "Tent"!	『テント』を手にいれた！
Received "Long Range" Materia!	『えんきょりこうげき』のマテリアを手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Elixir"!	『エリクサー』を手にいれた！
BARRET	BARRET
Hey CLOUD. If we keep going, we'll never get to Kalm.	おいおい、CLOUDさんよぉ。このまま行くと、カームの町とは似ても似つかぬ場所に着く事になるぜ
AERIS	AERITH
CLOUD!	CLOUD！CLOUDこのまま進むと、カームの町からどんどんはなれるだけ、よ
CLOUD! If we continue this way, we'll get farther and farther away from Kalm.	TIFA
TIFA	ねぇ、CLOUD。カームの町は、この洞窟の手前にあるんじゃなかったかしら？
Hey, CLOUD. Wasn't Kalm right before this cavern?	RED XIII
RED XIII	……この洞窟を通り抜けてもカームの町には着かないぞ
…We won't get to Kalm if we go through these caverns.	BARRET
BARRET	おいおい、しっかりしてくれよ。天下のソルジャーさまが道案内ひとつできねぇのか？
Yo, wassup? Can't SOLDIER-man even lead the way?	AERITH
AERIS	もう、CLOUD！道に迷っちゃったの！？
CLOUD! Are you lost!?	TIFA
TIFA	カームの町は、もっとミッドガル寄りの位置にあるはずよ
Kalm should be closer to Midgar.	RED XIII
RED XIII	カームの町でおちあうつもりならもどって探し直すべきだな
If we're planning to meet at Kalm, we should go back and look again.	ルード
Rude	ちょっと待った！
Just a second!	ルード
Rude	………………
…	ルード
Rude	おれが、だれだかわかるか？
Do you know who I am?	タークスだろ？
The Turks, right?	興味ないね
Not interested	ルード
Rude	…………タークスだ。覚えておいてくれ
…I'm from the Turks. And don't you forget it.	ルード
Rude	知っているのなら話は早い……
Well if you know, then this won't take long.	ルード
Rude	おれたちタークスの仕事を説明するのは難しい……
It's difficult to explain what the Turks do…	CLOUD
CLOUD	人さらいだろ？
Kidnapping, right?	ルード
Rude	悪意に満ちた言い方をするとそうなる……
To put it negatively… you could say that.	ルード
Rude	……しかしいまはそれだけではない
…But, that's not all there is to it anymore.	イリーナ
Elena	ルード先輩！しゃべるの苦手なんだからムリしないで下さい
It's all right, Rude! I know you don't like speeches, so don't force it!	ルード
Rude	……イリーナ、たのむ
Then explain, Elena.	イリーナ
Elena	私、タークスの新人のイリーナ。レノがあんたたちにやられてタークスは人手不足
I'm the newest member of the Turks, Elena. Thanks to what you did to Reno, we're short-handed.	イリーナ
Elena	……おかげで私、タークスになれたんだけどね……
…But, because of that, I got promoted to the Turks…	イリーナ
Elena	ま、それはともかく私たちの任務はセフィロスの行方をつきとめること
Anyhow, our job is to find out where Sephiroth is headed.	それからあんたたちの邪魔をすること
And to try and stop you every step of the way.	イリーナ
Elena	あ、逆だったか。私たちの邪魔してるのはあんたたちだもんね
Wait a minute, it's the other way around… You're the ones that are getting in our way.	ツォン
Tseng	……イリーナ。しゃべりすぎだぞ
…Elena. You talk too much.	イリーナ
Elena	すいません……ツォンさん
Sorry…Tseng.	ツォン
Tseng	お前たちには、別の任務を与えてあったはずだ
I thought I gave your orders.	行け。定時連絡を価かすなよ
Now go. Don't forget to file your report.	ルード
Rude	……レノが言ってた。きみたちに負わされたケガが治ったらあいさつしたいと
…Reno said he wanted to see you after the injuries you gave him healed.	親愛なるきみたちに新しい武器を見せたいそうだ
He wants to show his affection for you all… with a new weapon.	ツォン
Tseng	さて……
Well, then…	ツォン
Tseng	……AERITHは？一練ではないのか？
Where's AERIS? Isn't she with you?	ツォン
Tseng	そうか……よろしく伝えておいてくれ
Oh… Then give her my regards.	ツォン
Tseng	AERITH……久しぶりだな
AERIS… Long time no see.	ツォン
Tseng	しばらくの間、君は神羅からは自由の身だ。セフィロスが現れたからな
Looks like you're safe from the Shinra for a while, now that Sephiroth reappeared.	AERITH
AERIS	……なに、言いたいの？セフィロスに感謝しろって？
What are you saying? That I should be grateful to Sephiroth?	ツォン
Tseng	いや……
No…	あまり会えなくなるが元気でな
I won't be seeing much of you, so take care.	ツォン
Tseng	では、諸君。できれば神羅の邪魔はしないでもらいたいものだな
Well then, stay out of Shinra's way.	CLOUD
CLOUD	AERITHはここにはいない。別行動をとっている
AERIS isn't with us. She's with the others.	BARRET
BARRET	き、キサマは！？
Wh, who are you!?	AERITH
AERIS	あなた、もしかして？
By any chance, are you…?	TIFA
TIFA	あなたは？
Who are you?	RED XIII
RED XIII	……見たくもない顔に会ったな
… I hoped I'd never see you again…	先輩！
Sir!	イリーナ
Elena	ツォンさん！？
Mr. Tseng!?	ツォン
Tseng	我々の任務を、彼らに教えてやる必要はない
No need to tell them about our orders.	ルード＆イリーナ
Rude/Elena	はっ！
Yes sir!	AERITH
AERIS	……あなたに、そんなこと言われるなんて、不思議
…Strange, hearing that from you.	イリーナ
Elena	あっ！　そうでした！
Oh! Right!	ツォン
Tseng	……イリーナ。私の言葉の意味がわからなかったようだな
…Elena. You don't seem to understand.	イリーナ
Elena	あっ！す、すいません……
Oh!> I'm, I'm sorry…	ツォン
Tseng	……行け。セフィロスを逃がすなよ
…Go. Don't let Sephiroth get away.	イリーナ
Elena	それでは、私とルード先輩は【ジュノンの港】へ向かったセフィロスを追いかけます！
Very well, Rude and I will go after Sephiroth, who's heading for Junon Harbor!	コンドルフォートふもと
Base of Fort Condor	ここは長い長いあいだ神羅軍と闘ってきた戦場
We've been fighting the Shinra on this battlefield for a long time.	いまもじっくりとコシをすえて彼らと闘っている
We've still settled in for a long war with them.	もしあんたらの旅に余裕があるならば我々に協力してくれ
Could you spare some time, and help us fight them?	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	ジュノンの街はどこにある？
Where is Junon?	協力してもいいが
We'll help you	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	残念だが
Like to help but…	協力してもいいが
I guess we'll help	でも無理にとはいわん。急ぎの用があるのならそちらをすましてからのほうがよいだろう
We don't want to sound pushy, so if you're busy with something, why don't you finish that first?	残念だけど
I'm sorry…really	協力してもいいけど
All right, we'll help	そうか…　ジュノンの街はここを海ぞいに北へ、ずっと行ったところだ。小高い丘の影になっているから気をつけてな
Let's see…head north along the coast, keep going a ways and you'll run into Junon.	そうか…気をつけてな
But be alert because it sits in the shadows of a small hill.	そうか！　それなら上に登ってくわしい話をきいてくれ
All right then… Take care of yourselves…	コンドルフォート入口
Really!? Then go on up and they'll fill you in on the details.	CLOUD
Entrance to Fort Condor	どうなったんだ
CLOUD	TIFA
What happened?	村のみんなは？
TIFA	CID
Where are all the villagers?	ダ～ッ！　どうなったんだよ！？
CID	BARRET
God! What the hell happened here!?	まだ生きてるぜ
BARRET	AERITH
He's still alive.	みんなは？
AERIS	RED XIII
Where is everybody?	ここは？
RED XIII	YUFFIE
Where are we?	よかった、生きてるよ
YUFFIE	CAIT SITH
Oh good, they're still alive.	ありゃ？どないなったんや？
CAIT SITH	VINCENT
Oy! What on earth happened?	私たちは生き残ったようだな
VINCENT	CLOUD
It seems we survived.	俺たちだけが助かったのか……
CLOUD	TIFA
You mean to tell me we're the only ones who made it?	私、なにもできなかった。あまりにも……
TIFA	CID
I couldn't do anything. It was just too much.	チックショ～！！やってらんねえぜ！
CID	BARRET
Damn!! I can't stand this!	ケッ……なんてザマなんだぁ？
BARRET	AERITH
Oh man… You look like hell.	わたし……命、救えなかった……
AERIS	RED XIII
I… I couldn't save anyone…	……力不足だ
RED XIII	YUFFIE
…not enough strength.	まあ、生きてるだけよかったよね
YUFFIE	CAIT SITH
Well, I'm just glad we're all alive.	うまくいきませんなぁ
CAIT SITH	VINCENT
Things sure didn't go smoothly.	私たちはあまかったのかもしれないな
VINCENT	CLOUD
We might have underestimated the situation.	俺の力はこんなものだったのか？この程度なのか……これじゃ神羅にも……セフィロスにも……
CLOUD	BARRET
You mean to tell me that's the extent of my powers?	ああ、勝てねぇよな
So that's as good as it gets? At this rate I'll never beat the Shinra…let alone Sephiroth…	でもよ、このままやめちまったらコンドルフォートの連中にもうしわけねえぜ
BARRET	TIFA
Yeah, ain't no way you gonna win.	ダメよ、CLOUDあきらめちゃダメ
But if we give up now, what's gonna happen to Fort Condor?	生き残った私たちが、がんばらなくちゃ
TIFA	AERITH
No, CLOUD. You mustn't give up. Survivors never give up.	CLOUD……自分責めても、答え、見つからないよ
AERIS	現実は現実……でも、思いつめてもしかたない……ね？
CLOUD… You won't find the answer by blaming yourself.	RED XIII
Things are the way they are… But you can't blame yourself for that, right?	あんまり悩まないで、CLOUD。先のこと、考えようよ
RED XIII	YUFFIE
