…You all right?	……大丈夫か？
…Can you hear me?	……聞こえてるか？
CLOUD	CLOUD
…Yeah…	…………ああ
Back then… I only got scraped knees…	あの時は……ヒザすりむいただけですんだけど……
CLOUD	CLOUD
…What do you mean by 'back then'?	……あの時？
What about now?	今度はどうかな？
Can you get up?	起きられるか？
CLOUD	CLOUD
…What do you mean by 'back then'?”	……あの時？
…What about now?	……今度は？
…Don't worry about me. Worry about yourself now.	……気にするな。今は身体のことだけ
CLOUD	CLOUD
…I'll try.	……やってみる
…How about that?	……どうだ？
Take it slow now. Little by little……	ゆっくりな。少しずつ少しずつ……
CLOUD	CLOUD
…I know.	……わかってるさ
CLOUD	CLOUD
Hey…who are you?	なあ……あんた、誰だ？
Oh! It moved!	あっ！　動いた！
Whew… What relief.	ふぅ……良かったぁ
Hello, hello?	もしもし？
Hello, hello!	もしも～し！
You okay?	だいじょぶ？
You just fell from above. You really gave me a scare.	いきなり、落ちてくるんだもん。おどろいちゃった
This is a church in the Sector 5 slums.	ここ、スラムの教会。５番街よ
CLOUD	CLOUD
…I came crashing down?	……落ちてきた
The roof and the flower bed must have broken your fall. You're lucky.	屋根と、花畑、クッションになったのかな。運、いいね
CLOUD	CLOUD
Flower bed…is this yours?	花畑……あんたの花畑？
CLOUD	CLOUD
Sorry about that.	それは悪かったな
That's all right. The flowers here are quite resilient because this is a sacred place.	気にしないで。お花、けっこう強いしここ、特別な場所だから
They say grass and flowers won't grow in Midgar.	ミッドガルって草や花、あまり育たないでしょ？
But for some reason, they have no trouble blooming here.	でも、ここだけ花、さくの
I love it here.	好きなんだ、ここ
So, we meet again.	……また、会えたね
Don't you remember me?	……おぼえてないの？
Yeah, I remember…	（会ったことがある……）
Never saw you before	（たしか、初対面だ）
CLOUD	CLOUD
Yeah, I remember…	ああ、覚えてるさ
You were selling flowers	花を売ってたな
You're the slum drunk	スラムの酔っぱらい
Oh! I'm so happy!	あっ！　うれしいな～！
Excuse me, but you're really rude!	しつれいしちゃうわね！
…I guess you don't remember. You were walking in a daze.	……おぼえてないかぁ。あなた、ボーッと歩いてたしね
Thanks for buying my flowers.	あのときは、お花、買ってくれてありがと
You didn't buy any flowers from me though.	でも、お花、買ってくれなかったね
But I forgive you, because you bought flowers from me.	でも、お花、買ってくれたから許してあげる
I don't remember a thing.	な～んにも覚えてないんだ
Well, that's okay.	まぁ、いっか
Say, do you have any Materia?	ね、マテリア、持ってるんだね
Yes, some.	わたしも持ってるんだ
CLOUD	CLOUD
Nowadays you can find Materia anywhere.	今はマテリアはめずらしくもなんともない
But mine is special. It's good for absolutely nothing.	わたしのは特別。だって、何の役にも立たないの
CLOUD	CLOUD
…good for nothing? You just don't know how to use it.	……役にたたない？使い方を知らないだけだろ？
No, I do… it just doesn't do anything.	そんなこと、ないけど……でも、役に立たなくてもいいの
I feel safe just having it. It was my mother's.	身につけてると安心できるしお母さんが残してくれた……
Say, I feel like talking. Do you feel up to it?	ね、いろいろ、お話したいんだけどどうかな？
After all, here we are meeting again.	せっかく、こうしてまた、会えたんだし……ね？
I don't mind	ああ、かまわない
Got nothing to talk about	話すことなどない
Wait here. I've got to check my flowers. It'll just be a minute.	じゃ、待ってて。お花の手入れ、すぐ終わるから
…Oh, I see.	………………なるほど
Ahhh. I wonder whose fault that is. It's not easy to grow them, you know. Poor flowers.	あ～あ、誰のせいかな～。せっかく、元気に育ったのにね～。お花さん、かわいそ
Just a little longer.	も～すこし待ってて
Oh!	あ！
Now that you mention it…	そういえば、まだだった
We don't know each other's names, do we?	おたがい、名前、知らないね
My name is…	わたしは……
I'm {AERIS}‚the flower girl. Nice to meet you.	【AERITH名前入力】
I'm {Aeris}, the flower girl. Nice to meet you.	わたし、花売りのAERITH。よろしくね
CLOUD	CLOUD
The name's CLOUD.	俺はCLOUDだ
Me? I do a little bit of everything.	仕事は……仕事は「なんでも屋だ」
{Aeris}	AERITH
Oh…a jack of all trades.	はぁ……なんでも屋さん
CLOUD	CLOUD
Yeah, I do whatever's needed.	なんでもやるのさ
CLOUD	CLOUD
What's so funny? What are you laughing at?	何がおかしい！どうして笑う！
{Aeris}	AERITH
Sorry, I just…	ごめんなさい……でも、ね
CLOUD	CLOUD
Huh?	ん……？
{Aeris}	AERITH
CLOUD! Don't let it get to you!	CLOUD！かまっちゃダメ！
{Aeris}	AERITH
Sorry, bad timing on my part.	タイミング、悪いなぁ
{Aeris}	AERITH
