	キュー！！
CLOUD	CLOUD
AERIS!!	AERITH！！
You all right?	だいじょうぶか？
We gotta help TIFA!	TIFAを助けるぞ！
AERIS	AERITH
I told you. I'm used to danger.	言ったでしょ。危険なことにはなれてるって
AERIS	AERITH
To tell you the truth, my heart was pounding!	でもホントはちょっとドキドキしたけどね！
AERIS	AERITH
Ye…yes, you're right… …let's hurry!	え、ええ、そうね…………うん、急ぎましょ！
Kotch	コッチ
Ha ha ha… Wait, you…	ハハハハ……まてよォ、こいつぅ！
Kotch	コッチ
Hey! You're…not them… you're…	あ！てめえ……じゃなかったあなたは！}
Corneo Hall,2f.	コルネオの館２階
Don Corneo	コルネオ
Woo-hoo!	ほひ～！
Come, come, don't be so shy…	これこれ、そんなにはずかしがらんで……もっと近くへ、な？
AERIS	AERITH
Ye…yes…	え、ええ……
But Mr. Don. I'd like you to explain something to me first…	でもねコルネオさん。その前にひとつ教えてほしいの……
Don Corneo	コルネオ
Of course, my dear. I'll take you through it slowly, step by step. So come on!	おお、教えてやるぞ。手取り足取り、じっくりとな。ホレ！　ホレホレ！
AERIS	AERITH
No, that's not what I meant!	い、いえ、ちがうの！そうじゃなくて！
NO, STOP! Just, just wait a second!!	ダメ！　ダメよ！ちょ、ちょっと待って！！
Don Corneo	コルネオ
Come! Come!	ホレ！　ホレ！！
Aoooooooh!! I can't wait any longer! Here comes Papa!!	ほひ～！もうガマンでき～ん！いくぞ～！！
AERIS	AERITH
CLOUD!!	CLOUD！！
TIFA	TIFA
I know…	わかってるわ……
But you know, Don Corneo, I'd like you to explain something before we start…	でもねドン・コルネオ。その前にひとつだけきかせて……
Don Corneo	コルネオ
Hm? Oh, you mean about THAT?	ん？　おお、あのコトか
Don't worry. I'm single. There, feel better now?	な～に大丈夫。俺ァまだ独身だ。安心したか？ん～？
TIFA	TIFA
No…I wasn't asking about that…	そ、そんなこときいてるんじゃなくて……
Wait a minute! No, not yet!!	ちょ、ちょっと待ってよ！イヤだ、まだダメだってば！！
TIFA	TIFA
CLOUD!!	CLOUD！！
Don Corneo	コルネオ
