ファーストレイ	Fāsuto Rei	First Ray	1st Ray
トゥーサイド	Tū Saido	Two Side	2-Faced
ヘクトアイズ	Hekutoaizu	Hecto Eyes	8 eye
アクロフィーズ	Akurofīzu	Acrophies	Acrophies
アダマンタイマイ	Adamantaimai	Adamantaimai	Adamantaimai
空中兵	Kūchū-hei	Sky Trooper	Aero Combatant
アーリマン	Āriman	Ahriman	Allemagne
エンシャントドラゴン	Enshanto Doragon	Ancient Dragon	Ancient Dragon
アークドラゴン	Āku Doragon	Archdragon	Ark Dragon
フルアーマーゴーレム	Furu Āmā Gōremu	Full Armor Golem	Armored Golem
親衛隊員	Shin'eitai-in	Elite Guard Member	Attack Squad
イビルラップ	Ibiru Rappu	Evil Wrap	Bad Rap
イビルラップサンプル	Ibiru Rappu Sanpuru	Evil Wrap Sample	Bad Rap Sample
バグナドラナ	Bagunadorana	Bagnadrana	Bagnadrana
バジリスク	Bajirisuku	Basilisk	Bagrisk
ババヴェラウミュ	Babaveraumyu	Baba Velamyu	Bahba Velamyu
バンダースナッチ	Bandāsunacchi	Bandersnatch	Bandersnatch
バンディット	Banditto	Bandit	Bandit
バッテリーキャップ	Batterī Kyappu	Battery Cap	Battery Cap
ビーチプラグ	Bīchipuragu	Beach Plug	Beachplug
ベヒーモス	Behīmosu	Behemoth	Behemoth
怪奇虫	Kaikichū	Bizarre Bug	Bizarre Bug
ブラックバット	Burakku Batto	Black Bat	Black Bat
スウェルフロート	Suweru Furōto	Swell Float	Bloatfloat
ブラッドテイスト	Buraddo Teisuto	Blood Taste	Blood Taste
ブルードラゴン	Burū Doragon	Blue Dragon	Blue Dragon
プアゾキュート	Puazokyūto	Poissocute	Blugu
ボム	Bomu	Bomb	Bomb
バウンドファット	Baundofatto	Bound Fat	Boundfat
ブレインポッド	Burein Poddo	Brain Pod	Brain Pod
ブルモーター	Buru Mōtā	Bull Motor	Bullmotor
サポテンダー	Sapotendā	Sapotender	Cactuar
サボテンダー	Sabotendā	Sabotender	Cactuer
キャッパワイヤ	Kyappawaiya	Capper Wire	Capparwire
隊長	Taichō	Captain	Captain
カスタネッツ	Kasutanettsu	Castanets	Castanets
シェザーシザー	Shezā Shizā	Caesar Scissor	Ceasar
チョコボ	Chokobo	Chocobo	Chocobo
クリストファー	Kurisutofā	Christopher	Christopher
チュースタンク	Chūsutanku	Chews Tank	Chuse Tank
ＣＭＤ.グランドホーン	CMD. Gurando Hōn	CMD. Grand Horn	CMD.Grand Horn
コカトリス	Kokatorisu	Cockatrice	Cokatolis
コルネオの部下	Koruneo no Buka	Corneo's Subordinate	Corneo's Lackey
コルベット	Korubetto	Corvette	Corvette
クロウラー	Kurourā	Crawler	Crawler
クレイジーソウ	Kureijī Sou	Crazy Saw	Crazy Saw
クリプシェイ	Kuripushei	Cripshay	Cripshay
クロムウェル	Kuromuweru	Cromwell	Cromwell
クラウンランス	Kuraun Ransu	Crown Lance	Crown Lance
クリセイルス	Kuriseirusu	Chrysalis	Crysales
クアール	Kuāru	Coeurl	Cuahl
スイーパーカスタム	Suīpā Kasutamu	Sweeper Custom	Custom Sweeper
ダークドラゴン	Dāku Doragon	Dark Dragon	Dark Dragon
デスクロー	Desu Kurō	Death Claw	Death Claw
デスディーラー	Desu Dīrā	Death Dealer	Death Dealer
デスマシン	Desu Mashin	Death Machine	Death Machine
ディーングロウ	Dīngurou	Deenglow	Deenglow
デザートサハギン	Dezāto Sahagin	Desert Sahuagin	Desert Sahagin
デビルライド	Debiru Raido	Devil Rider	Devil Ride
ディアブロ	Diaburo	Diablo	Diablo
ダイバーネスト	Daibā Nesuto	Diver Nest	Diver Nest
ドァブゥル	Doabūru	Doubull	Doorbull
ファニーフェイス	Fanī Feisu	Funny Face	Dorky Face
ドラゴン	Doragon	Dragon	Dragon
ドラゴンライダー	Doragon Raidā	Dragon Rider	Dragon Rider
ドラゴンゾンビー	Doragon Zonbī	Dragon Zombie	Dragon Zombie
デュアルホーン	Dyuaru Hōn	Dual Horn	Dual Horn
イーグルガン	Īguru Gan	Eagle Gun	Eagle Gun
刃頭獣	Jintōjū	Blade-Headed Animal	Edgehead
エレファダンク	Erefadanku	Elephadunk	Elfadunk
エリゴル	Erigoru	Eligor	Eligor
エピオルニス	Epiorunisu	Aepyornis	Epiolnis
イビルヘッド	Ibiruheddo	Evil Head	Evilhead
フラップビート	Furappubīto	Flap Beat	Flapbeat
フラワープラング	Furawā Purangu	Flower Prong	Flower Prong
フォーミュラ	Fōmyura	Formula	Formula
フォールランダ	Fōruranda	Foulander	Foulander
フローズンネイル	Furōzun Neiru	Frozen Nail	Frozen Nail
ふせや　かずまさクン	Fuseya Kazumasa-kun	Kazumasa Fuseya	N/A
バジガンディ	Bajigandi	Basigandi	Gagighandi
