必殺技！！	ひっさつわざ！！	Deathblow Technique!!	Deathblow‼
デブチョコボ	デブチョコボ	Fatso Chocobo	Fat Chocobo
ダイヤモンドダスト	ダイヤモンドダスト	Diamond Dust	Diamond Dust
地獄の火炎	じごくのかえん	Flames of Hell	Hellfire
裁きの雷	さばきのいかずち	Lightning of Judgement	Judgement Bolt
大地の怒り	だいちのいかり	Anger of the Earth	Anger of the Land
斬鉄剣	ざんてつけん	Iron-Cutting Sword	Steel Bladed Sword
グングニルの槍	グングニルのやり	Gungnir Spear	Gunge Lance
メガフレア	メガフレア	Megaflare	Mega Flare
大海衝	だいかいしょう	Great Tidal Wave	Tidal Wave
トライディザスター	トライディザスター	Tri-Disaster	Tetra-Disaster
聖なる審判	せいなるしんぱん	Holy Judgement	Judgement
ギガフレア	ギガフレア	Gigaflare	Giga Flare
転生の炎	てんせいのほのお	Flames of Reincarnation	Phoenix Flame
暗黒の釜	あんこくのかま	Cauldron of Darkness	Black Cauldron
テラフレア	テラフレア	Teraflare	Tera Flare
天地崩壊	てんちほうかい	Collapse of Heaven and Earth	Disintegration
アルティメットエンド	アルティメットエンド	Ultimate End	Ultimate End
