やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
さいご	最後	n	end, conclusion,last, final, latest, most recent,no sooner than, once, right after (often having negative consequences),one's final moments	going to stay on and fight for AVALANCHE!?	最後まで、おれたち…アバランチのために戦ってくれんのか？
たたかう	戦う	v5u, vi	to make war (on), to wage war (against), to go to war (with), to fight (with), to do battle (against),to compete (against),to struggle (against adversities, etc.), to fight, to contend, to resist	going to stay on and fight for AVALANCHE!?	最後まで、おれたち…アバランチのために戦ってくれんのか？
すこし	少し	adv, n	small quantity, little, few, something,little while,short distance	Hmph!! If y'all weren't such screw-ups…	チッ！！おまえらがもうすこしたよりになりゃよ……
たより	便り	n, n-suf, vs	news, tidings, information, correspondence, letter	Hmph!! If y'all weren't such screw-ups…	チッ！！おまえらがもうすこしたよりになりゃよ……
やとう	雇う	v5u, vt	to employ,to hire, to charter	It's better if we don't hire a guy like that.	あんな野郎、やとわねえでもいいんだがな…
きゅうりょう	給料	n	salary, wages, pay	Hey, BARRET! What about our money?	あ、BARRETさん俺たちの給料……
やくそく	約束	n, vs	promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date,convention, rule,destiny, fate	Looks like I'm a little late.	約束の時間に遅れたようだ
じかん	時間	n	time,hour	Looks like I'm a little late.	約束の時間に遅れたようだ
ちこく	遅刻	n, vs, adj-no	lateness, late coming	You damn right, you're late!!	おい！　遅刻野郎！！
ずいぶん	随分	adj-na	very, extremely, surprisingly, considerably, awfully, terribly,terrible, horrid, contemptible, reprehensible,remarkable, extraordinary	Come waltzin' in here makin' a big scene!	ずいぶん派手なおでましじゃねぇか
はで	派手	adj-na, n	showy, loud, gay, flashy, gaudy	Come waltzin' in here makin' a big scene!	ずいぶん派手なおでましじゃねぇか
でる	出る	v1, vi	to leave, to exit, to go out, to come out, to get out,to leave (on a journey), to depart, to start out, to set out,to move forward,to come to, to get to, to lead to, to reach,to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display,to appear (in print), to be published, to be announced, to be issued, to be listed, to come out,to attend, to participate, to take part, to enter (an event), to play in, to perform,to be stated, to be expressed, to come up, to be brought up, to be raised,to sell,to exceed, to go over,to stick out, to protrude,to break out, to occur, to start, to originate,to be produced,to come from, to be derived from,to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid,to answer (phone, door, etc.), to get,to assume (an attitude), to act, to behave,to pick up (speed, etc.), to gain,to flow (e.g. tears), to run, to bleed,to graduate	Come waltzin' in here makin' a big scene!	ずいぶん派手なおでましじゃねぇか
ふつう	不通	n	suspension, interruption, stoppage, tie-up, cessation	It's no big scene. Just what I always do.	そうでもない。ふつうだ
しんぱい	心配	n, vs	worry, concern, anxiety, uneasiness, fear,care, help, aid, assistance	Havin' everyone worried like that. You don't give a damn 'bout no one but yourself!	心配させやがって勝手な野郎だ！
がる		suf, v5r	to show signs of being, to feel, to think,to behave as if one were, to pretend, to act as if,to want, to desire, to be anxious to, to be eager to	Havin' everyone worried like that. You don't give a damn 'bout no one but yourself!	心配させやがって勝手な野郎だ！
