トンデモ		n-pref, n	unthinkable, unexpected, outrageous, offensive	This Sephiroth guy's pretty strong, I'd say.	とんでもねえ強さだな。セフィロスってやつは
にる	似る	v1, vi	to resemble, to look like, to take after,to be similar (in status, condition, etc.), to be close, to be alike, to be like	Hey CLOUD. If we keep going, we'll never get to Kalm.	おいおい、CLOUDさんよぉ。このまま行くと、カームの町とは似ても似つかぬ場所に着く事になるぜ
につく	似つく	v5k, vi	to closely resemble,to suit well, to match well, to go well with	Hey CLOUD. If we keep going, we'll never get to Kalm.	おいおい、CLOUDさんよぉ。このまま行くと、カームの町とは似ても似つかぬ場所に着く事になるぜ
とおりぬける	通り抜ける	v1, vi	to go through, to pass through, to get through, to cut across	…We won't get to Kalm if we go through these caverns.	……この洞窟を通り抜けてもカームの町には着かないぞ
てんか	天下	n	the whole world,the whole country,society, the public,supremacy over a nation, government of a country, the ruling power,having one's own way, doing as one pleases,peerless, incomparable, superlative, world-famous,shogun (Edo period)	Yo, wassup? Can't SOLDIER-man even lead the way?	おいおい、しっかりしてくれよ。天下のソルジャーさまが道案内ひとつできねぇのか？
より	寄り	suf	pushing back one's opponent while locked in close quarters,having a tendency towards, being close to	Kalm should be closer to Midgar.	カームの町は、もっとミッドガル寄りの位置にあるはずよ
あくい	悪意	n	ill will, spite, evil intention, malice,bad meaning,mala fides, bad faith, criminal intent to deceive,malice	To put it negatively… you could say that.	悪意に満ちた言い方をするとそうなる……
ルー		n	roux (mixture of butter and flour used to make sauces), sauce made from such a mixture,(Japanese) curry powder, curry sauce made from this powder	It's all right, Rude! I know you don't like speeches, so don't force it!	ルード先輩！しゃべるの苦手なんだからムリしないで下さい
ふそく	不足	adj-na, n, vs	insufficiency, shortage, deficiency, lack, dearth	I'm the newest member of the Turks, Elena. Thanks to what you did to Reno, we're short-handed.	私、タークスの新人のイリーナ。レノがあんたたちにやられてタークスは人手不足
つきとめる	突き止める	v1, vt	to determine (esp. a culprit or underlying cause), to pin down, to ascertain, to locate, to identify,to stab to death	Anyhow, our job is to find out where Sephiroth is headed.	ま、それはともかく私たちの任務はセフィロスの行方をつきとめること
ていじ	定時	n, adj-no	regular time, stated period	Now go. Don't forget to file your report.	行け。定時連絡を価かすなよ
おわす	負わす	v5s, vt	to impose, to visit upon, to inflict	…Reno said he wanted to see you after the injuries you gave him healed.	……レノが言ってた。きみたちに負わされたケガが治ったらあいさつしたいと
なおる	治る	v5r, vi	to be cured, to get well, to be healed,to get mended, to be repaired, to be fixed	…Reno said he wanted to see you after the injuries you gave him healed.	……レノが言ってた。きみたちに負わされたケガが治ったらあいさつしたいと
しんあい	親愛	adj-na	deep affection,dear, beloved	He wants to show his affection for you all… with a new weapon.	親愛なるきみたちに新しい武器を見せたいそうだ
しょくん	諸君	int	you (people),gentlemen, ladies and gentlemen, my friends, everyone	Well then, stay out of Shinra's way.	では、諸君。できれば神羅の邪魔はしないでもらいたいものだな
かれら	彼ら	pn	they, them	No need to tell them about our orders.	我々の任務を、彼らに教えてやる必要はない
おいかける	追いかける	v1, vt	to chase, to run after, to pursue	Very well, Rude and I will go after Sephiroth, who's heading for Junon Harbor!	それでは、私とルード先輩は【ジュノンの港】へ向かったセフィロスを追いかけます！
ふもと	麓	n	foot (of a mountain or hill), bottom, base	Base of Fort Condor	コンドルフォートふもと
せんじょう	戦場	n	battlefield, battleground	We've been fighting the Shinra on this battlefield for a long time.	ここは長い長いあいだ神羅軍と闘ってきた戦場
