こっそり		adv, adv-to	stealthily, secretly	Hey, CLOUD! Why don't the two of us sneak out of here and spend some time together?	ね、CLOUD！ふたりでこっそり遊びにいかない？
せいしき	正式	adj-na, adj-no, n	due form, official, formality	Well, not a real one…	正式には、ない
せいねん	青年	n	youth, young man	No, just a mixed-up kid…	う～ん、不幸な青年、ね
さんぽ	散歩	n, vs	walk, stroll	Uh, I was jus' thinkin' of goin' for a walk…	いや、散歩でもしねえかと思ってよ
きゃくしつ	客室	n	guest room (at a hotel), guest cabin (on a boat), passenger cabin (on a plane),drawing room	Hotel	客室
ターミナル		n	terminal	Terminal Floor	ターミナルフロア
しゅじんこう	主人公	n	protagonist, main character, hero(ine) (of a story),head of household	You two will play the leads in tonight's show!!	あなた方がこれから始まるショーの主人公です！！！！
ナレーション		n	narration	Narration	ナレーション
ものがたり	物語	n, vs, adj-no	tale, story, legend	Long, long ago…	むか～し、昔のそのまた昔の物語
おうこく	王国	n	kingdom, monarchy	An evil shadow appeared over the peaceful kingdom of Galdia…	和平なガルディア王国にとつじょとして襲いかかる、邪悪な影…
とつじょ	突如	adv	suddenly, all of a sudden	An evil shadow appeared over the peaceful kingdom of Galdia…	和平なガルディア王国にとつじょとして襲いかかる、邪悪な影…
じゃあく	邪悪	adj-na, n	wicked, evil	An evil shadow appeared over the peaceful kingdom of Galdia…	和平なガルディア王国にとつじょとして襲いかかる、邪悪な影…
りゅうおう	竜王	n	Dragon King,promoted rook	Princess Rosa was kidnapped by the Evil Dragon King, Valvados. What will become of her?	ああ、悪竜王ヴァルヴァドスにさらわれた姫君ルーザの運命はどうなってしまうのでありましょうか…
ひめぎみ	姫君	n	daughter of a person of high rank (i.e. a king, noble, aristocrat, etc.)	Princess Rosa was kidnapped by the Evil Dragon King, Valvados. What will become of her?	ああ、悪竜王ヴァルヴァドスにさらわれた姫君ルーザの運命はどうなってしまうのでありましょうか…
ゆうしゃ	勇者	n	hero, the brave, man of valour (valor)	Just then, the legendary hero, Alfred, appears!!	しかし、その時！伝説の勇者アルフリードがガルディア王国にあらわれたのであります！！
ある	或	adj-pn	a certain ..., some ...	Oh……You must be the legendary hero…Alfred!	おお～、あな～たこそ～伝説の勇者～、アルフリ～ド！
